TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,NA,NA,53484000,82569000,49164000,,
NA,NA,NA,NA,8778300,NA,,
NA,NA,NA,9806400,10347000,9925200,,
NA,NA,NA,4167000,5421500,NA,,
NA,NA,NA,2136900,2380700,1585700,,
NA,NA,NA,18233000,9337300,6897200,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,2176300,1007400,2756100,,
NA,NA,NA,1489600,2162800,2203700,,
NA,NA,NA,2399400,NA,NA,,
NA,NA,NA,NA,NA,18592000,,
NA,NA,NA,6361900,998750,8401600,,
NA,NA,NA,6075000,9945700,5784400,,
NA,NA,NA,NA,8742000,NA,,
NA,NA,NA,NA,NA,8179900,,
NA,NA,NA,32756000,38612000,39015000,,
NA,NA,NA,NA,11869000,13189000,,
NA,NA,NA,3218800,3825400,1402800,,
NA,NA,NA,NA,3121000,3259900,,
NA,NA,NA,46165000,48310000,41234000,,
NA,NA,NA,18920000,22251000,16993000,,
NA,NA,NA,NA,2998100,2446700,,
NA,NA,NA,NA,1936600,NA,,
NA,NA,NA,6496200,13517000,8405600,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,2349700,4120300,NA,,
NA,NA,NA,4749500,16060000,7689700,,
NA,NA,NA,NA,3051900,NA,,
NA,NA,NA,1526100,5316000,NA,,
NA,NA,NA,3227400,NA,NA,,
NA,NA,NA,NA,4033300,6947700,,
NA,NA,NA,38311000,872730,33260000,,
NA,NA,NA,NA,43856000,NA,,
NA,NA,NA,NA,26150000,NA,,
NA,NA,NA,8741000,11422000,10583000,,
NA,NA,NA,5651900,7233000,NA,,
NA,NA,NA,NA,25362000,NA,,
NA,NA,NA,NA,NA,21894000,,
NA,NA,NA,4840300,NA,NA,,
NA,NA,NA,NA,7090200,2245700,,
NA,NA,NA,2396700,NA,6167700,,
NA,NA,NA,NA,8249800,NA,,
NA,NA,NA,6060100,9587400,7461100,,
NA,NA,NA,4305700,8031600,NA,,
NA,NA,NA,427150,NA,NA,,
NA,NA,NA,NA,75164000,921230,,
NA,NA,54396000,NA,NA,NA,,
NA,NA,NA,6520300,NA,6636700,,
NA,NA,NA,NA,11316000,14694000,,
NA,NA,NA,3065700,4923700,3355500,,
NA,NA,NA,5402900,10950000,4760600,,
NA,NA,NA,2521300,16331000,11253000,,
NA,NA,NA,847660,1981500,1169900,,
NA,NA,NA,3400700,5575800,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,6821800,10093000,10764000,,
NA,NA,NA,NA,11381000,NA,,
NA,NA,NA,2072800,5004500,3622900,,
NA,NA,NA,12738000,16808000,15253000,,
NA,NA,NA,2107300,3180800,2138700,,
NA,NA,NA,NA,19391000,NA,,
NA,NA,NA,37164000,58071000,46136000,,
NA,NA,NA,3596300,5118100,5772800,,
NA,NA,NA,NA,4798900,4141700,,
NA,NA,5658100,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,24020000,NA,NA,NA,,
24010000,16719000,NA,NA,NA,NA,,
NA,NA,NA,17806000,20407000,16567000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,7659800,13482000,9704400,,
NA,192230000,208810000,NA,NA,NA,,
NA,NA,NA,232830000,321440000,234900000,,
NA,NA,NA,7905900,13558000,10492000,,
NA,NA,NA,22319000,NA,35139000,,
