iBAQ 1Methanol_1,iBAQ  1Methanol_2,iBAQ  1Methanol_3,iBAQ  5Methanol_1,iBAQ  5Methanol_2,iBAQ  5Methanol_3,iBAQ  9Methanol_1,iBAQ  9Methanol_2,iBAQ  9Methanol_3,iBAQ 1Ethanol_1,iBAQ  1Ethanol_2,iBAQ  1Ethanol_3,iBAQ 5Ethanol_1,iBAQ  5Ethanol_2,iBAQ  5Ethanol_3,iBAQ 9Ethanol_1,iBAQ  9Ethanol_2,iBAQ  9Ethanol_3,iBAQ 1Isopropanol _1,iBAQ  1Isopropanol_2,iBAQ  1Isopropanol_3,iBAQ 5Isopropanol _1,iBAQ  5Isopropanol_2,iBAQ  5Isopropanol_3,iBAQ 9Isopropanol _1,iBAQ  9Isopropanol_2,iBAQ  9Isopropanol_3,iBAQ control_1,iBAQ control_2,iBAQ control_3
6.922513928,6.922513928,6.922513928,6.922513928,1.884525561,0.867829077,10.32087198,8.925000709,8.663391207,5.081863574,4.914009738,4.687824157,1.53584327,0.530031542,0.290267823,0.711708481,6.528161279,6.864262894,5.037169991,4.378531845,3.700652204,9.754427699,9.667080071,10.96218787,5.655649241,6.453183568,6.471307227,0,0,0.049717422
2.573340107,2.573340107,2.573340107,2.573340107,0.278610995,0.423238606,0.227650827,0.248313958,0.224576163,3.752306243,3.020522486,3.329744351,0.34328027,0.300382525,0.243002641,0.12085433,0.167719313,0.30088544,3.35213041,2.611449319,2.544834925,0.225197391,0.085251143,0.1392761,0.615075885,0.420871478,0.165410858,0.036924676,0.066617987,0.01304038
1.224519318,1.224519318,1.224519318,1.224519318,0.148962116,0.093269482,0.064164834,0.060483726,0,2.509192718,2.443851107,2.683333552,0.501704901,0.560173334,0.530648812,0.063737604,0.242055612,0.056551346,1.168195883,1.702110235,1.349976824,0.099627217,0,0.050100357,0.403086003,0.364356801,0.353565516,0.026952761,0.017605808,0.01670762
0.030257368,0.030257368,0.030257368,0.030257368,0,0.004610995,0.000202964,0.000352191,0.000435545,0.036963113,0.018430972,0.037520188,0.009143716,0.00061018,0.000578819,0,0.000302604,0,0.02332936,0.010777484,0.010845776,0,0,0.000221146,0.005951939,0.005465604,0.000539709,0,0,0.000220548
8.035681996,8.035681996,8.035681996,8.035681996,1.303562509,1.346625739,0.410976193,0.376803095,0.323384906,2.999987098,2.586644678,2.529576281,1.321974053,0.946091825,0.984156922,0.368990191,0.504184884,0.529840256,4.090708172,5.164751167,4.848504632,0.229413557,0.377993954,0.329322235,3.140134907,3.523184701,2.41579379,0.074572771,0.054339799,0.082376389
0.274761704,0.274761704,0.274761704,0.274761704,0.011519005,0.010004231,0.013245435,0.015476206,0.023060482,0.247835679,0.295468824,0.237174858,0.1604806,0.026048108,0.027985666,0.011503327,0.010532383,0.010987494,0.247652598,0.32015233,0.196144229,0.007122612,0.008167971,0.037903448,0.01500118,0.016954403,0.011254158,0.003907039,0,0
0.253562603,0.253562603,0.253562603,0.253562603,0,0.015781476,0,0,0,0.19624034,0.304028585,0.61304639,0,0.018253042,0.013137495,0,0.01599776,0,0.24331275,0.461330567,0.226032003,0,0,0.006039477,0.143833052,0.141263185,0.254993579,0.006344136,0.003280199,0.004830043
0.359695876,0.359695876,0.359695876,0.359695876,0.06658117,0.003986101,0.009423463,0.014306145,0.009721302,0.368598965,0.454452646,0.443361914,0.164360511,0.149056152,0.095271596,0.004718362,0.060682763,0.017236696,0.267302463,0.285413994,0.332068968,0.069373329,0.062760639,0.00660604,0.011699494,0.098418815,0.012791917,0.004115689,0.006905516,0.00381631
0.150978586,0.150978586,0.150978586,0.150978586,0.02228672,0.020806366,0.014180132,0.035686382,0.036059571,0.341917504,0.244659965,0.195262543,0.056546214,0.074434122,0.076041117,0.001636049,0.001694768,0.001980283,0.137174009,0.132982993,0.13746548,0.046025829,0.042394,0.03341736,0.037344013,0.020513854,0.057176674,0.004041326,0,0.001120908
0.146625107,0.146625107,0.146625107,0.146625107,0.015205079,0.01585403,0.086824744,0.021914284,0.094649989,0.400170307,0.201730276,0.136805893,0.146849464,0.028023047,0.025967559,0.066346861,0.090834608,0.104151529,0.171450768,0.16502416,0.373877903,0.10371187,0.094930626,0.098927943,0.125057336,0.154909985,0.168443365,0.004204348,0.005433842,0.004037732
0.836959797,0.836959797,0.836959797,0.836959797,0.000424927,0.001128174,0.000328444,0.001200272,0.000364615,0.110453249,0.105662007,0.211216009,0.002072514,0.00169979,0.001699981,0.000592741,0.000368408,0.000478576,0.119238651,0.009785974,0.013828808,0.000252544,0,0.000498587,0.001841821,0.004276378,0.002491297,0.000383282,0.001337595,0.001153425
1.254604476,1.254604476,1.254604476,1.254604476,0.044762432,0.291328731,0.647671862,0.421921851,0.406542971,1.055517566,1.076291817,1.095129926,0.163613986,0.049126137,0.054803848,0.192600829,0.052107088,0.554523049,1.479968389,1.305192323,0.930790675,0.428076181,0.879098519,0.754321046,0.057229342,0.851447496,0.510745285,0.024359428,0.026582993,0
0.872641794,0.872641794,0.872641794,0.872641794,0.040613596,0.05187639,0.037263601,0.02061842,0.014444094,0.967241668,1.016412753,1.005777387,0.190323427,0.198912825,0.234930215,0.031614153,0.039489112,0.052721132,0.591049734,0.525715924,0.515508608,0.023388114,0.022730796,0.087851605,0.166283305,0.067956968,0.094543035,0.011341934,0.01226014,0.010806645
0.170548576,0.170548576,0.170548576,0.170548576,0,0,0,0,0,0.223399177,0.222134967,0.029735159,0.002690313,0,0,0,0.002334231,0,0.14286671,0.043777129,0.040508445,0,0.002263972,0,0.003628836,0.002296685,0.002291863,0.001668195,0,0.001543124
0.107870877,0.107870877,0.107870877,0.107870877,0,0.004148851,0,0.007103035,0.010849207,0.098958804,0.148002722,0.112500164,0.09180437,0.001111718,0.013451339,0.005629719,0.004125008,0.00552953,0.054627162,0.03156343,0.311282014,0.1129855,0,0.000941641,0,0.004480543,0.059638265,0.00197359,0.003480244,0.003704781
0.237529814,0.237529814,0.237529814,0.237529814,0.003305569,0,0.030668324,0.09474182,0.032670578,0.03694634,0.212384168,0.184443073,0.046984646,0.063644818,0.090569596,0,0.004547503,0,0.06252997,0.091180967,0.08333453,0.098903894,0.033222231,0.039332224,0,0.090139734,0.085917411,0.001778801,0,0.001883583
0.105590811,0.105590811,0.105590811,0.105590811,0.031464557,0.091366537,0.352882685,0.410836069,0.314818757,0.157082586,2.206167216,0.342809123,0.012208906,0.012861649,1.606714447,7.047325287,3.134075685,3.562756732,1.94690384,4.291583631,1.75579247,0.160568215,0.153612123,0.222230678,7.123271501,4.346895345,0.380687884,0.065704034,0.078914086,0.058792694
0.00229987,0.00229987,0.00229987,0.00229987,0.001955623,0.002018705,0.002133282,0.00258416,0.003697239,0.00206562,0.002402754,0.002452632,0,0,0.00117782,0.003070315,0.002231881,0.00289037,0.004297387,0.002504982,0.003203828,0.001825696,0.000121582,0.001422231,0.003440641,0.004205861,0.003031888,0,0,8.654E-05
0.007243514,0.007243514,0.007243514,0.007243514,0.000716804,0.000825251,0.006604073,0.001038148,0.003097268,0.059039829,0.067517407,0.088172114,0.011902629,0.0031298,0.000237722,0.000899934,0.001165237,0.009238521,0.01041483,0.016707161,0.008842942,0.00996601,0.009529106,0.002385922,0.009437437,0.009401819,0.008579518,0.000322766,0,0
0.06334071,0.06334071,0.06334071,0.06334071,0.084652456,0.010014853,0.056821876,0.011521457,0.009130016,0.358341827,0.234856814,0.300818025,0.144232593,0.013167093,0.013767635,0.008059107,0.109433328,0.128405294,0.292497689,0.079139254,0.215455727,0.074552637,0.011567514,0.009385779,0.211399663,0.091689438,0.12507852,0.00567631,0.005457263,0.004832364
0,0,0,0,0,0,0.021401664,0,0,0.023137265,0.029642427,0.019433028,0,0,0.000461694,0,0.000378574,0,0.01336298,0.019884797,0.022517023,0,0.000187528,0,0,0.000434119,0.011296551,0.000505599,0,0
1.644144416,1.644144416,1.644144416,1.644144416,0.308399818,0.35812082,0.650540205,0.848837979,0.74624273,1.560762254,1.45738443,1.569610946,0.804612312,0.948526945,0.557978121,0.979394939,0.50913007,0.796549521,1.415674351,1.624307281,1.580696337,0.736262408,0.322959461,0.695781213,1.272883642,0.753579389,1.26559188,0.040043607,0.049233991,0.038948044
0.585102078,0.585102078,0.585102078,0.585102078,0.062826518,0.018379527,0.092203844,0.028378468,0.076478853,0.592385204,0.621721376,0.560550953,0.122234328,0.136681143,0.127563184,0.054534369,0.048397338,0.026716568,0.22840457,0.329297589,0.415921866,0.097217427,0.093176886,0.093273722,0.04674199,0.092832828,0.09727848,0.009190305,0.009674446,0.008691129
0.083143184,0.083143184,0.083143184,0.083143184,0.001960843,0,0.003538197,0.00284863,0.002353733,0.00637065,0.083977279,0.057366825,0.004221294,0.007703222,0.008479253,0.003361548,0.003538306,0.003606025,0.046179193,0.045208976,0.062334746,0.001851264,0.00172506,0.002353769,0,0.00360663,0.023231167,0.00118027,0.001767607,0
0.042358594,0.042358594,0.042358594,0.042358594,0,0.002821111,0,0,0,0.04834144,0.035379038,0.037394136,0.003156992,0.005439903,0,0.002720083,0.002380236,0,0.042215733,0.050730256,0,0.017480261,0,0.003143496,0.001602715,0.003621741,0,0.00135402,0,0
0.161047728,0.161047728,0.161047728,0.161047728,0.076138793,0.046585232,0.04568888,0.077375356,0.078401553,0.16612693,0.175972462,0.168515868,0.242156447,0.184208155,0.248377971,0.061786489,0.049787848,0.076118667,0.141996062,0.125305069,0.062883145,0.054384667,0.11091582,0.02219453,0.112048904,0.150788074,0.159608869,0.007565718,0.002298303,0.000430011
0.046687963,0.046687963,0.046687963,0.046687963,0,0.022324041,0.025338943,0.02097029,0.02771822,0.332408686,0.329171248,0.068834937,0.040043984,0.058569415,0.042461335,0.022061223,0.073266278,0.07466545,0.453259574,0.167958833,0.071802472,0.041061197,0.022046741,0.055229489,0.041787521,0.006605468,0.038902728,0,0.01142249,0.003253747
1.417636068,1.417636068,1.417636068,1.417636068,0.10050983,0.057090133,0.094802562,0.107848015,0.123655685,1.182964119,1.336841003,0.821347444,0.311724472,0.296490168,0.221463599,0.080860069,0.086206466,0.08077225,0.791365846,0.78097786,0.781338748,0.194253057,0.243275715,0.165954816,0.219106239,0.145366628,0.153693933,0.004400003,0.03061694,0.040795042
0.083909521,0.083909521,0.083909521,0.083909521,0.147228784,0.142922469,0.042820537,0.031352333,0.038838887,0.165417317,0.164127533,0.164694915,0.140338559,0.222803839,0.277272727,0.028811219,0.102968403,0.169814696,0.206410651,0.234555431,0.071363752,0.025389826,0.02296915,0.144357669,0.184013491,0.203375602,0.20354927,0.004579341,0.006361182,0.005650067
0.225010117,0.225010117,0.225010117,0.225010117,0,0.009329289,0.01872244,0.005527189,0.008640571,0.458952095,0.550337679,0.331241219,0.066136029,0.082542878,0.021248585,0.009134552,0.00812699,0.009177179,0.323680298,0.259479676,0.315225268,0.00454785,0,0,0.007413997,0,0,0,0.010656481,0.00915322
