K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M1,K3M2,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.613740382,8.297992655,8.320668057,8.250962528,8.364403267,8.303541618,8.238573247,8.243741418,8.383522499,9.027450078,8.397505068,8.195408798,8.866352478,7.750144461,8.874045213,8.965123662,8.143441069,9.01959765,8.855762728,8.975705548,8.220102538,8.299357363,9.175187526,8.228589572
8.136193943,8.117703434,8.071444785,8.048343592,8.13888451,7.993111719,8.187120916,7.645077584,8.092596753,8.370608276,7.98720709,8.153130292,8.272937715,7.534759443,8.355657472,8.380239371,8.070656938,8.303967324,8.290546017,8.376549687,8.099733996,8.26395438,8.570263777,8.046842392
8.329231736,8.26530264,8.228258043,8.303981412,8.163793813,8.055421916,8.271891597,8.053358004,8.218464897,8.521237111,8.227569962,8.301176391,8.463544206,8.156433354,8.624517647,8.520235742,8.277092149,8.654377042,8.515734343,8.621471278,8.135307717,8.341653232,8.718404863,8.222358653
9.238301351,9.202215377,9.100421391,9.182560373,9.333008771,9.322206727,9.280305642,9.205194867,9.396471689,9.593937105,9.285287852,9.215167571,9.462744607,9.156514731,9.657382251,9.633153652,9.293790411,9.581257266,9.616777696,9.57125528,9.081319663,9.414343887,9.68962931,9.201645706
8.394268757,8.205249204,8.288791167,8.241437893,8.118910895,8.084726814,7.932076305,7.84409773,8.197509984,8.447959139,8.141634347,8.323393686,8.418887795,8.765009942,8.60423363,8.55897513,8.666171351,8.557817082,8.549633551,8.636916314,8.326045222,8.364565159,8.701743392,8.458846649
7.616094632,7.75883897,7.761985441,7.68649679,7.636487591,7.562810726,7.588677322,7.632436555,7.599567322,7.943496634,7.621675463,7.842161291,7.878762239,7.833808555,8.113960295,8.020176555,7.896184621,8.096221799,7.892998771,8.125694813,7.681923461,7.675459323,8.139758685,7.767577714
7.03505764,,,,7.354173118,,7.925273731,,,,,,,,,7.145114902,,,,,,,,
,6.995888642,,7.569548998,,,6.945520571,7.226748362,7.000847014,7.616172289,6.979892646,7.511789093,7.406608305,,7.103564981,7.249762892,7.310401488,7.645498592,7.119811619,7.710903746,,7.486513361,7.455928575,6.846716082
6.76835077,,,,,6.86187305,7.113040091,7.040766508,6.748204553,,6.875668951,7.276005025,,,7.364266783,,,,,,,,7.075692601,7.042511741
8.101213868,7.966863008,7.95721226,8.014829687,7.28650755,7.889441435,7.833135844,8.031339288,8.056596998,7.976130495,7.66792643,7.528874147,8.309101288,7.912697616,8.166585474,8.116385834,8.29320616,8.131771369,8.178010646,8.011158115,8.114707292,8.012150454,8.399995333,8.048695383
8.041361117,8.269492205,8.169877179,8.445199425,8.144366262,8.153548879,8.088681488,8.155380725,8.096281065,8.644271849,8.142496214,8.278489515,8.632011727,8.265706718,8.710369607,8.67333344,8.410503633,8.773146511,8.616653996,8.786252448,8.300702126,8.428346261,8.890272767,8.413067726
7.626525878,7.658241179,7.891096298,7.693030986,7.870753848,7.884399561,7.477923153,7.922348276,7.854085429,8.017475893,7.736464298,8.002781161,7.703852205,7.661772929,8.031163167,8.060983107,8.108133535,7.996598362,8.036849712,7.955791084,7.791271368,7.968121888,8.047266548,8.145009762
8.386383343,8.438362787,8.415568918,8.568398214,8.404473426,8.269250578,8.602155987,8.396287665,8.5930576,8.645209868,8.399853975,8.565632799,8.588797478,8.836392944,8.751590162,8.794260317,8.729449577,8.731072648,8.708440951,8.723454504,8.3461005,8.634807105,8.909319769,8.619791754
8.17872087,8.109448067,8.094662323,8.062426821,8.055911508,8.002711227,8.033758347,7.92709538,8.128901191,8.432171584,7.984067813,8.201671856,8.403430023,7.089973831,8.670765251,8.542673744,8.178021809,8.546249676,8.518136085,8.589084267,8.213267365,8.165586223,8.754062957,8.225871018
8.379258892,8.424229476,8.652159859,8.055202205,8.330174856,8.311835468,8.435156529,8.687390162,8.220250724,8.553068458,8.43233495,8.063117808,8.976702388,7.81964103,8.195736866,8.411845776,8.254096959,8.63161115,8.281887724,8.539079431,8.290551515,8.158022858,8.417558948,8.177542492
7.216347402,,7.376233382,,7.49734261,,,,,,7.185450475,7.142784225,7.384058303,7.318882245,7.614579106,,,,7.532601408,,,,,7.218494034
7.128702849,7.777361052,7.651556041,7.95906345,7.797054411,7.529445285,7.971551332,7.573654241,7.904877914,8.048777485,7.582441063,7.850294285,7.829993603,8.339623078,8.020011044,7.962098902,7.861625056,8.030258041,7.977171878,7.971204278,6.396021122,7.771004335,8.214789934,7.758752495
6.878447725,,,7.47049066,7.163360468,7.488787513,7.184694077,7.191703846,7.114795808,7.3359759,6.967248741,7.324728904,7.227434909,7.374898947,7.501495643,7.438895329,7.368701177,7.223057175,7.604712683,7.363799472,7.360971562,7.298271084,7.167919489,7.298561037
7.822396736,7.598741686,7.407366932,8.006738372,7.866278752,8.047497205,8.018488722,8.051774112,7.781583828,8.030047595,7.674042432,7.919601671,7.900870405,8.148438377,8.243577857,8.088610074,7.943032382,8.137105833,8.189337544,8.0845529,8.091162073,7.807165522,7.958363344,8.04790892
8.027358007,,,,,,,,,,8.698835282,,,,8.077524657,,,,,,,,,
,,,,,,,,,,,,,,,,,,7.003042419,,,,,
8.279152346,8.605543782,8.396765771,8.702110899,8.568971581,8.481986824,8.811229686,8.429096608,8.774987079,8.988007419,8.447801369,8.728257176,8.855906548,9.325789502,9.002144271,8.981974183,8.577212211,9.02563453,8.953844446,9.011264721,8.356195964,8.816107624,9.143351527,8.737614671
8.409196403,7.815652194,8.346753854,8.261201022,8.252978167,8.391003357,8.355866335,8.448410726,8.38900797,8.18386373,8.099715904,8.442706731,7.81381424,7.419765848,7.836450919,7.919487351,7.69020411,7.742786309,7.741608509,7.905206257,7.785837266,7.707839533,7.891565116,7.915986847
