iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0.432534313,0.436465735,0.666085136,3.102793412,3.369013311,3.515075699,4.965398297,5.000434751,4.982513886,3.062442668,3.03702926,3.419920078,1.568859325,1.858655533,1.406181818
0.00062563,0.006145043,0.001268318,0.010507234,0.012118156,0.010398383,0.014964608,0.028855155,0.033030926,0.004178089,0.004409077,0.009257634,0.010450234,0.000852484,0.009164242
0,0.001291124,0,0,0,0,0.015303798,0.004598797,0.016074196,0.002393657,0.007232479,0.017971801,0.015098546,0.010091366,0.011179394
0.245558061,0.338906188,0.790823447,2.525327164,2.348565939,2.329804978,4.335453272,4.353742482,4.071247343,3.868103787,4.204448311,3.905360778,3.280179847,2.318751135,2.515575758
0.045486233,0.04652668,0.048072226,0.28940299,0.266069713,0.21258019,0.375358413,0.524041736,0.391880957,0.166419866,0.132933395,0.197168062,0.03971052,0.154758879,0.141824242
0.002783429,0.003637951,0.00235799,0.015306101,0.017121586,0.023355787,0.03273472,0.026256793,0.021777412,0.005201808,0.008584069,0.015410691,0.01578714,0.017058752,0.004916485
0,0.026025815,0.050271575,0.118718276,0.161465624,0.101571722,0.312514822,0.321157887,0.411191113,0.311472939,0.1264484,0.108174621,0.072739591,0,0.073666667
0,0.00937006,0,0.144055799,0.109818855,0.120688992,0.188422982,0.021170205,0.046321059,0.165817062,0,0.019371183,0.079182065,0.092472923,0.020548485
0,0,0.008414748,0.02747488,0,0.119919169,0,0.037427723,0.113591168,0.032305727,0,0,0.011512072,0.009339263,0
0.010780924,0.009258816,0.011007793,0.097165153,0.107074242,0.182403131,0.08113255,0.085899572,0.11008023,0.019239287,0.027076203,0.056870994,0.010740946,0.018433472,0.015790909
0.010300398,0,0,0.052161873,0.048488404,0.042841288,0.103122417,0.09102239,0.075567442,0.017002359,0.019978703,0.02016678,0.02322986,0.025431718,0.018304242
0.840669284,0.030761943,1.203826471,6.09771762,6.999451077,7.258788812,4.944414502,7.258894283,5.824727422,6.824138383,5.863971084,6.832843248,3.875461936,3.960972953,3.479515152
0.216988224,0.138980705,0.13916027,1.123718104,1.677988198,1.545227098,1.179691711,1.373596116,1.619077007,0.653780632,0.87064505,0.619708965,0.108992363,0.31810976,0.43769697
