K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.426453,6.844487,7.432657,7.406411,7.828349,7.557271,8.115733,8.532335,8.138672,7.783507,8.190882,8.081312,8.378478,8.434667,8.589237,8.647169,8.457575,8.176426,8.259553,8.412639,8.108793,8.235215,8.153992,8.53286
8.187232,8.071672,7.949405,8.071992,8.087596,8.128573,7.913716,7.899437,7.847698,7.983465,8.248473,7.973206,7.607568,7.96448,7.892098,7.955005,7.834541,7.944716,7.773411,7.577935,7.955261,7.842671,7.619965,7.717594
,7.504706,7.435726,7.454314,,7.523931,7.008954,7.833271,6.705967,7.916272,7.698599,7.372913,8.125059,8.450596,8.148256,8.113699,7.904188,7.687086,7.911275,7.42447,8.270959,7.810987,8.280665,7.992971
8.039059,7.730173,7.692406,7.80058,7.608088,7.439939,7.849132,7.816114,7.737852,7.877431,7.685669,7.768654,7.371349,7.327524,6.970818,7.402508,7.607054,7.155441,7.588307,7.342321,7.627263,7.590215,7.864848,7.082177
7.161937,7.690745,8.251102,8.152518,7.64444,8.230653,7.993334,8.022608,7.541064,8.139409,8.137241,7.924114,7.153874,7.095269,7.295414,,7.489341,,7.930761,7.155724,7.506679,7.522224,7.461118,7.314101
7.974304,8.08792,8.081915,8.208589,8.324387,7.930178,7.930814,7.858945,7.941655,8.012313,7.954309,8.179815,7.956738,7.620355,7.909847,7.944399,7.654634,7.758847,7.780703,7.640698,8.054198,7.485766,7.888632,7.792594
7.470962,7.759904,7.451509,7.761639,,7.512407,7.433654,7.980145,7.662584,7.442147,8.058141,8.14432,8.938658,8.500537,8.498967,8.62847,8.096821,7.280804,8.126413,7.826268,8.223539,8.489932,8.473108,8.531967
,7.767304,7.483244,7.306869,7.719147,7.553776,7.698088,,7.905624,7.504595,,8.095123,7.024856,7.67539,6.97808,6.662264,7.504792,,6.624853,,,7.038906,7.288302,6.760169
7.773706,7.723644,7.295718,7.030788,7.465435,6.904201,8.189515,7.465347,8.104699,,,7.251402,8.053156,8.089124,7.717857,8.183559,7.999201,,8.123285,7.979484,7.981131,8.300162,8.320721,8.133009
7.775993,7.703733,7.717065,7.636901,7.588443,7.423506,7.740176,7.789576,7.922439,7.77819,7.683231,7.766969,7.269896,7.529459,6.970818,7.402508,7.464684,7.155441,7.680803,7.342321,7.534596,7.585062,7.776598,7.020763
