Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2
1981500,2594600,7448600,7954800,1193000,1176300,5015400,2380700
5450200,4423500,6631100,8932600,6742000,7495900,4458400,2849100
2973800,3662500,1899100,2151700,0,1917000,4131000,3169200
1123800,1300700,0,4988300,980390,0,1275500,5992700
2976000,2423000,3996800,4435700,0,0,3517900,3747600
2367200,3094200,2997800,2194000,9789800,9969800,3159500,4004700
2162600,2179500,4528100,2826400,0,0,2913700,4242100
3649700,3874000,5115100,7183500,0,0,3969200,3177100
3399000,3412500,1942900,1225100,1310700,1412600,2274500,4829000
2334400,2500800,2682700,4120900,0,0,4604300,2466100
865570,1613700,1212700,810330,0,613780,0,6980900
2479700,1212000,1010000,1602800,0,728950,1497000,5454300
2751200,1074100,1055900,1954900,0,0,1158300,5768900
4487300,4372300,4432400,5080400,0,0,3413000,3462300
25218000,21199000,1232000,1170100,0,0,6134800,650440
7437900,8231400,10072000,9870500,0,0,3008300,3716600
79078000,69272000,630760,483780,105400000,133720000,492160,6183500
2685000,2935700,8776500,7419500,0,0,3914800,2641600
2437800,2699700,1795500,1895200,0,0,2721500,3821500
5429800,4483500,3579300,4060600,0,0,2574000,3936200
3438200,0,0,0,0,0,0,6472700
119350000,112730000,0,0,1156100000,1383800000,1123800,5289400
4020200,3588100,2621600,2854900,0,0,2912800,3489700
3657800,3627300,2671600,3254100,0,0,3218300,3137400
5786300,4616800,3931200,4437100,0,0,1811500,4499800
3339400,3381400,4952800,4938100,0,0,2357300,3941400
2872400,2375200,3381600,2582700,0,0,2167900,4117600
2879000,2791000,3670700,3517100,0,0,3407700,2819600
2157600,2375400,7199000,10664000,2623900,2901000,5062700,1053200
464580000,119580000,1996700,0,0,0,0,6078000
1557800,1951800,4169500,5281500,0,0,4991300,1068700
2454200,3136500,3554600,4835500,0,0,1940400,4116800
1971300,1969500,3520300,6707300,820940,762400,6045900,0
3243000,3369000,8409100,11805000,0,0,3815200,2210100
1397200,1349800,4063700,5374000,2266600,2698200,5497100,491340
2297700,2305000,8409400,9241900,4360500,4955500,5187400,799490
2265400,3707200,2451300,1972100,876320,1293100,2123700,3835500
1371800,987680,4720500,4321400,560890,787790,5369800,534140
1952100,814410,762490,1336100,0,473530,651040,5179800
802160,917970,938770,1516900,0,717030,862430,4913900
2015100,2389500,2895900,3484400,0,0,3196100,2564300
1669700,1598300,4121200,3470900,0,0,3367200,2351000
173590000,160940000,130550,133250,76304000,103410000,830430,4870800
3220800,3029900,2343500,2521000,0,0,2201200,3483800
3121400,3423600,4937400,6496400,1190700,1629800,2757600,2864000
1830900,1965100,2567000,3135700,1966300,3110200,2905200,2713200
1343000,1300000,4370000,7649700,0,613700,5596300,0
4457400,4273900,6368500,7315300,3090200,3514100,2827300,2756100
2211300,2553100,3884500,4019000,0,0,2924700,2569500
4399500,4799600,4354100,4324100,4691500,5484200,2442100,3018300
3054700,2372200,6925400,5844900,0,0,2756200,2696900
66997000,62635000,0,0,50597000,62121000,0,5447100
2260600,2496000,2715300,2662700,0,0,2503300,2902400
6338400,5175000,7671700,7587900,0,0,3367800,1993300
0,0,3048400,0,0,0,5353300,0
2698600,3002800,2000000,1932300,0,0,1418700,3931400
