Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
9333700,0,0,0,0,0,0,0,0,3547800,3390600,2094000,0,301260,0
397500,0,397500,0,0,0,0,0,0,0,0,0,0,0,0
373670000,0,411220,12194000,42566000,24070000,52918000,29832000,40827000,48452000,36862000,21640000,34423000,18460000,11017000
203800000,0,0,7941000,36734000,25951000,36817000,18499000,36529000,13542000,16525000,10493000,599300,0,165950
21994000,0,0,0,0,0,0,0,0,0,0,0,10657000,6913700,4423700
183260000,0,0,5847200,23436000,17810000,27962000,10157000,20510000,16554000,6886800,9607600,26448000,7851900,10185000
101380000,0,0,1493500,9454800,5985200,20983000,10372000,17231000,15870000,11246000,8749000,0,0,0
24339000,0,0,0,0,0,558340,211850,0,1432100,833740,504680,9727000,6669100,4402000
5856800,0,0,0,0,0,4198000,1658800,0,0,0,0,0,0,0
5885400,0,0,0,0,0,0,0,285880,1632600,516310,657050,1176200,678280,939090
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21180000,0,0,0,5912400,1394600,2545900,895460,3165200,0,0,0,3416400,2411700,1438100
381300000,0,11404000,674060,908670,671600,29370000,13891000,15175000,122480000,69772000,51074000,32051000,16572000,17258000
18949000,0,0,0,1128100,344230,0,0,753960,2363500,1020700,0,7962500,3742600,1633300
17034000,0,0,0,1860700,1167600,1445000,1622100,1266400,2891900,2482200,1781300,1342000,0,1175000
249110000,0,2111100,0,0,0,5755300,2723600,2699600,53692000,29163000,18381000,67421000,41462000,25698000
60938000,0,243910,0,2210900,5965600,0,2080600,2996000,0,2001200,3355700,12393000,13533000,16158000
165210,0,165210,0,0,0,0,0,0,0,0,0,0,0,0
6909100,0,0,0,0,420090,0,0,402870,2164300,1193000,1204400,875350,356820,292320
91782000,0,860600,6747200,8693500,4238300,34501000,10004000,14898000,6778900,2767900,2293300,0,0,0
1008300,0,1008300,0,0,0,0,0,0,0,0,0,0,0,0
16898000,0,11741000,0,0,0,1250700,0,0,956340,673220,2276200,0,0,0
215100,0,215100,0,0,0,0,0,0,0,0,0,0,0,0
3867500,0,0,0,0,0,0,0,0,0,0,0,1372200,1121300,1374000
509270,0,509270,0,0,0,0,0,0,0,0,0,0,0,0
3690700,0,2070300,0,511210,232020,467870,0,0,0,0,0,235600,173690,0
823780,0,823780,0,0,0,0,0,0,0,0,0,0,0,0
10653000,0,0,0,0,116270,275390,0,0,0,0,427870,4013000,3015400,2804600
10686000,0,0,0,0,0,3105000,1070500,1560500,2508200,1441400,999910,0,0,0
2452800,0,110980,0,0,0,0,0,0,1223800,794630,323380,0,0,0
7551400,0,0,0,0,0,0,0,0,0,0,0,2421200,2720200,2410000
36769000,0,138650,0,0,0,1083200,0,343970,2886700,2179800,2217500,14118000,7358600,6442200
23553000,0,734860,190220,1986200,0,5675000,2329300,2256800,0,5848000,4299900,233130,0,0
651280000,0,852870,778300,5572600,4025200,68656000,31895000,42434000,60202000,39333000,26085000,155530000,121470000,94449000
256060,0,256060,0,0,0,0,0,0,0,0,0,0,0,0
53642000,0,0,344880,658740,417510,1207900,414630,406080,1371000,1128600,813010,24532000,11530000,10817000
8614600,0,737680,0,0,0,0,0,0,0,0,0,3810600,2835600,1230600
15299000,0,3076700,378390,2200300,1074200,2262800,1358300,1443600,0,1900100,1604400,0,0,0
118280000,0,2660700,4426400,16242000,8063400,9833200,7971900,8230400,28180000,21189000,11488000,0,0,0
297980000,0,0,0,0,0,16895000,7393300,9837000,60080000,48057000,32458000,48270000,41819000,33172000
8044600,0,0,0,0,0,0,0,0,1086400,841830,0,2719100,2107800,1289400
6566100,0,0,0,0,0,0,0,0,2971100,2125000,1470100,0,0,0
13961000,0,6284900,0,2080700,0,4213200,0,0,819120,0,563510,0,0,0
974190,0,0,0,0,37394,0,322190,317330,68738,101080,127460,0,0,0
123280000,0,0,0,0,0,710930,274360,0,1370100,1652400,958100,54356000,43601000,20355000
1127700,0,0,0,0,0,444680,0,683020,0,0,0,0,0,0
41920000,0,468220,0,8398600,4668200,6123300,3760200,2898700,6109400,4102000,3785200,997530,394400,214290
2326900,0,0,0,0,0,425610,0,0,1177100,650150,0,0,30508,43590
43373000,0,0,62054,0,0,7897300,3363500,4726700,13128000,7211000,6077600,742150,0,164920
3849100,0,0,0,0,0,0,0,0,0,0,0,3849100,0,0
10097000,0,315670,0,0,0,1552200,0,398230,3118000,904710,390760,2031400,859340,526560
9133900,0,0,0,0,0,0,0,0,0,0,0,4232900,3495500,1405500
2340800,0,0,545530,0,0,1469200,326100,0,0,0,0,0,0,0
35013000,0,0,2047300,5076000,0,7851900,4634100,4277600,2902500,2735900,1360800,2188300,1090500,847680
325430,0,325430,0,0,0,0,0,0,0,0,0,0,0,0
3911500,0,3911500,0,0,0,0,0,0,0,0,0,0,0,0
7675400,0,0,0,0,0,0,0,0,0,0,0,5158100,1374100,1143100
5000500,0,0,0,0,0,0,0,0,0,0,0,3221700,0,1778800
153800000,0,0,0,0,0,10059000,4837800,2250900,61372000,43885000,24757000,2361300,2105500,2168500
8743400,0,0,0,0,0,0,0,0,1494300,772790,604340,3888400,1356900,626630
5368900,0,0,0,0,0,0,0,0,2542200,1605700,1221000,0,0,0
17249000,0,0,0,0,0,4264000,480500,1427900,5651800,1402600,2954800,1067200,0,0
14153000,0,237560,0,0,0,0,680030,777260,1136400,624280,0,6852700,3845100,0
24773000,0,373670,0,0,0,5985300,1468700,2543600,4056100,3422800,1580800,2724800,1711300,906360
32182000,0,0,0,0,0,11597000,4246400,6359200,5143000,4070700,766460,0,0,0
324040000,0,405120,6402400,9078900,6231800,71454000,24681000,32016000,30688000,15043000,12741000,59129000,36644000,19522000
2053200,0,1980400,0,0,0,0,0,0,0,0,72847,0,0,0
7290100,0,0,0,0,0,0,0,0,0,0,0,1378900,2532500,3378700
5145900,0,0,0,0,0,1479000,371910,910260,1781300,603440,0,0,0,0
215190,0,215190,0,0,0,0,0,0,0,0,0,0,0,0
3550500,0,775920,0,0,0,1133900,0,534730,340870,765020,0,0,0,0
1580600,0,1500300,0,0,0,0,0,0,0,0,80364,0,0,0
5279300,0,5279300,0,0,0,0,0,0,0,0,0,0,0,0
1582100,0,1582100,0,0,0,0,0,0,0,0,0,0,0,0
116490000,0,163200,0,0,0,5589900,4169600,4122900,0,46013000,27884000,13975000,9645700,4929400
2363100,0,0,0,0,0,0,0,0,0,0,0,1334400,0,1028700
21046000,0,6416100,57030,482680,524190,4613300,1920100,3147900,2332300,0,1552100,0,0,0
357470,0,357470,0,0,0,0,0,0,0,0,0,0,0,0
10670000,0,0,0,0,0,3369900,1164100,927170,1800700,1149100,436190,1822700,0,0
901090,0,0,0,0,0,0,0,0,0,0,0,0,0,901090
16720000,0,0,0,0,0,1613400,446460,0,1762600,0,519970,5959400,3366700,3051400
7928200,0,0,0,0,0,0,0,0,0,0,0,3264800,2561600,2101800
2309200,0,132970,0,0,0,0,572250,0,0,1565100,0,0,38951,0
358510000,0,0,201220,0,154700,27463000,8468000,12886000,31567000,18680000,20245000,92831000,82036000,63984000
575890000,0,189320,1501900,1597300,2139300,15378000,9382700,9200800,64346000,46200000,28755000,124370000,111360000,161470000
322190000,0,0,10599000,18706000,8752900,83019000,21754000,32814000,90783000,34642000,20726000,397330,0,0
362850000,0,3393900,17423000,61834000,24817000,64756000,37542000,44892000,48834000,29447000,21478000,4430000,2505100,1503000
4625800,0,1573300,0,0,0,946030,321780,521810,746990,515900,0,0,0,0
109890000,0,1046400,5959300,5955500,3363200,15735000,4996300,4606300,13150000,7905100,4847600,19431000,11511000,11383000
78975000,0,6437000,0,0,0,18945000,11754000,10124000,13520000,8772500,7426100,1240300,404970,352010
7115900,0,0,0,0,0,0,0,0,0,0,0,3661600,1782400,1671900
109340000,0,939830,1112700,1935500,0,14532000,4762200,6253300,10278000,5968400,3257900,31889000,16930000,11481000
2730000,0,0,0,0,0,0,0,0,0,0,0,1851500,878450,0
3659500,0,118880,0,0,0,0,741860,445600,1551200,801990,0,0,0,0
7128500,0,0,0,0,0,3124500,0,1232300,1227600,625450,0,694650,0,223970
5556100,0,117180,0,0,0,3134700,1097200,1207000,0,0,0,0,0,0
2639700,0,2639700,0,0,0,0,0,0,0,0,0,0,0,0
32429000,0,0,0,0,0,2218200,0,1076300,2943200,4921200,2891000,11177000,5855300,1346400
138860000,0,0,0,0,0,4196900,3258700,2826300,68652000,21996000,14889000,12518000,4621300,5902200
3778300,0,0,0,0,0,0,266770,0,1341400,1237500,932560,0,0,0
7618500,0,3378500,0,855590,256450,809410,381740,275100,974140,422920,264650,0,0,0
20293000,0,0,0,1127800,593550,2363400,876800,1399600,2934400,2331100,1623600,0,0,7042300
5875100,0,0,0,0,0,0,0,0,0,0,0,3514000,1085900,1275200
28571000,0,9847600,952040,1968400,0,6280900,3833800,3362600,979990,698420,647480,0,0,0
9768300,0,0,139270,0,342910,3141600,1276000,1246100,1760500,1280700,581250,0,0,0
33151000,0,1135900,502970,4081500,3370100,7908000,4668400,4198100,3278900,2374900,1632600,0,0,0
116030000,2818.3,3296700,1512100,4770900,0,12029000,8085300,7874300,39370000,10816000,8248500,9662500,7786400,2571300
203620000,0,7103000,4275600,16392000,12520000,44033000,23970000,26512000,32295000,23035000,12451000,859100,0,178870
3759500,0,0,0,0,0,0,0,0,0,0,0,0,1789300,1970200
13847000,0,0,0,0,0,4549600,1861300,2416300,2390400,1517900,1111100,0,0,0
10245000,0,199330,0,2513300,1475300,2984200,1169400,1320400,0,582960,0,0,0,0
14361000,0,1002600,532760,1153700,851750,3788500,1314500,2688500,1656100,1373000,0,0,0,0
43110000,0,1079300,371650,0,727970,3958700,2204300,2109300,5201100,3471500,2673100,14852000,0,6461700
595960,0,595960,0,0,0,0,0,0,0,0,0,0,0,0
54505000,0,0,4260600,10407000,5282400,13995000,6129100,5928600,3902000,2196900,1842800,0,0,560940
14734000,0,38508,0,0,0,602680,0,0,0,0,0,4893900,5225900,3973200
15664000,0,0,0,0,0,492960,0,0,0,0,464610,0,9317700,5388500
2641200,0,1791400,133390,0,0,0,716370,0,0,0,0,0,0,0
12322000,0,0,0,1176500,242470,2026900,387630,0,1481300,0,486920,3815500,1842100,862680
21785000,0,1139600,629210,1377000,1234000,0,1180500,0,6916100,5250500,3699800,0,0,358460
33996000,0,28663000,0,0,0,4164500,0,1168300,0,0,0,0,0,0
5303000,0,0,0,0,0,0,0,485770,2509900,1114300,754600,270570,123630,44356
2782600,0,0,0,0,0,0,0,0,0,0,160380,1695000,534580,392570
22370000,0,3858500,0,1998700,1396300,1861100,1490900,1302500,6219600,0,3260500,0,598190,383870
12582000,0,505200,516740,1300500,0,0,1105200,0,3136900,2402900,1614900,1414300,585650,0
4392300,0,0,0,677580,0,2048100,0,1152100,0,0,514480,0,0,0
54256000,0,1252000,0,0,300490,6809800,0,2418400,13475000,12918000,9878700,6003500,0,1199600
8341200,110730,0,0,0,183870,0,0,0,0,259870,0,2799300,2123700,2863800
147670000,3377.8,0,5139800,12261000,9770100,44664000,15242000,22920000,11109000,11071000,7200300,6694800,919640,673310
128110000,0,0,0,0,0,2816500,0,0,5171800,2583200,1841100,47318000,38290000,30084000
2096900,0,631600,0,0,0,0,829980,0,0,635340,0,0,0,0
16956000,0,0,415330,535340,340550,2032500,639300,0,1655300,1069500,692200,4281300,3000900,2293900
57118000,0,406000,0,0,0,12963000,3944000,7564200,8635900,7018700,4279100,4958400,5738600,1610300
72185000,0,2443500,4051200,9486400,5209000,19752000,8701400,10209000,6518900,0,3650400,0,1170000,993150
115930000,0,2964700,2341900,13482000,7184800,16331000,9358100,7734000,14832000,15694000,9242800,7989800,5155600,3621400
3404100,0,0,0,0,0,184680,0,0,1273800,0,633680,449850,348570,513460
19541000,0,441700,376870,1004700,313300,5049400,1913000,2354700,0,1506800,856930,2752000,1715800,1255200
12890000,0,0,0,0,0,1727600,985760,1223400,3948700,2330900,2214500,0,459420,0
78419000,0,5250800,0,475270,0,29544000,10490000,12624000,6564600,4922700,3642000,862110,2493200,1550200
25456000,0,3527400,5421300,4059200,1883800,6615200,1853800,2095300,0,0,0,0,0,0
793100,0,793100,0,0,0,0,0,0,0,0,0,0,0,0
3772500,0,0,0,0,0,2100900,683190,988410,0,0,0,0,0,0
965980,0,0,0,0,0,965980,0,0,0,0,0,0,0,0
123970000,0,678670,1562900,1853500,1065800,22310000,6710300,7110600,27424000,12855000,11188000,18028000,6970200,6208800
3667500,0,0,0,0,0,0,0,0,0,0,0,3667500,0,0
14332000,9132.2,19663,0,0,0,3495700,912320,1368400,2449100,0,1203600,0,2530700,2342900
28637000,0,0,513530,1025000,723080,10439000,4904600,4996700,2421300,2089200,0,1124900,0,399560
6794300,0,0,0,0,0,0,0,0,0,0,0,3903700,1957300,933260
22595000,0,0,0,973940,0,2937000,872790,767320,0,0,0,7558600,4921500,4563400
13359000,55842,0,0,0,0,0,0,0,0,0,400940,7158600,3368200,2375700
522190000,0,151070000,35790000,120560000,75496000,45828000,20296000,31460000,15521000,11351000,6929200,4635400,1818400,1437900
1399700,0,0,0,0,0,0,0,410060,0,0,393710,595910,0,0
91792000,0,1016700,1344500,3062200,1308300,9412100,4675800,3731400,24271000,25672000,16160000,0,0,1138200
18621000,0,249370,0,0,0,3370300,2515600,2447000,3273300,3452800,0,2660400,0,652230
7337700,0,69632,242160,0,0,1124800,441320,0,0,410340,0,2583300,1062800,1403400
7057800,0,119770,0,1187900,0,3442200,767330,1294900,0,0,245650,0,0,0
123570000,0,1195100,0,0,0,460410,182390,0,3611700,1761200,1472300,55938000,37170000,21778000
5359400,0,0,0,0,0,0,0,0,0,0,0,2013100,1734100,1612100
33834000,0,1816500,0,0,0,7567000,3121200,4152800,6406500,5302100,4221200,0,0,1247000
11412000,0,31594,602170,0,312550,3561400,1495100,1492100,1665000,1026500,659640,565620,0,0
7497400,0,0,0,425570,661670,0,1871100,0,3194200,0,1268200,76640,0,0
290160,0,290160,0,0,0,0,0,0,0,0,0,0,0,0
11426000,63399,0,0,0,0,0,0,0,1303800,1010400,0,3233200,2345200,3470200
121420000,0,94260,0,0,0,14042000,8770000,9840900,21362000,20352000,11567000,7703900,13759000,13930000
