Intensity IN_1,Intensity IN_2,Intensity IN_3,Intensity IN_5,Intensity IN_6,Intensity PD_1,Intensity PD_2,Intensity PD_3,Intensity PD_5,Intensity PD_6
214920000,170140000,207110000,87187000,160370000,0,0,0,0,0
10825000,5426400,13236000,0,4317600,50571000,24952000,49848000,588880,10279000
175590000,108910000,130310000,27236000,172870000,7619300,3144100,2566500,0,4148700
0,3067000,8836400,7177500,10964000,0,0,0,0,0
0,22367000,19979000,11318000,29472000,0,0,0,0,0
38852000000,24177000000,47047000000,17628000000,33276000000,8429100000,3170000000,6815300000,256850000,3098000000
21889000,0,0,5963000,0,0,0,0,0,0
17391000,11019000,25043000,4892900,11595000,0,0,0,0,0
59813000,26245000,44633000,21250000,40542000,0,10807000,11235000,1005400,9191600
0,0,16539000,7383400,4250800,0,0,0,0,0
106710000,76660000,107000000,46039000,184770000,0,0,0,0,0
23466000,9935500,16263000,11916000,5136600,0,0,0,0,0
1614000000,1479300000,1195500000,648180000,2356600000,283810000,124740000,280490000,16357000,140980000
46193000,43120000,84751000,29268000,43626000,0,0,0,0,0
65818000,19935000,30376000,9487300,3431500,101950000,38019000,3362900,13504000,69813000
22704000,14794000,27872000,22341000,13054000,0,0,0,0,0
40117000,90783000,79252000,62214000,68743000,0,0,0,0,0
78734000,51537000,62348000,0,115080000,0,0,0,0,0
18785000,9752000,25972000,31886000,32221000,0,0,0,0,0
32316000,37242000,53952000,31034000,20873000,0,0,0,0,0
0,0,0,0,42758000,0,0,0,0,0
383620000,275500000,62733000,147820000,278100000,8393500,4527300,5364200,0,0
562480000,454810000,466280000,236790000,353760000,2911900,0,0,0,0
16011000,7305700,9146900,5207900,8767400,0,0,0,0,0
768020000,520490000,977080000,453410000,752090000,4962600,3620900,8195200,935360,3898900
161410000,528740000,443950000,171430000,403530000,0,0,0,0,0
35334000,18595000,22073000,3293000,28854000,0,0,0,0,0
2487300,6293600,16212000,11273000,48654000,0,596140,1362000,0,0
14467000000,13145000000,16701000000,8422500000,12347000000,2066500000,1026100000,2452300000,186570000,1524400000
87851000,115830000,130040000,69115000,109350000,0,0,0,0,0
49631000,35440000,46750000,22464000,44210000,0,0,0,0,0
131290000,8267600,0,0,5238000,0,0,0,0,0
1768600000,1481000000,1596900000,526390000,1374000000,34035000,11958000,25674000,1389600,15232000
844630000,506860000,683420000,636220000,655260000,0,0,0,0,0
319960000,216940000,535940000,187810000,309250000,1887400,203800,2628100,0,2119300
737090000,506780000,740900000,161940000,413390000,9407300,0,6286400,0,2370300
280890000,237220000,458870000,87075000,277300000,168030000,52737000,143970000,12242000,103700000
48417000,36240000,51369000,40853000,61090000,0,0,0,0,0
34863000,17472000,31822000,28661000,31275000,0,0,0,0,0
201490000,132220000,245990000,114200000,210650000,0,0,0,0,0
21254000,11153000,28961000,4307100,11181000,20917000,12843000,18534000,0,12224000
1330200000,749480000,1935000000,356110000,1037400000,141130000,57210000,70110000,7472000,63327000
49007000,66045000,74027000,23904000,70606000,0,0,0,0,0
227930000,113710000,241340000,102220000,126750000,0,0,0,0,0
3801800,3637700,5125300,0,0,2597000,0,1569200,0,0
15630000,8118700,18500000,13306000,12948000,0,0,0,0,0
33364000,33862000,47173000,38973000,47414000,0,0,0,0,0
24089000,15474000,16190000,5920200,33182000,0,0,0,0,0
27110000,11251000,19963000,0,20155000,0,0,0,0,0
628250000,456260000,517630000,390500000,604030000,0,0,0,0,0
24193000,35137000,40854000,17158000,19768000,0,0,0,0,0
295250000,211220000,224900000,145930000,185480000,0,0,0,0,0
323000000,132650000,225210000,128080000,147440000,1595700,487760,1107700,424460,0
415590000,145640000,296620000,48577000,265440000,2458200,1567900,5546200,108010,910580
230830,0,3058600,0,1469800,0,0,0,0,0
4405400,4547900,8615400,6156400,10975000,0,0,0,0,0
995400000,903910000,1164000000,475370000,1539300000,26094000,11660000,27524000,3683700,19541000
139890000,142680000,297080000,96620000,196530000,0,0,3724600,0,0
41851000,34770000,48223000,44775000,65573000,0,0,0,0,0
110040000,26914000,152010000,41792000,118170000,0,0,0,0,0
238260000,82594000,126670000,109250000,153380000,0,0,0,0,0
630150000,551770000,931210000,364090000,1093800000,53127000,23500000,20015000,2968600,15298000
148620000,66334000,114600000,46515000,89068000,0,0,0,0,0
987210,10065000,8159200,0,9578900,0,0,0,0,0
0,0,0,0,8824500,33337000,48365000,2135800,889750,0
3077400000,1984300000,2657400000,1999900000,2199800000,65188000,26430000,30940000,1452900,8830600
143900000,83570000,336880000,120770000,118910000,14600000,6877900,17356000,1441400,8438400
7240800,45043000,67249000,31648000,46576000,0,0,0,0,0
61559000,49996000,52964000,59055000,48374000,0,0,0,0,0
16262000,4740400,32982000,8250500,4243900,0,0,0,0,0
0,3238300,0,0,0,0,0,0,0,0
30576000,27631000,46668000,100550,3272400,0,0,0,0,0
4049400,0,1670500,0,2641800,0,0,0,0,0
5618200000,3287800000,7206900000,3433200000,6344500000,2629200000,1240600000,2391500000,198710000,1547000000
