Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
957120,175950,0,80388,0,0,60849,86839,65918,48946,0,258600,179640
4674600,311750,789520,0,89038,1448400,316730,0,0,511280,959540,108980,139320
1552200,120050,169070,81828,0,80854,89349,77398,0,44455,272070,292840,324270
580710,0,0,0,61713,0,95394,207720,148830,67054,0,0,0
1085300,58036,71105,0,47641,68579,57577,54613,0,33634,238550,200990,254580
5919000,1288700,836700,561740,143120,408350,196260,654820,379120,371820,665610,156210,256550
5252900,369520,1676000,268890,173570,605800,165700,553040,196330,341780,616150,129920,156170
2143800,206260,739420,0,107190,169270,106310,110420,212240,90276,402380,0,0
1506900,193440,229420,96657,122780,65978,59533,74627,126890,75947,182570,212060,66968
1668300,0,0,0,305930,469250,0,0,730940,0,162150,0,0
1366100,0,0,0,1130500,69732,0,53001,112880,0,0,0,0
6229100,222950,1166700,787200,152300,689540,561690,124140,428360,1103600,598510,170340,223730
5473700,207440,1456700,568270,162250,645450,312750,200510,220200,619040,723610,174320,183230
13592000,3360200,1455100,661880,569390,644320,467280,2493500,786630,1156200,1097800,305250,594450
19731000,392650,490690,330410,1292700,2201800,955730,4099600,3579300,2568600,1352500,1031800,1435400
124810,0,0,0,0,0,0,0,0,124810,0,0,0
5053600,695460,820280,397540,237300,797190,445890,0,382120,413980,551040,0,312830
152460,89109,0,0,0,0,0,0,0,0,63347,0,0
166290000,5770900,10112000,7885300,20335000,13962000,16323000,33081000,29306000,14261000,6037600,4553300,4664500
935250,0,0,0,0,807980,0,0,0,127260,0,0,0
2096000,539390,192270,80403,115830,70183,57084,270430,68624,41155,304900,160380,195340
7780500,403930,603880,0,824340,771020,499480,1620100,1553400,693200,339310,207950,263800
43195000,847720,758390,649160,2875800,2517500,3874400,7777600,12335000,4899200,2762300,1510300,2387200
3315800,737370,322690,145510,224960,145140,107530,399450,0,0,649410,298280,285490
1040300,94570,110110,127880,0,30070,0,0,46167,0,246700,210750,174020
381790,0,0,0,0,0,0,136430,149380,95982,0,0,0
8320400,2682300,620750,192200,1044500,373030,99588,1787300,193390,110650,803350,238580,174730
491820,0,390080,0,0,101740,0,0,0,0,0,0,0
356650,0,0,0,290260,0,0,0,0,0,66388,0,0
1129700,180260,374260,103670,0,122030,0,96541,80680,0,172280,0,0
15512000,1206200,1095100,676630,1384800,1274400,925490,5282200,1660600,952050,327780,337690,389000
0,0,0,0,0,0,0,0,0,0,0,0,0
229260,34404,30139,0,0,0,0,0,0,0,106430,58284,0
667910,15108,0,0,82784,52449,0,293620,170400,0,53553,0,0
11815000,519090,550880,376610,812000,869710,649720,5160300,1445800,867250,233460,173050,156690
1139700,225490,121510,57716,44035,83493,35327,96431,0,23188,276340,176180,0
1551800,147380,316260,82348,0,165560,85958,211340,101000,184210,208330,0,49377
264490,85259,0,0,0,0,46151,58479,0,0,74604,0,0
1631100,136860,137100,44787,0,0,79862,144060,0,0,568670,280900,238910
