DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
17139000,14665000,13939000,13856000,23283000,12008000,21964000,,,,,,,
20064000,18513000,18125000,19306000,22266000,15881000,22633000,,,,,,,
14409000,11477000,12125000,14156000,17094000,11875000,15732000,,,,,,,
13740000,11726000,11970000,13457000,9979000,11722000,17834000,,,,,,,
6630000,6116000,6436000,6637000,7843000,6081000,5801000,,,,,,,
34885000,28434000,29830000,31284000,37247000,22456000,37208000,,,,,,,
25581000,21505000,23656000,26663000,30306000,25522000,25121000,,,,,,,
58421000,41324000,44878000,51278000,57281000,37120000,49397000,,,,,,,
27760000,22802000,25541000,27381000,29165000,24310000,28208000,,,,,,,
35245000,27231000,27235000,28738000,37908000,21048000,41242000,,,,,,,
4419000,3417000,3719000,3991000,4044000,2684000,5586000,,,,,,,
705000,476000,440000,578000,543000,576000,871000,,,,,,,
5651000,6542000,6112000,5669000,4692000,5635000,8457000,,,,,,,
6496000,5812000,5336000,5701000,5719000,4155000,9441000,,,,,,,
7035000,5602000,5748000,6263000,4838000,5464000,7335000,,,,,,,
9517000,9610000,9928000,10707000,12933000,10106000,8677000,,,,,,,
1749000,1562000,1699000,1676000,2319000,1752000,1840000,,,,,,,
51266000,45488000,46067000,49571000,54562000,40743000,62404000,,,,,,,
73252000,51483000,53846000,58175000,83150000,47163000,65412000,,,,,,,
32407000,24024000,24156000,25055000,29794000,18067000,34463000,,,,,,,
38039000,31971000,33093000,31280000,50643000,27634000,53657000,,,,,,,
19019000,16056000,17251000,19021000,20582000,17638000,21595000,,,,,,,
165512000,142334000,151226000,177048000,182408000,122388000,86513000,,,,,,,
83998000,70367000,74148000,85685000,77543000,57419000,46876000,,,,,,,
14455000,13421000,14540000,16912000,14057000,12253000,5631000,,,,,,,
4266000,4319000,4418000,5491000,4134000,4713000,2885000,,,,,,,
7182000,5939000,6438000,7599000,7135000,4932000,1572000,,,,,,,
435000,449000,461000,692000,481000,656000,247000,,,,,,,
10996000,8206000,8100000,8566000,7947000,7181000,12262000,,,,,,,
24196000,18820000,19166000,20808000,26507000,17650000,27318000,,,,,,,
36312000,32907000,33158000,37833000,37802000,32317000,45502000,,,,,,,
25630000,7171000,7953000,8872000,5590000,7834000,9155000,,,,,,,
328000,237000,263000,314000,365000,323000,299000,,,,,,,
1514000,1405000,1516000,1716000,1817000,1796000,1931000,,,,,,,
205000,166000,237000,244000,11000,206000,124000,,,,,,,
192000,159000,180000,236000,266000,169000,277000,,,,,,,
674000,587000,619000,599000,546000,557000,985000,,,,,,,
284000,193000,230000,232000,338000,181000,261000,,,,,,,
727000,540000,568000,651000,850000,562000,620000,,,,,,,
1736000,1395000,1806000,1462000,2823000,1609000,1296000,,,,,,,
3701000,4178000,4225000,3972000,6329000,5074000,3000000,,,,,,,
2681000,29000,32000,21000,57000,10000,14000,,,,,,,
4909000,4203000,4122000,3786000,5682000,2787000,5578000,,,,,,,
355000,605000,371000,345000,609000,246000,513000,,,,,,,
1103000,1319000,1714000,1849000,2072000,2080000,2166000,,,,,,,
484000,552000,563000,631000,674000,397000,561000,,,,,,,
491000,151000,126000,187000,231000,90000,189000,,,,,,,
344000,381000,338000,366000,384000,199000,684000,,,,,,,
2549000,2123000,2226000,2445000,2749000,2184000,2271000,,,,,,,
21000,26000,33000,32000,32000,43000,56000,,,,,,,
66000,75000,96000,82000,87000,69000,140000,,,,,,,
1013000,956000,898000,1085000,684000,887000,1135000,,,,,,,
656000,591000,624000,617000,138000,519000,571000,,,,,,,
111000,113000,142000,121000,156000,110000,173000,,,,,,,
2040000,2059000,2428000,2197000,3625000,2007000,3669000,,,,,,,
2000,73000,44000,10000,4000,81000,128000,,,,,,,
855000,731000,747000,994000,952000,596000,1318000,,,,,,,
3127000,2158000,2252000,2391000,2385000,1360000,2745000,,,,,,,
73000,87000,99000,86000,122000,99000,140000,,,,,,,
290000,291000,359000,350000,34000,320000,369000,,,,,,,
3890000,3194000,3905000,4133000,5318000,3561000,4140000,,,,,,,
21949000,18164000,18255000,17572000,27280000,12080000,29958000,,,,,,,
691000,530000,559000,613000,978000,597000,703000,,,,,,,
4000,8000,6000,10000,413000,3000,0,,,,,,,
49000,60000,78000,132000,221000,139000,183000,,,,,,,
381000,402000,434000,473000,383000,333000,223000,,,,,,,
348000,313000,281000,297000,334000,142000,336000,,,,,,,
253000,243000,252000,331000,367000,331000,231000,,,,,,,
1032000,13000,76000,52000,101000,23000,11000,,,,,,,
199000,24000,27000,26000,38000,20000,39000,,,,,,,
203000,14000,18000,20000,19000,18000,2000,,,,,,,
232000,145000,215000,323000,403000,344000,343000,,,,,,,
5311000,3749000,4097000,4743000,5478000,3579000,5372000,,,,,,,
926000,1050000,1334000,1371000,1389000,1633000,1322000,,,,,,,
3392000,3051000,2997000,3498000,3279000,3264000,3932000,,,,,,,
7531000,414000,403000,375000,609000,348000,610000,,,,,,,
140000,174000,89000,106000,147000,122000,116000,,,,,,,
468000,425000,427000,523000,548000,433000,493000,,,,,,,
1774000,1839000,2102000,2223000,2489000,2156000,2413000,,,,,,,
195000,162000,227000,274000,299000,193000,148000,,,,,,,
322000,360000,403000,417000,463000,558000,382000,,,,,,,
161000,128000,203000,200000,202000,282000,140000,,,,,,,
1054000,944000,1109000,1026000,1900000,721000,1730000,,,,,,,
114000,92000,71000,69000,32000,35000,190000,,,,,,,
2514000,2703000,2479000,2830000,2677000,1763000,1682000,,,,,,,
922000,924000,1086000,1075000,1125000,640000,1374000,,,,,,,
2850000,2257000,2335000,2895000,2321000,2015000,770000,,,,,,,
712000,679000,766000,960000,1259000,977000,607000,,,,,,,
1983000,2083000,2347000,2929000,3665000,2861000,1636000,,,,,,,
879000,681000,771000,859000,900000,591000,769000,,,,,,,
1202000,1362000,1448000,1441000,1853000,1355000,1633000,,,,,,,
1295000,1198000,1348000,1401000,1638000,929000,1647000,,,,,,,
342000,205000,350000,295000,271000,248000,603000,,,,,,,
2446000,2483000,2686000,2571000,4098000,1731000,2706000,,,,,,,
7000,10000,13000,15000,14000,10000,74000,,,,,,,
343000,378000,386000,408000,561000,376000,684000,,,,,,,
58471000,49355000,51204000,52439000,67957000,37590000,71701000,,,,,,,
356000,400000,428000,359000,523000,228000,525000,,,,,,,
240000,199000,210000,178000,372000,172000,299000,,,,,,,
5527000,5122000,5353000,4825000,6161000,3268000,8804000,,,,,,,
2331000,2072000,1775000,2002000,2456000,1461000,2895000,,,,,,,
230000,250000,241000,233000,8000,172000,376000,,,,,,,
1753000,1838000,1672000,1797000,3190000,1041000,2748000,,,,,,,
662000,670000,579000,618000,706000,549000,565000,,,,,,,
340000,172000,181000,290000,309000,159000,158000,,,,,,,
134000,134000,153000,160000,212000,121000,241000,,,,,,,
414000,415000,504000,601000,657000,503000,494000,,,,,,,
793000,376000,807000,779000,1655000,727000,879000,,,,,,,
664000,403000,669000,697000,947000,694000,671000,,,,,,,
462000,365000,382000,427000,620000,434000,394000,,,,,,,
6830000,6090000,6667000,7493000,9470000,6278000,8304000,,,,,,,
576000,689000,748000,786000,968000,617000,761000,,,,,,,
56359000,52440000,58099000,69173000,56089000,29514000,32876000,,,,,,,
291000,260000,277000,302000,240000,230000,336000,,,,,,,
228000,176000,194000,209000,270000,133000,320000,,,,,,,
7000,5000,4000,3000,258000,9000,9000,,,,,,,
254000,213000,213000,177000,247000,157000,369000,,,,,,,
31000,48000,42000,50000,57000,31000,116000,,,,,,,
667000,443000,407000,498000,795000,569000,1050000,,,,,,,
706000,677000,691000,775000,1025000,603000,752000,,,,,,,
952000,858000,916000,952000,982000,791000,1056000,,,,,,,
174000,200000,200000,202000,286000,202000,262000,,,,,,,
87000,85000,59000,77000,0,57000,89000,,,,,,,
290000,294000,362000,365000,398000,291000,521000,,,,,,,
4740000,3894000,4649000,5030000,4000000,3132000,5620000,,,,,,,
18000,18000,21000,19000,34000,17000,27000,,,,,,,
204000,600000,194000,154000,253000,115000,102000,,,,,,,
0,18000,12000,4000,0,22000,20000,,,,,,,
1500000,1332000,1575000,1785000,1987000,1898000,2202000,,,,,,,
604000,509000,675000,791000,761000,891000,813000,,,,,,,
965000,750000,1034000,998000,1209000,852000,1676000,,,,,,,
804000,583000,683000,752000,794000,596000,990000,,,,,,,
7000,7000,13000,14000,17000,13000,9000,,,,,,,
112114000,94589000,92312000,101685000,102411000,69415000,21829000,,,,,,,
6537000,5220000,5484000,5434000,2468000,3841000,6703000,,,,,,,
67000,76000,82000,94000,119000,91000,102000,,,,,,,
1044000,681000,603000,757000,795000,776000,1185000,,,,,,,
180000,132000,132000,141000,135000,83000,241000,,,,,,,
2012000,1689000,2050000,1762000,2594000,1595000,2556000,,,,,,,
28000,25000,29000,36000,52000,31000,32000,,,,,,,
6301000,5502000,5810000,6515000,8991000,5662000,6631000,,,,,,,
8012000,7663000,7851000,9069000,10021000,7154000,7702000,,,,,,,
1734000,1611000,1509000,1675000,1663000,1363000,2622000,,,,,,,
1658000,1783000,1883000,1812000,2297000,1300000,2250000,,,,,,,
2071000,2208000,2152000,2268000,1480000,1537000,2705000,,,,,,,
243000,301000,275000,369000,194000,341000,371000,,,,,,,
170000,165000,152000,214000,321000,354000,284000,,,,,,,
450000,614000,588000,703000,855000,838000,732000,,,,,,,
1241000,1513000,1644000,1942000,1875000,1158000,879000,,,,,,,
17723000,18097000,19348000,22932000,14877000,5177000,12607000,,,,,,,
857000,816000,818000,784000,709000,407000,320000,,,,,,,
116000,112000,99000,112000,92000,67000,71000,,,,,,,
9027000,8372000,9640000,10193000,9157000,6919000,5397000,,,,,,,
325000,415000,377000,369000,223000,294000,289000,,,,,,,
17543000,15042000,15647000,18228000,17028000,12198000,10367000,,,,,,,
94000,80000,89000,112000,105000,214000,81000,,,,,,,
17524000,16510000,17104000,18360000,18963000,14667000,18952000,,,,,,,
11483000,10355000,10188000,11496000,12159000,7791000,14261000,,,,,,,
1241000,1074000,1122000,1310000,1312000,819000,1762000,,,,,,,
2379000,2482000,2941000,3134000,3286000,3788000,2126000,,,,,,,
493000,394000,492000,469000,512000,468000,1009000,,,,,,,
31475000,28447000,30157000,33065000,26503000,22670000,38155000,,,,,,,
5055000,4023000,5005000,5783000,5051000,3813000,4090000,,,,,,,
9213000,8143000,9045000,9778000,9220000,7215000,9479000,,,,,,,
13056000,14159000,12606000,13536000,16412000,7609000,7149000,,,,,,,
716000,705000,775000,936000,1198000,759000,290000,,,,,,,
368000,290000,489000,525000,487000,462000,186000,,,,,,,
195000,178000,208000,221000,189000,147000,189000,,,,,,,
3060000,3397000,3434000,3772000,3533000,2649000,1823000,,,,,,,
1001000,601000,677000,660000,672000,383000,614000,,,,,,,
2000,4000,8000,5000,15000,6000,1000,,,,,,,
713000,761000,686000,745000,430000,513000,737000,,,,,,,
30000,38000,39000,34000,49000,6000,34000,,,,,,,
91934000,73263000,80036000,92810000,89940000,44444000,44639000,,,,,,,
897000,817000,899000,776000,62000,836000,893000,,,,,,,
1875000,1704000,1663000,1944000,1965000,1227000,596000,,,,,,,
11777000,11621000,11056000,12394000,13106000,7828000,13561000,,,,,,,
25000,24000,23000,31000,33000,25000,8000,,,,,,,
884000,820000,902000,1154000,1163000,943000,899000,,,,,,,
4665000,4530000,4223000,4420000,6086000,3581000,5223000,,,,,,,
892000,926000,851000,847000,756000,508000,1005000,,,,,,,
318000,295000,285000,387000,323000,74000,66000,,,,,,,
2005000,576000,580000,635000,529000,383000,487000,,,,,,,
230000,262000,278000,364000,365000,271000,290000,,,,,,,
623000,1131000,747000,1155000,121000,240000,2558000,,,,,,,
3123000,3664000,4103000,4793000,5064000,3731000,3479000,,,,,,,
1758000,1856000,1829000,1904000,1890000,1396000,1913000,,,,,,,
1087000,1260000,1066000,1157000,1228000,710000,1279000,,,,,,,
153000,171000,178000,185000,176000,140000,224000,,,,,,,
404000,318000,387000,400000,512000,352000,451000,,,,,,,
150000,143000,107000,134000,88000,85000,99000,,,,,,,
424000,372000,402000,404000,94000,261000,417000,,,,,,,
517000,621000,563000,608000,781000,467000,785000,,,,,,,
2525000,2532000,2866000,2891000,3474000,2326000,3048000,,,,,,,
779000,850000,851000,985000,1228000,927000,980000,,,,,,,
363000,212000,241000,264000,355000,209000,228000,,,,,,,
2638000,1442000,2177000,2233000,2651000,1630000,3880000,,,,,,,
6244000,4988000,5454000,5673000,6574000,3890000,6489000,,,,,,,
338000,352000,322000,304000,107000,262000,461000,,,,,,,
2661000,1929000,2156000,2167000,2704000,1671000,2885000,,,,,,,
1114000,1039000,1229000,1280000,1303000,1089000,1382000,,,,,,,
2000,7000,4000,2000,2000,14000,95000,,,,,,,
153000,104000,134000,158000,238000,119000,198000,,,,,,,
0,2000,2000,2000,0,21000,98000,,,,,,,
218000,159000,161000,153000,214000,108000,369000,,,,,,,
70000,18000,53000,67000,120000,1000,25000,,,,,,,
18000,24000,30000,34000,557000,44000,38000,,,,,,,
1257000,982000,805000,682000,753000,905000,2807000,,,,,,,
677000,590000,705000,784000,944000,672000,587000,,,,,,,
110000,141000,147000,176000,145000,90000,274000,,,,,,,
1312000,1404000,1452000,1848000,2126000,1450000,1892000,,,,,,,
74000,109000,57000,43000,47000,27000,115000,,,,,,,
273000,278000,332000,306000,423000,177000,537000,,,,,,,
35000,28000,27000,43000,45000,22000,29000,,,,,,,
7143000,7316000,7883000,7886000,8353000,5245000,9989000,,,,,,,
137000,125000,171000,160000,149000,102000,178000,,,,,,,
507000,479000,588000,619000,723000,507000,554000,,,,,,,
3490000,3420000,3535000,3623000,3782000,2599000,4181000,,,,,,,
546000,560000,538000,657000,602000,515000,543000,,,,,,,
1052000,1071000,1278000,1667000,81000,1306000,2162000,,,,,,,
675000,615000,590000,609000,787000,450000,659000,,,,,,,
1959000,1832000,2188000,2720000,3426000,2001000,3054000,,,,,,,
570000,368000,345000,324000,778000,268000,824000,,,,,,,
306000,686000,354000,248000,196000,242000,613000,,,,,,,
2207000,1835000,2056000,2351000,1876000,559000,1575000,,,,,,,
2289000,2077000,2074000,2383000,2054000,1045000,325000,,,,,,,
2611000,2486000,2523000,2971000,1814000,2495000,1278000,,,,,,,
6920000,6790000,6037000,6961000,10059000,4077000,5895000,,,,,,,
269000,44000,33000,30000,5000,33000,123000,,,,,,,
1474000,1416000,1490000,1542000,2128000,1022000,2580000,,,,,,,
23000,41000,52000,46000,61000,57000,142000,,,,,,,
236000,151000,168000,92000,180000,102000,251000,,,,,,,
6169000,6199000,5743000,6520000,6959000,5806000,7073000,,,,,,,
364000,385000,444000,447000,596000,430000,728000,,,,,,,
9027000,9645000,10099000,12310000,9082000,9613000,9187000,,,,,,,
3912000,4459000,4183000,4587000,7194000,3921000,4192000,,,,,,,
44000,31000,49000,49000,66000,44000,28000,,,,,,,
1378000,1381000,1443000,1640000,1423000,1424000,1550000,,,,,,,
84000,107000,86000,80000,91000,112000,105000,,,,,,,
3309000,3398000,3277000,3175000,1940000,2204000,5108000,,,,,,,
27000,36000,30000,42000,40000,44000,42000,,,,,,,
678000,514000,562000,722000,721000,457000,285000,,,,,,,
2651000,1568000,1692000,1421000,2788000,1019000,2701000,,,,,,,
2140000,3535000,2557000,2548000,3415000,1967000,1987000,,,,,,,
7116000,3971000,4041000,4480000,4994000,3946000,6901000,,,,,,,
1606000,1198000,1298000,1210000,1460000,1243000,1122000,,,,,,,
545000,506000,583000,641000,898000,828000,261000,,,,,,,
8264000,7195000,7777000,8948000,11531000,8357000,8191000,,,,,,,
5073000,4863000,5183000,5094000,4138000,3828000,6096000,,,,,,,
1918000,1882000,1996000,1749000,2492000,1551000,1721000,,,,,,,
691000,682000,598000,637000,570000,472000,1102000,,,,,,,
3400000,3364000,3539000,3872000,4428000,3413000,1823000,,,,,,,
77000,88000,102000,141000,110000,117000,118000,,,,,,,
21916000,15877000,16547000,17332000,21037000,12320000,16124000,,,,,,,
26000,53000,63000,87000,85000,94000,95000,,,,,,,
204000,295000,346000,402000,344000,380000,307000,,,,,,,
230000,316000,336000,382000,164000,294000,329000,,,,,,,
10762000,9447000,9985000,11136000,12912000,7078000,3271000,,,,,,,
186000,190000,192000,214000,454000,207000,315000,,,,,,,
249000,256000,266000,244000,454000,269000,644000,,,,,,,
166000,182000,201000,154000,231000,182000,246000,,,,,,,
769000,611000,535000,554000,859000,436000,887000,,,,,,,
58000,68000,69000,74000,127000,71000,73000,,,,,,,
708000,665000,646000,698000,989000,427000,926000,,,,,,,
49000,45000,56000,62000,84000,55000,59000,,,,,,,
20057000,17020000,19004000,20918000,25181000,17118000,29199000,,,,,,,
109660000,113398000,117945000,117997000,148665000,78152000,121782000,,,,,,,
139070000,125286000,135646000,131727000,171000000,89627000,147249000,,,,,,,
8070000,6467000,7773000,7287000,10160000,4791000,13555000,,,,,,,
298000,271000,454000,500000,563000,552000,414000,,,,,,,
120000,119000,151000,105000,131000,60000,167000,,,,,,,
333000,323000,394000,398000,355000,289000,480000,,,,,,,
383000,405000,412000,566000,535000,368000,486000,,,,,,,
2019000,1696000,1907000,2206000,1184000,1797000,1021000,,,,,,,
6713000,7455000,7727000,8474000,7337000,7274000,3394000,,,,,,,
47000,44000,44000,51000,71000,55000,49000,,,,,,,
19444000,19478000,19444000,20165000,16341000,16065000,26538000,,,,,,,
17087000,14611000,16150000,18139000,20067000,13267000,19879000,,,,,,,
1068000,972000,1054000,1186000,915000,909000,1050000,,,,,,,
2553000,2413000,2656000,2732000,3115000,1863000,3474000,,,,,,,
1060000,1009000,1023000,1062000,532000,692000,1290000,,,,,,,
4079000,3575000,3916000,4372000,3209000,3998000,4927000,,,,,,,
3281000,2741000,3163000,3223000,4075000,2661000,3874000,,,,,,,
32583000,31662000,37588000,44690000,54561000,39715000,43246000,,,,,,,
88000,91000,89000,107000,136000,110000,125000,,,,,,,
12567000,10859000,12343000,13288000,14095000,8992000,2689000,,,,,,,
115000,130000,110000,92000,88000,117000,326000,,,,,,,
210000,182000,161000,93000,57000,207000,285000,,,,,,,
1375000,1393000,1551000,1702000,1959000,1242000,1135000,,,,,,,
525000,493000,603000,553000,504000,504000,725000,,,,,,,
1136000,770000,722000,840000,909000,630000,856000,,,,,,,
6750000,4601000,4653000,5623000,6812000,4299000,5267000,,,,,,,
3752000,1952000,1937000,2145000,2390000,1580000,1834000,,,,,,,
1338000,1154000,1280000,1473000,1280000,958000,802000,,,,,,,
10417000,5488000,5010000,5784000,7032000,4476000,5812000,,,,,,,
18451000,16380000,18509000,21150000,17180000,6393000,13220000,,,,,,,
199000,212000,208000,238000,312000,268000,226000,,,,,,,
13000,12000,16000,15000,26000,14000,15000,,,,,,,
3000,13000,15000,9000,9000,20000,42000,,,,,,,
