DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
1038000,980000,1017000,1027000,965000,822000,1831000,,,,,,,
457000,389000,411000,408000,437000,224000,165000,,,,,,,
3301000,2863000,3080000,2902000,2520000,2482000,3758000,,,,,,,
50769000,39740000,39490000,44857000,56012000,53467000,41726000,,,,,,,
232151000,252307000,231611000,253631000,250682000,215921000,159537000,,,,,,,
4136000,3835000,3703000,3825000,5442000,2886000,6741000,,,,,,,
6191000,6407000,6460000,6618000,4954000,2747000,2655000,,,,,,,
6435000,4884000,5618000,6737000,7674000,3747000,4927000,,,,,,,
204000,242000,263000,262000,439000,289000,388000,,,,,,,
478000,344000,323000,389000,422000,238000,453000,,,,,,,
12367000,11136000,11026000,12255000,11100000,11875000,13530000,,,,,,,
126000,85000,89000,104000,65000,76000,165000,,,,,,,
1549000,921000,1423000,1511000,1677000,1037000,1510000,,,,,,,
220000,191000,179000,179000,218000,184000,167000,,,,,,,
31000,50000,63000,46000,55000,532000,50000,,,,,,,
1468000,1420000,1603000,1894000,1895000,2029000,2127000,,,,,,,
4152000,4028000,4602000,4620000,3921000,3154000,4510000,,,,,,,
504000,267000,433000,444000,376000,373000,1369000,,,,,,,
1066000,1149000,1031000,1018000,1215000,607000,1437000,,,,,,,
14810000,9448000,11414000,12325000,14005000,8041000,17644000,,,,,,,
337000,304000,265000,269000,20000,209000,352000,,,,,,,
391000,320000,347000,362000,435000,364000,392000,,,,,,,
23856000,17191000,19615000,22012000,21427000,18387000,21810000,,,,,,,
82000,2000,81000,80000,95000,59000,152000,,,,,,,
248000,224000,307000,395000,603000,398000,314000,,,,,,,
82621000,63230000,66179000,70984000,75283000,60186000,70443000,,,,,,,
53000,42000,48000,65000,96000,85000,79000,,,,,,,
31000,29000,41000,28000,24000,110000,51000,,,,,,,
567000,464000,392000,523000,815000,548000,592000,,,,,,,
833000,728000,763000,914000,977000,676000,471000,,,,,,,
609000,573000,561000,564000,855000,520000,582000,,,,,,,
1069000,810000,784000,825000,992000,549000,1271000,,,,,,,
547000,417000,504000,485000,748000,451000,682000,,,,,,,
2345000,717000,690000,796000,664000,476000,796000,,,,,,,
3696000,1996000,1902000,2706000,2322000,1873000,2651000,,,,,,,
12636000,5874000,5715000,7285000,6344000,5128000,5269000,,,,,,,
15614000,13950000,16783000,17944000,20557000,17727000,19892000,,,,,,,
3000,96000,72000,26000,18000,86000,260000,,,,,,,
1467000,836000,833000,916000,1071000,468000,448000,,,,,,,
61000,57000,61000,55000,59000,28000,30000,,,,,,,
332000,297000,305000,407000,339000,315000,266000,,,,,,,
718000,824000,746000,613000,693000,613000,1516000,,,,,,,
42875000,28360000,31075000,33267000,42519000,28815000,34046000,,,,,,,
2560000,2123000,2410000,2637000,3412000,2942000,3552000,,,,,,,
694000,592000,633000,747000,288000,654000,942000,,,,,,,
2453000,2019000,1979000,2179000,2362000,1990000,2926000,,,,,,,
131000,22000,17000,31000,17000,38000,34000,,,,,,,
6546000,592000,628000,739000,138000,753000,345000,,,,,,,
53969000,47150000,54941000,61290000,74501000,52751000,45636000,,,,,,,
1617000,1231000,1227000,1326000,1422000,988000,1303000,,,,,,,
67000,68000,75000,87000,80000,73000,43000,,,,,,,
35000,48000,43000,50000,72000,42000,40000,,,,,,,
246000,148000,130000,151000,229000,159000,126000,,,,,,,
4188000,3983000,4161000,4898000,4850000,5223000,4903000,,,,,,,
983000,846000,961000,1039000,1103000,840000,1089000,,,,,,,
1542000,1379000,1575000,2030000,1753000,1654000,1522000,,,,,,,
309000,318000,359000,344000,376000,423000,459000,,,,,,,
740000,410000,476000,528000,652000,510000,652000,,,,,,,
1277000,996000,1186000,1263000,1347000,995000,1550000,,,,,,,
341000,206000,227000,245000,160000,230000,369000,,,,,,,
351000,248000,259000,263000,207000,159000,436000,,,,,,,
33254000,32212000,32102000,37735000,40775000,34624000,39548000,,,,,,,
183000,223000,232000,202000,265000,144000,261000,,,,,,,
598000,464000,478000,479000,803000,356000,895000,,,,,,,
378000,260000,342000,315000,318000,204000,425000,,,,,,,
720000,152000,302000,359000,422000,450000,302000,,,,,,,
312000,229000,245000,236000,277000,169000,315000,,,,,,,
382000,342000,358000,357000,390000,301000,360000,,,,,,,
1238000,1093000,1060000,1390000,1260000,1104000,1114000,,,,,,,
1437000,1565000,1534000,2097000,1931000,1491000,2058000,,,,,,,
31000,54000,23000,26000,12000,17000,79000,,,,,,,
642000,533000,567000,645000,748000,505000,597000,,,,,,,
633000,678000,790000,738000,861000,614000,979000,,,,,,,
2074000,377000,404000,613000,527000,503000,348000,,,,,,,
287000,226000,246000,265000,301000,163000,351000,,,,,,,
12433000,11661000,12332000,12582000,13431000,10175000,10655000,,,,,,,
257090000,219530000,237535000,279031000,285548000,198526000,54840000,,,,,,,
1088000,698000,1002000,1181000,1162000,969000,517000,,,,,,,
950000,859000,831000,1020000,982000,721000,424000,,,,,,,
484000,462000,471000,570000,527000,309000,290000,,,,,,,
2644000,2330000,2588000,3033000,3442000,2378000,572000,,,,,,,
221631000,197946000,208344000,233814000,250356000,180733000,73538000,,,,,,,
2533000,2420000,2669000,3256000,3765000,2283000,1867000,,,,,,,
34383000,30188000,32200000,37536000,38922000,28327000,11044000,,,,,,,
710000,602000,778000,747000,706000,346000,55000,,,,,,,
915000,182000,143000,174000,296000,519000,157000,,,,,,,
4141000,3901000,4678000,4991000,6467000,5044000,6033000,,,,,,,
7750000,7241000,7312000,8180000,5590000,4888000,6117000,,,,,,,
1009000,1053000,1149000,1099000,836000,765000,1580000,,,,,,,
1000,41000,10000,0,0,2000,144000,,,,,,,
175000,150000,168000,121000,247000,17000,404000,,,,,,,
705000,675000,846000,901000,239000,711000,460000,,,,,,,
438000,499000,502000,516000,648000,578000,594000,,,,,,,
210000,142000,224000,230000,303000,205000,204000,,,,,,,
5822000,3225000,3425000,6817000,8004000,3203000,2993000,,,,,,,
209000,189000,205000,238000,338000,223000,218000,,,,,,,
1754000,1439000,1495000,1896000,1847000,1931000,1061000,,,,,,,
107000,79000,67000,89000,109000,102000,101000,,,,,,,
81000,47000,49000,55000,66000,71000,33000,,,,,,,
4693000,121000,126000,171000,301000,115000,333000,,,,,,,
75000,68000,75000,85000,84000,65000,89000,,,,,,,
445000,226000,288000,308000,354000,206000,336000,,,,,,,
1564000,669000,602000,681000,1037000,621000,1128000,,,,,,,
2003000,2368000,2609000,2895000,1763000,3235000,1676000,,,,,,,
314000,295000,285000,347000,399000,284000,257000,,,,,,,
431000,460000,446000,496000,594000,469000,568000,,,,,,,
76000,84000,85000,112000,116000,91000,89000,,,,,,,
126000,121000,156000,438000,127000,159000,107000,,,,,,,
1959000,1455000,1466000,1610000,1692000,1592000,1288000,,,,,,,
56000,64000,83000,87000,78000,28000,32000,,,,,,,
