Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
1857300,624930,223110,72411,55006,112740,132100,204210,154720,105150,73326,55860,43703
12174000,1201500,984770,765290,958630,447720,487540,795840,1056400,995460,1409900,1879400,1191500
26465000,4279000,2482000,2863300,1878200,1418000,1932100,2790700,2435800,2728000,1166500,1323000,1168000
3126600,616970,354490,227720,259220,100980,80986,284000,485490,347640,143800,152680,72623
5241200,808480,461880,583930,307380,254830,270970,510090,508710,474120,334180,357440,369140
3674500,513700,366020,368090,332900,220360,195360,394660,337890,292620,244010,231930,176980
14711000,2291900,1405000,1813100,1089700,647130,705140,1906400,1798400,1254500,867290,932200,0
7192700,725340,507900,330470,723730,352470,304580,1257600,582930,538150,863010,593540,413030
372900,0,0,0,152890,0,0,220000,0,0,0,0,0
823280,258270,97643,130200,85006,54541,0,129440,0,0,28566,39616,0
1167900,437570,290280,112350,81850,0,0,59099,107120,79615,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
466880,318710,0,0,63255,0,0,84920,0,0,0,0,0
5314600,294540,482350,593650,361480,212890,0,650950,340090,0,810400,994040,574230
1505200,0,165870,64192,0,126350,79691,0,311150,328750,0,173540,255670
54985000,8485700,5822100,5744400,3864900,0,3396900,6933900,6427300,6429600,4101300,3573100,205760
7302700,1617800,1038700,993290,295830,274270,278220,502480,572830,519730,443490,429310,336750
1564200,299620,238500,132250,61348,48444,49963,97440,122480,124610,123930,151770,113890
2531400,287160,237260,237460,198220,229550,163650,261910,315020,289150,162560,0,149480
8642800,1192300,1041300,1018600,505380,516080,596380,806020,964680,994810,328990,383480,294700
674990,0,196580,155450,0,88576,87143,0,0,0,0,78375,68872
