Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
93991000,21849000,5024400,2945300,9838300,3157000,2186400,9913600,2610100,1939100,15237000,9750200,9540100,17683000,3473500,2867800,16154000,2792400,1670700,7235600,2102900,1315800,10900000,16337000,12354000
3094200,374290,316290,279700,169500,188230,93874,0,181060,43652,498550,460660,488380,337690,299240,338120,278610,246120,0,0,239600,0,348910,836670,427030
3943200,786040,441020,310190,80951,152700,109990,250830,108710,0,762990,613130,326710,440540,322380,355480,0,265450,0,254440,224090,0,403040,1178300,565600
136670000,5886800,6613000,3550900,24859000,13808000,12117000,29193000,17552000,11804000,4384600,3673200,3228000,6484900,6908700,2438100,44611000,8940000,6151500,41336000,16705000,8435400,3171900,5100900,2663300
2029400,525130,255890,151020,118860,106770,148920,262600,118390,0,341770,0,0,524590,238270,0,0,0,0,0,0,0,0,0,0
2066100,251780,324550,235330,154250,171930,0,188010,63257,62431,235200,169900,209480,240090,323110,288130,249750,192810,0,187780,0,0,198590,0,239680
1869700,94570,110110,127880,0,92575,57639,98351,46167,51779,507030,509600,174020,0,0,0,0,125640,0,0,0,0,264590,823830,0
640680,107330,177940,110930,74783,0,0,43792,0,0,0,0,125900,0,0,0,0,0,0,0,0,0,0,0,156760
9620000,804300,611610,637130,128460,528710,476430,172240,305950,191990,2330500,1820700,1612000,658900,725740,781340,389350,365980,516860,0,430060,235430,1767000,2704800,2009200
3750900,764380,516770,114360,301260,238280,122060,209450,88744,207950,626520,369760,191320,771850,532190,339320,313300,237740,0,308120,0,0,351800,363000,343050
437660,73961,46860,0,26186,39616,25044,0,0,0,77253,99452,49290,0,0,0,0,0,0,0,0,0,0,0,61370
22284000,466530,690770,335110,1002700,1063000,1446700,1909400,3314000,1730100,3442500,2716200,4166400,740420,876830,494910,2792000,1176100,1780500,1967100,3017800,1685700,1950400,3609800,4928800
737070,104180,79584,35990,60614,33548,51513,137970,48921,39823,80879,64044,0,0,0,0,0,0,0,0,0,0,0,89398,0
222350,26471,0,0,91235,0,0,56634,0,48015,0,0,0,0,0,0,0,0,0,0,0,53807,0,0,0
2485300,495490,310220,191020,122780,209000,59533,74627,126890,166730,291880,370210,66968,282430,255430,262320,0,156390,0,0,0,172800,241320,836830,0
3042900,173580,172850,159300,429670,317660,373610,440770,596020,284570,49965,0,44949,193010,176590,226470,507760,387210,418290,447310,722150,304210,0,0,0
2400200,0,0,0,452570,219470,303640,577430,579070,267980,0,0,0,0,0,0,708100,315550,356280,536910,529590,310130,0,0,0
702260,0,221390,78049,0,87240,0,0,91661,51025,0,84842,88048,0,0,0,0,0,0,0,0,0,0,0,109630
28226000,5037200,2022600,941350,1531200,1052000,868270,1964000,731150,520960,5927900,4139100,3490600,5090800,1998200,1318600,2323100,779970,866680,2575100,955600,624200,3985700,5748800,4562900
740770,0,0,0,110650,101270,76166,0,312130,140540,0,0,0,0,0,0,0,0,0,0,0,157500,0,0,0
69094,0,0,0,0,0,0,0,0,0,0,69094,0,0,0,0,0,0,0,0,0,0,0,96448,0
454340000,9552200,9044900,8516000,45094000,35148000,27816000,87185000,97642000,49627000,30218000,23841000,30653000,10639000,10688000,13111000,57018000,36226000,32374000,93321000,98116000,56483000,25789000,33618000,32879000
1810900,0,0,0,114520,170020,102960,541190,462360,376430,0,43412,0,0,0,0,182120,166060,202870,496120,391970,457040,0,0,0
26803000,3672800,3201000,2232800,1457100,1611400,1259700,987640,1207500,875000,3045100,3665200,3588100,3493800,2846300,3086500,2267300,1627200,1584300,957190,1321600,1077900,2952100,4940700,4341900
680760,0,62888,60556,29945,0,0,0,0,0,220590,175760,131030,0,0,0,0,0,0,0,0,0,0,0,163140
6019100,484270,704080,331990,98232,101280,82936,86094,95646,0,1398700,1321300,1314600,457260,577600,537240,0,0,0,0,0,0,1118200,1852400,1658300
1726700,546830,62271,232530,153560,27081,79704,221240,96948,0,47534,259040,0,538180,0,0,231070,0,0,215520,0,0,0,0,0
9032600,821630,887280,572070,154010,344760,391340,77398,285720,203450,1921200,1584200,1789600,769580,783510,547010,379180,406100,439590,0,346610,300180,1524300,2392800,2167100
290370,0,0,32995,0,0,17211,0,0,0,120470,77289,42402,0,0,0,0,0,0,0,0,0,0,0,52794
4233800,427270,414670,448340,180220,288970,246360,610560,294250,63944,259120,467710,532410,401300,433140,703570,270470,279950,327390,355660,281200,0,0,734430,743280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724700,281430,134780,94179,170410,106240,75875,314970,0,82838,182590,179850,101560,305400,0,0,0,0,0,269190,0,0,0,0,0
1644200,0,342890,0,273400,261180,228270,0,0,0,538500,0,0,0,0,0,0,0,0,0,0,0,430360,0,0
422390,0,116980,46856,0,0,0,15574,0,0,131250,111740,0,0,0,0,0,0,0,0,0,0,0,155970,0
10331000,363920,393370,313700,1352300,1398100,824890,1340400,1632300,1067600,693070,368000,583700,339280,284570,510870,2216800,1486400,1320400,1268700,1530500,1097000,409710,593880,652790
930590,0,0,0,153600,138010,65906,239410,266000,67672,0,0,0,0,0,0,0,0,0,222830,0,0,0,0,0
2213200,0,64927,0,418250,175140,199780,486420,102160,202200,172080,142160,250080,0,0,0,602780,0,0,481880,0,0,0,0,0
1455400,0,0,0,142600,144320,73605,489750,364210,175210,0,29904,35766,0,0,0,0,0,0,0,0,0,0,0,44532
3225100,278650,254820,253650,123410,158490,185980,237000,158620,162710,463750,420520,527500,0,0,0,0,0,0,0,0,0,0,0,656790
2280400,1204600,266450,66965,146780,0,129510,82927,0,0,75388,236840,70984,984110,331030,0,0,0,0,0,0,0,0,0,0
57335000,1216600,668660,1111400,5358200,5115800,5742700,12352000,14648000,5260800,2197500,1798200,1866100,1359200,1074300,2002500,8668300,4833400,7032200,10452000,13398000,7662600,2010000,2584600,2608400
395790000,15866000,18596000,41875000,21432000,12618000,44720000,53254000,51597000,36772000,41519000,17909000,39634000,0,0,0,0,0,0,0,0,0,0,0,24674000
