DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
125320000,120454000,143080000,169742000,153736000,149757000
22483000,15276000,13652000,20734000,18035000,15288000
34528000,31966000,36062000,56039000,27439000,39406000
18094320000,18646187000,21087751000,18736203000,15712557000,16763284000
9632047000,10863759000,11021622000,8357811000,4947087000,9180241000
206273000,221603000,264200000,186802000,167302000,137248000
4914470000,5057643000,5253211000,5288645000,5095388000,4323647000
42311000,110365000,117547000,107389000,132483000,89485000
6341839000,3924771000,3964866000,4456040000,5533632000,3582697000
20309000,47011000,33228000,54065000,26073000,63110000
869000,11210000,10427000,21742000,13192000,13278000
31755000,53258000,59908000,79882000,51715000,41816000
29352426000,30777072000,35931578000,31547586000,30098337000,27617825000
53673850000,57050426000,67008357000,57170086000,56998838000,53938980000
11580094000,11594684000,13088602000,8435855000,3766968000,11880566000
0,0,0,0,0,0
9404000,143112000,167759000,76426000,134859000,96545000
2209903000,1753132000,1850805000,1249674000,3004673000,1192744000
131000,34365000,15843000,27121000,31419000,24896000
2347632000,2634428000,2964279000,2826956000,2357773000,2567533000
114362000,161845000,178212000,119885000,102963000,117121000
14059570000,14946205000,14939838000,12731480000,9170255000,12627093000
87741000,107148000,107290000,102890000,89266000,96108000
97403000,123457000,103642000,187452000,106820000,211386000
4331538000,3505712000,4897321000,3930207000,4512900000,3867865000
379203000,402241000,277244000,355453000,352542000,266662000
4977000,16895000,15391000,20364000,14200000,15682000
355103000,424232000,402387000,594524000,401650000,428924000
438674000,311404000,365771000,386182000,403011000,340724000
98940000,1027890000,369291000,143589000,169817000,296949000
49130000,42340000,52762000,47732000,36675000,38924000
0,0,0,0,0,0
18000,11115000,11706000,10498000,8480000,11796000
0,8070000,6489000,8788000,7178000,7038000
68815000,65282000,88159000,81526000,61948000,66604000
877007000,601915000,568315000,575125000,755421000,454199000
29830561000,31063941000,37159969000,32645852000,29294433000,27538373000
33142744000,31750699000,35515109000,32696351000,30706659000,26487937000
