K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.449294,,,,,,,,,8.087623,,,,,,,,,,,7.960008,
7.2302,,,,,7.715331,,7.468542,7.423556,7.92248,,,,,,,,,,,,
8.565876,8.475971,8.456794,8.431486,8.437793,8.201931,8.606349,8.20194,8.621814,8.322712,7.897819,8.53867,9.152205,8.975417,9.341861,8.673406,9.002797,8.574226,8.923937,9.219042,8.703418,8.619859
7.549724,,,,,7.568519,,7.669799,8.030957,,6.911997,,,7.65119,7.380677,,7.567145,,,,7.581737,
8.05118,,,,,7.931526,,7.781012,,7.505463,,,,,7.480489,,,,,,7.855251,
7.797015,,,,,7.63079,,7.805195,,7.459244,,,,,,,,,,,7.65486,
7.770588,7.662882,7.908249,7.894681,,,7.916302,,7.776241,7.414796,,7.56877,,,7.011135,8.23011,7.672552,7.57367,7.727441,7.966451,7.708843,7.211902
7.471458,,,,,7.408959,7.550962,,7.482827,7.511232,,,7.606318,7.481804,7.476247,,7.528393,,7.825758,7.050242,7.447579,7.532181
7.422164,7.356835,6.532024,,,,,,7.461744,,,,,,,,,,,,7.306376,
7.920762,,,,,,,,,,,,,,,,,,,,,
7.558966,7.893836,,,,,,,,,,,,,,,7.815111,,,7.665701,7.852796,
8.397873,8.942212,8.466029,8.485249,8.35428,7.558743,8.24796,8.328569,7.997213,8.128108,7.414947,,7.982024,8.400672,7.466365,,7.856464,,,8.579114,,8.500874
7.061973,6.893819,,,,,,,,,,,,,,,,,,,,
7.227634,,,,,,,,,,,,,,,,,,,,,
7.550724,,,,,,7.369983,,,,,,,,,,7.815111,,,7.665701,,
,,,,,,,,,,,,,,,,,,,,,
7.025736,,,,,,,,,,,,,,,,,,,,7.209399,
8.313673,7.818549,,,,7.472302,,8.118428,7.684254,,7.149989,,7.427621,8.219912,8.083643,,8.006236,,7.453811,8.120324,7.879732,
6.892622,,,,,,6.733085,,,,,,,,7.860984,,6.87383,,,7.437125,6.855553,
8.43128,,,,,,8.265951,,8.196685,7.79956,,,,7.895581,,,,,,,,
7.201324,7.806189,,,,7.925741,,8.022204,7.297491,7.533614,,,,,,,,,,,,
7.764155,7.990034,,,,,7.949501,7.48251,,7.789799,,,7.992342,7.740453,7.949396,,,,8.197393,,7.884044,
7.319681,7.258914,,,,,,,,,,,,,,8.252166,8.462474,8.462706,,,7.853839,
7.313044,,,,,,,,,,,,,,7.394572,,,,,,,
7.005168,,,,,8.087027,,7.995066,,,,,,,,,,,,,,
6.960466,,,,,,,7.450776,,,,,,,,,,,,,,
8.223667,7.966097,7.86597,7.807704,,7.620714,,8.176922,7.914883,,7.986665,6.973207,,7.868613,7.654701,,7.468977,,,7.98923,7.154673,
,,,,,,,,,,,,,8.717591,,,,,,,9.340368,
7.885445,7.831391,7.283745,,,7.883665,7.826901,7.9628,8.176763,8.210836,,,,,7.983678,,7.113328,,8.103031,,,8.451228
