LFQ Intensity Lysate I,LFQ Intensity Scrambled I,LFQ Intensity Norad I,LFQ Intensity Neat I,LFQ Intensity Malat I,LFQ Intensity Lysate II,LFQ Intensity Scrambled II,LFQ Intensity Norad II,LFQ Intensity Neat II,LFQ Intensity Malat II,LFQ Intensity Lysate III,LFQ Intensity Scrambled III,LFQ Intensity Norad III,LFQ Intensity Neat III,LFQ Intensity Malat III
0,0,0,0,0,0,0,0,0,0,0,10577000,0,0,0
35422000,0,0,0,0,36688000,0,0,0,0,45768000,0,0,0,0
0,0,0,0,0,0,0,8242300,0,0,0,0,6810800,0,0
39793000,0,0,0,0,22557000,0,0,0,0,31339000,0,0,0,0
0,0,0,0,0,3119800,0,0,0,0,0,0,0,0,0
16078000,0,50854000,0,0,55522000,0,59233000,66407000,0,0,0,57109000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136700000,0,138750000,0,0,286300000,0,138110000,115370000,0,92390000,119650000,117290000,68232000,0
51612000,0,60146000,0,0,196900000,0,159910000,87497000,46483000,54354000,52151000,73631000,46992000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10089000,0,0,0,0,0,0
0,0,0,0,0,8241100,0,0,0,0,0,0,0,0,0
39631000,0,63440000,0,0,62477000,0,28710000,0,0,69172000,0,0,0,0
0,0,0,0,0,41406000,0,22563000,26348000,0,58576000,0,75683000,0,0
19514000,55319000,51536000,0,48913000,0,0,45724000,33163000,0,0,0,44535000,0,0
0,0,16697000,0,0,0,0,0,0,0,0,0,0,0,0
48146000,0,35343000,0,0,43205000,0,38725000,0,0,49407000,0,49729000,0,0
0,0,0,0,0,72497000,0,0,0,0,0,0,0,0,0
62977000,0,69025000,0,0,0,0,0,0,0,0,0,0,0,0
96115000,0,106180000,0,0,97887000,0,72684000,66002000,0,127510000,0,92067000,0,0
0,0,0,0,0,0,0,7422200,6317800,0,0,0,11345000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
