msInspectTop3normPeakIntensity,msInspectTop3normAreaIntensity,msInspectAllnormPeakIntensity,msInspectAllnormAreaIntensity,msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3normPeakIntensity,msBIDTop3normAreaIntensity,msBIDAllnormPeakIntensity,msBIDAllnormAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
0.001892572,0.001310545,0.001892572,0.001310545,6338005.82,149033.8472,6338005.82,149033.8472,0.001037977,0.000518554,0.001037977,0.000518554,25165925.2,1708291.457,25165925.2,1708291.457
0.004497001,0.003449981,0.005118568,0.003990865,11242805.9,243031.2471,12879165.37,291713.6432,0.002693827,0.001712196,0.006331032,0.003937245,69211428,4977116.705,150038899.5,10847826.09
0.000243469,0.000289906,0.000243469,0.000289906,436126.51,6756.726633,436126.51,6756.726633,7.38E-05,9.43E-05,7.38E-05,9.43E-05,1294791.56,92653.06122,1294791.56,92653.06122
0.025164908,0.025385235,0.079574323,0.076357965,42466683.6,681298.376,133399634.2,2016738.383,0.019968209,0.02310116,0.09163958,0.091314809,350375051,25996483.47,1577275416,101482311.8
0.022651961,0.014553164,0.026920857,0.01771303,35275353.2,803186.4849,44791163.72,1040140.004,0.014098782,0.009449437,0.0193246,0.014559878,224787661.6,19904545.45,320498968.9,32172488.04
0.000489538,0.000328168,0.000489538,0.000328168,144378,282.3167966,144378,282.3167966,0.001575096,0.001084806,0.001575096,0.001084806,9608521,80714.10611,9608521,80714.10611
0.001070321,0.00087331,0.001198018,0.00094247,3704714.06,42547.23669,3904960.75,47476.83824,7.74E-05,3.84E-05,7.74E-05,3.84E-05,2341088,90476.19048,2341088,90476.19048
0.000345408,0.00033023,0.000345408,0.00033023,309083.554,4230.945487,309083.554,4230.945487,0.000343286,0.000355781,0.000389012,0.000516528,2177449.75,126437.0546,2467484.32,183562.9454
0.001493403,0.001268074,0.00239115,0.002001317,1404759.05,22439.5139,2483829.755,37123.45763,0.000756344,0.001207664,0.001025999,0.001328977,7700964.56,921389.6458,9666868.96,979318.8011
0.000357166,0.000273753,0.000357166,0.000273753,1271096.1,24000.90584,1271096.1,24000.90584,0.000184046,0.000147903,0.000184046,0.000147903,4558990.68,371428.5714,4558990.68,371428.5714
0.036961783,0.029279878,0.052410181,0.04230596,26972563.98,380943.0855,53886894.97,825333.8466,0.019686496,0.014846815,0.039919916,0.031172304,191469638.2,9510318.665,382734162.5,20953080.42
4.14E-05,3.43E-05,4.14E-05,3.43E-05,113695.7,4330.694643,113695.7,4330.694643,3.09E-05,2.72E-05,3.09E-05,2.72E-05,720429.7,110357.1429,720429.7,110357.1429
0.000388537,0.0004181,0.000388537,0.0004181,710553.3,33048.62162,710553.3,33048.62162,0.000816329,0.000491378,0.000816329,0.000491378,15441712,1830115.83,15441712,1830115.83
0.000632143,0.00043638,0.000632143,0.00043638,1286650.49,54944.81552,1286650.49,54944.81552,0.000801216,0.000410721,0.000831814,0.000433583,12363288.1,1457619.048,12977440.5,1561904.762
0.140724203,0.110638936,0.271061874,0.261402754,246897426.4,7403915.574,516510335.4,20583473.98,0.123565536,0.140527683,0.393205093,0.472796858,2467416589,436498765.5,7891418896,1464963776
0.000603374,0.000699309,0.000784116,0.000834449,1680539.08,30524.89339,1903930.604,33673.14255,0.001517469,0.00145549,0.002145221,0.002824957,27440841.9,1655048.077,40733026.38,3323918.269
0.005522492,0.003728934,0.005790863,0.003907122,14549716.42,338027.6138,15119241.48,350174.7337,0.003491384,0.001544424,0.004962956,0.002333719,82276881,4912832.93,114760543,7233898.305
0.002604812,0.002210002,0.00383511,0.00308656,10019740.2,199052.2774,14752238.42,278002.7774,0.001944421,0.00081951,0.003412467,0.00220425,58776002,2361301.37,103037225.3,6280136.986
0.017643513,0.017473265,0.043683476,0.038784482,58749846.69,1913471.311,148070741.9,4232452.356,0.016856973,0.010904109,0.049247746,0.040319185,440971342.7,35875628.21,1285035775,132018741.9
0.02692858,0.023019621,0.052781236,0.046297476,93183973.44,2796751.568,175079135.9,5414251.023,0.017314579,0.015478584,0.048290918,0.042393299,436693166.7,51015695.44,1226554519,144442556.2
0.016240018,0.012098476,0.028323617,0.022727885,53383604.6,1336016.223,90321789.66,2627221.581,0.019104545,0.018216694,0.050996139,0.039138858,442696146.9,60255323.93,1268014030,136702609.7
0.003724158,0.003183768,0.004726534,0.004004212,11138668.55,306180.1271,14674631.49,397301.514,0.004002433,0.001596153,0.005910271,0.003452196,106048793.2,5181489.842,155017810.6,10970428.89
0.042482637,0.045140615,0.075944461,0.079405527,149883309.4,2838980.212,264256222.8,4935297.368,0.024143132,0.024733323,0.097071076,0.103740344,593055691,44538139.02,2364505383,183975442.2
0.064063875,0.065978558,0.097291054,0.10350587,121126247.5,4083444.601,222232051.2,7891896.475,0.038207235,0.037563155,0.098385063,0.090874304,849366066.5,95401179.48,2172004045,249460541.8
0.003431491,0.002433098,0.003431491,0.002433098,2718940.265,45595.61791,2718940.265,45595.61791,0.002601505,0.001218984,0.002601505,0.001218984,20146325.5,920661.157,20146325.5,920661.157
4.75E-05,2.66E-05,4.75E-05,2.66E-05,71805.965,735.1730769,71805.965,735.1730769,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,4.43E-06,5.61E-06,4.43E-06,5.61E-06,26994.96,13280,26994.96,13280
0.000418002,0.000270819,0.0004293,0.000333099,1507250.74,34685.70626,1547989.885,42662.30882,3.05E-05,0.000032587,3.05E-05,0.000032587,820070.19,121282.0513,820070.19,121282.0513
0.000043327,7.47E-05,0.000043327,7.47E-05,77611.774,1907.707092,77611.774,1907.707092,9.84E-06,2.66E-05,9.84E-06,2.66E-05,172606.14,28635.34676,172606.14,28635.34676
0.034901071,0.025248114,0.072543416,0.059372543,52187851.84,656876.7258,136136288.4,1797681.714,0.032002874,0.033699725,0.149305434,0.162278194,475750776.4,30127281.67,2239940053,145135513.1
0.000158376,0.000102127,0.000158376,0.000102127,609214.75,9661.659173,609214.75,9661.659173,4.33E-05,0.000042372,4.33E-05,0.000042372,1310290,128237.4101,1310290,128237.4101
0.001236686,0.00087336,0.001496614,0.00104834,4459296.84,108789.0686,5137311.781,125108.1543,0.001883142,0.00110782,0.002084562,0.001232851,50679120,4009975.062,55686248.82,4425960.1
0.000140535,9.30E-05,0.000140535,9.30E-05,298237.44,8910.431293,298237.44,8910.431293,0.000323587,0.000305812,0.000323587,0.000305812,6165591.3,1114625.85,6165591.3,1114625.85
0.032333995,0.049593139,0.091041591,0.107330895,94574376.9,2726262.788,247701035.4,5484440.095,0.034566507,0.028297711,0.152422137,0.156292112,641482600.7,37490121.38,2854166521,211546155.2
0.005545986,0.004243529,0.012065923,0.010520642,17705213.23,227196.4504,39147912.03,570876.0567,0.006545942,0.00376335,0.01681129,0.01216462,140006655.2,5338472.834,358182307.7,17206637.3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.001984863,0.001930591,0.001984863,0.001930591,1986697.2,71730.54587,1986697.2,71730.54587,0.00139742,0.001508002,0.00139742,0.001508002,15381303,2058103.976,15381303,2058103.976
NA,NA,NA,NA,NA,NA,NA,NA,0.000101915,8.13E-05,0.000101915,8.13E-05,2742745,282296.6507,2742745,282296.6507
0.04337881,0.033813498,0.082236666,0.070869701,134219825.2,2205723.798,252629034.2,4488765.306,0.022464721,0.015311404,0.059696297,0.054657893,572646966.4,33331706.47,1491607600,109522763.6
0.001962031,0.001480858,0.002506475,0.001859956,7440217.01,140528.1952,9495165.71,175897.1787,0.001001528,0.000541336,0.001546624,0.000869378,30118433.25,1695817.49,46595609.45,2745247.148
0.030832533,0.026154605,0.04940946,0.042305703,40531111.52,825607.2259,80180178.91,1426649.422,0.048627603,0.039908751,0.106611108,0.079131709,533404362.5,33205798.9,1682532789,99685118.65
2.57E-05,2.21E-05,2.57E-05,2.21E-05,82115.703,1149.380391,82115.703,1149.380391,NA,NA,NA,NA,NA,NA,NA,NA
0.001301019,0.001161177,0.001728794,0.0015259,2842422.52,44963.72372,4041249.21,62015.87775,0.000382319,0.00046513,0.000382319,0.00046513,5363002.6,435431.918,5363002.6,435431.918
0.023816142,0.021818632,0.04102843,0.043711934,86898127.72,2056124.831,145209058.3,3917700.718,0.022948437,0.018123561,0.059919963,0.063522626,612581262.8,51866138.44,1591566817,173778137.4
0.001410158,0.001376739,0.001410158,0.001376739,5236511.91,105095.9938,5236511.91,105095.9938,0.001593762,0.000831433,0.003489569,0.002201479,43597662,1966722.13,96211662.3,5325790.349
0.00164396,0.003016035,0.002199085,0.003655778,5990069.71,328559.3077,7861047.49,394681.4165,0.003704681,0.00416623,0.008572555,0.010923411,106876054.8,11773755.66,241389012.7,35895997.74
0.001931099,0.001594676,0.002758153,0.002360362,6827086.35,110823.9798,9770438.25,164389.1698,0.001258135,0.000680905,0.003201817,0.0022238,31165234,1364421.416,79312149.9,4456131.261
0.003109566,0.002413762,0.003933867,0.002930776,9873950.188,312961.1457,12487542.19,379629.4649,0.000665619,0.000348804,0.000665619,0.000348804,4191861.02,373143.7126,4191861.02,373143.7126
0.003109566,0.002413762,0.003933867,0.002930776,9873950.188,312961.1457,12487542.19,379629.4649,NA,NA,NA,NA,NA,NA,NA,NA
7.60E-05,8.65E-05,7.60E-05,8.65E-05,132828.524,2507.331886,132828.524,2507.331886,1.68E-05,1.43E-05,1.68E-05,1.43E-05,295426.88,17121.58809,295426.88,17121.58809
0.000822509,0.001445212,0.000822509,0.001445212,1745490.96,108503.616,1745490.96,108503.616,0.001200141,0.000759631,0.001200141,0.000759631,22867340,2170666.667,22867340,2170666.667
0.00307781,0.001858099,0.00307781,0.001858099,4014753.313,97150.30444,4014753.313,97150.30444,0.001148805,0.00055549,0.001210824,0.000584426,20979937,1328054.299,22648990.5,1423076.923
0.00496517,0.0033159,0.012739896,0.009107553,6249751.64,87428.54819,16574080.85,250484.3513,0.003443595,0.001870136,0.01026154,0.005958735,52416680.5,2004078.55,151123851,6234728.097
0.000221446,0.000223611,0.000221446,0.000223611,261484.318,13294.29048,261484.318,13294.29048,0.000124283,0.000125365,0.000124283,0.000125365,936533.62,182222.2222,936533.62,182222.2222
0.023094819,0.02317632,0.026049322,0.026295314,48108672,1739483.559,54301398.24,1980737.562,0.013527487,0.010147717,0.022125899,0.0192061,257434456,29851955.31,421103863,56483240.22
5.20E-05,3.54E-05,5.20E-05,3.54E-05,142631.5,4491.296403,142631.5,4491.296403,NA,NA,NA,NA,NA,NA,NA,NA
0.009288002,0.00845268,0.018160701,0.014511103,33491076.5,1047672.586,65483113.44,1798429.713,0.008644299,0.005024581,0.019348494,0.012658597,213716248.4,17079156,501658175.5,44539950.05
0.000654621,0.000515082,0.000654621,0.000515082,833845.5,25723.53975,833845.5,25723.53975,0.009149038,0.004150678,0.010825494,0.006327228,142251092,9297709.924,169205371,14232264.63
0.000417673,0.000314168,0.000417673,0.000314168,123183.06,12077.21966,123183.06,12077.21966,0.000287631,0.00016173,0.000287631,0.00016173,728205,280898.8764,728205,280898.8764
0.017727223,0.01675536,0.034410062,0.032594191,62505730.69,1148305.176,118506509.2,2161240.956,0.012310844,0.010080908,0.046121794,0.040401347,301292786.5,19592458.64,1149960760,79028245.52
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.016302261,0.017932057,0.018290385,0.022269702,31744916.77,2398532.219,35910209.07,3078464.522,0.017185444,0.024389504,0.03651042,0.052902514,310380977.4,114825682.4,645473527.5,237867332.6
0.033328293,0.027931324,0.047819727,0.042277438,66239579,3167712.062,96918923.92,4882827.763,0.027218573,0.02150682,0.074848428,0.074253516,425887698.5,71365637,1171074899,246470482.1
0.003883312,0.004787265,0.004208247,0.005107098,7718036.5,515667.3305,8363840.06,550118.5858,NA,NA,NA,NA,NA,NA,NA,NA
0.002007406,0.001879871,0.002440915,0.002272318,4260026.8,185057.2483,5180000.54,223690.2895,0.001141338,0.000629915,0.001163875,0.000681708,21746914.74,2360139.86,22176321.84,2554195.804
0.000793906,0.000520383,0.000793906,0.000520383,1684791.3,47109.30225,1684791.3,47109.30225,NA,NA,NA,NA,NA,NA,NA,NA
0.688428981,0.573954534,0.69034384,0.574992894,18470278,547790.252,19447187.93,583002.2819,0.003125024,0.002334258,0.004764539,0.003199483,60684961,6870027.248,92099756.46,9407738.42
0.000650817,0.000567922,0.000650817,0.000567922,2316152.3,35831.43349,2316152.3,35831.43349,0.000243138,0.000136181,0.000243138,0.000136181,6022762.7,246105.919,6022762.7,246105.919
0.00459376,0.003574001,0.009095699,0.008366245,9688486.86,170846.7524,23819015.92,446245.4811,0.003069336,0.001789712,0.007401621,0.005148696,71166789.4,3158552.632,170956051.8,9088832.237
0.00120688,0.00087189,0.002265851,0.001804728,2161885.6,26694.87735,4058821.561,55255.81635,0.00072442,0.000438184,0.001145216,0.000747488,12707173.5,565683.6461,20088445.54,964986.5952
0.083850242,0.086719089,0.169819501,0.161110628,141767636.2,4189572.134,336217805.3,8997460.365,0.5682017,0.41945246,0.691148621,0.530752947,1030844537,118490166.7,3150387860,342469704
0.00046733,0.000300202,0.00046733,0.000300202,286300.37,4436.275565,286300.37,4436.275565,0.007825169,0.005821627,0.008110565,0.006069616,121667305,10523613.7,122795058.5,10699383.72
0.033902073,0.038465208,0.063013792,0.081004866,123022689.8,3274380.132,226814028.8,6807925.433,0.028803783,0.02061571,0.093038333,0.118823516,790681725.9,54587367.44,2548037399,309118572
0.033902073,0.038465208,0.063013792,0.081004866,123022689.8,3274380.132,226814028.8,6807925.433,0.028803783,0.02061571,0.093038333,0.118823516,790681725.9,54587367.44,2548037399,309118572
0.014639289,0.011887096,0.014829348,0.012003072,19738113.34,461690.795,19973020.45,465988.8964,0.006998026,0.005979521,0.008327556,0.006866732,108806713,10065009.56,134283027.7,11709751.43
0.014012951,0.014353887,0.031207358,0.03136869,50291488.28,1269553.003,104251364.6,2674293.125,0.037493571,0.03053016,0.074708007,0.062679736,765286594,54976448.6,1625755044,141156084.7
