NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
124756.1035,192479.9047,34125.84662,4191.399028,243916.1606,190144.7938,937.9072331,1011.287646,154864.5707,157713.4863,8869.864162,736.6343501,180737.5495,29076.49617,670.2713729,872.9959485,28529.27316,6249.436719
80808.41957,157152.875,37712.72504,7116.817815,235219.2766,174079.1919,5480.186073,7187.703125,152737.5485,80665.6475,19232.97286,16673.70666,235035.8675,33665.08883,12096.45968,14525.63957,46162.90636,2832.294927
675386.8296,205614.6516,6640.710902,8271.097947,1243413.889,1346073.634,6232.927484,8683.488734,28854.46007,459392.2941,11253.79946,10241.49824,10340.87242,220516.9711,7388.139614,12044.19829,481873.2043,3422.805609
198566.7776,32738.39122,3578.5824,10916.03444,239524.8052,277666.0829,399.6168447,4917.01686,7521.583764,99545.08304,2979.604788,5545.955661,5648.88997,46549.92181,4264.034116,4665.150524,69026.1304,3275.426516
143091.3812,39449.19798,2841.924093,1863.314717,151942.3931,246198.754,33093.59629,2871.812543,13678.55047,104274.8865,1291.174099,2389.905303,1512.536372,646097.7386,2750.755132,3959.459097,22018.03221,21855.81114
221533.2364,532110.7195,10673.55001,14258.16517,374809.3776,441377.7006,4614.79808,17902.38331,39829.57314,199848.8272,9160.171635,4902.234252,39304.1669,92060.7171,5267.156692,6368.103245,63811.21029,8239.366673
NA,20023.39162,208.9670093,NA,22185.73975,13609.52481,NA,NA,403.4547227,495.3913965,NA,11.18055691,NA,NA,NA,482.262113,526.623257,1813.860814
166066.4152,88554.45563,55262.31452,103941.9039,201245.1913,219301.601,181162.718,131567.8781,116991.6851,116198.0861,97934.22392,97545.08902,54468.56227,296097.1766,130352.9504,15093.28845,54118.24672,135204.6581
28465.94024,18132.59035,3553.470043,15921.49402,54079.7585,68504.91402,50803.6804,24793.31424,12972.70749,19262.3018,15969.81174,1700.660631,1963.968255,79486.2717,3719.66114,848.4998501,1417.452998,19728.81825
44107.72153,374651.5812,180697.2411,14086.18577,160463.0738,315194.6546,15362.21021,22869.00539,543098.3986,155220.2142,226640.4301,35773.55927,982373.1423,70690.92322,77104.83335,7205.96589,33563.15249,75930.63323
155374.176,49117.81312,7689.94199,39989.06153,105537.6548,157574.2827,126148.8031,66945.58652,6982.740269,242742.7271,1245.035178,935.4071466,2.012543929,659967.5288,5119.667556,661.965994,19456.19662,27158.01076
