P12_C1,P12_C2,P12_C3,P12_O1,P12_O2,P12_O3,P17_C1,P17_C2,P17_C3,P17_O1,P17_O2,P17_O3
93205.25984,127634.985,97276.7252,97648.5275,86554.61561,100030.5446,80611.58151,196418.0327,74453.95781,62516.05213,85932.85565,93731.01289
195474.7987,218842.6457,280256.5799,351178.9602,238454.4731,376974.4308,295082.8453,272649.7439,317666.6714,230950.3163,289724.1545,282759.4504
73168.05084,91765.65389,19669.02767,18965.20263,83110.42942,8467.978819,8387.748253,24054.52769,7973.532884,58126.69959,20815.12971,16894.04696
456942.9415,350596.7111,300875.8318,365256.81,329540.988,283772.9546,332416.1061,269093.025,275882.9874,339855.7544,202281.3274,263772.3447
462557.3783,370738.6503,497013.4617,461221.9319,351612.7467,450746.0902,387754.938,451587.685,441839.8693,463241.4527,401864.3644,350325.1657
8745.899772,5054.807521,54308.1223,59416.04095,61394.81956,21350.03789,63445.0067,58156.79195,74335.58199,19919.42396,34797.67659,12125.35879
236713.6049,251682.6345,178397.8361,160843.26,155961.6571,206392.9145,188532.8313,149881.4304,111765.6367,158869.5907,161284.6644,132514.937
548051.2126,558630.388,511439.506,404966.138,438249.9395,535192.0018,412015.2278,440274.4781,443921.4314,428750.8187,478608.1405,462855.5969
230355.1893,209752.0585,258382.5309,258921.6493,166141.5822,249946.4815,181620.5064,121830.1759,108717.0365,195337.9904,195405.5003,192977.9801
56259.93604,10662.38578,42279.48426,30321.40742,44434.22439,31466.33897,45798.40712,38900.65288,68159.79767,76655.58231,53021.56517,66991.68523
57415.18779,35498.15728,47633.84235,17992.76536,37382.34117,30635.09722,1847.073584,23932.64297,38044.90672,27586.37675,41439.45191,40331.8459
399109.8843,357738.2649,373914.3793,315060.0391,221043.1092,374389.2834,184631.7558,261180.9235,177441.5256,267302.5124,308549.4254,321193.7096
41387.6216,32820.48608,37721.24372,49373.58055,26144.31018,28144.07879,9771.7066,3054.058171,29618.88795,29831.75727,20865.03239,79882.37264
57981.72644,63150.44498,100322.6102,88268.32025,91331.43898,89894.37585,75411.99036,93562.75803,92728.09685,80454.20949,93639.10288,101146.0989
189814.4466,61631.55562,186196.1732,165969.435,185592.6093,181718.3687,97328.18014,187087.4161,177273.7034,154569.6636,185215.9069,218245.3938
73839.86877,70844.51128,191898.6019,68640.04729,72918.99825,100964.4506,63543.63032,62815.22395,83339.69919,169150.0614,125479.124,77966.03964
184884.319,184579.7011,156035.4535,129698.3062,204741.9833,211263.6807,290564.1114,206884.7392,219801.1229,169882.899,171382.2775,202332.5547
211813.4807,200544.2648,211842.157,213366.8746,241437.5073,218738.1218,193643.7788,233736.9095,220059.2882,212298.5217,196570.2475,242920.3329
319684.7987,316205.5475,285935.5246,146790.196,282721.7747,251428.45,267754.5841,135539.2277,129833.5951,374425.5419,179240.8903,124060.8102
98718.73152,73910.37483,48331.90438,75270.57257,64115.82604,84393.75318,78020.09455,91059.12854,74008.96506,79053.44187,114516.7797,73776.98739
166612.2133,85514.75214,106110.2467,143724.9787,146911.4632,106833.4252,143453.2697,134700.2058,180489.8485,214345.2112,145834.4889,264740.4479
130987.2161,172349.7039,241619.86,201260.2104,204013.9855,207869.0046,176895.986,153525.3758,178242.9338,159842.2856,183719.788,75921.67449
254125.7814,153440.0295,293979.8893,286072.9271,278530.8603,204332.4389,311516.7338,222850.7052,304262.8816,304089.5002,222186.9308,328080.4795
755811.0385,581202.2653,852593.0047,784542.1637,864284.2045,865220.7848,1123557.404,1183489.709,1107659.401,745045.6851,1032174.158,1104837.051
50325.46366,52678.77414,53732.01475,85945.65698,15703.07488,98155.22455,39357.11834,56963.8981,79403.04294,30207.33386,55757.76274,28774.13094
74786.57832,68672.29189,17434.43152,87171.56809,101718.0079,67872.61462,108985.9863,93706.98222,110018.8155,76777.88673,34220.60029,139993.7468
