X380.1,X380.2,X800.1,X800.3,X380.1Fe,X380.2Fe,X800.1Fe,X800.3Fe,X380.1P,X380.2P,X800.1P,X800.2P,X380.1FeP,X380.2FeP,X800.1FeP,X800.3FeP
360.2106758,475.1476249,691.6227686,642.732537,491.7861644,413.2779269,360.9129339,281.8767035,32.47547656,44.00027122,40.02566067,54.37509272,56.96421887,48.0474943,170.7261966,218.7660465
506.4782002,449.7201135,294.5398429,304.7743861,256.2265635,530.5874036,238.0485264,144.0228409,26.3863247,40.97710098,47.74991097,42.5235419,29.9010551,51.33723264,47.73577217,118.6058577
275.1897252,314.3202719,367.3496632,405.4167268,296.6225025,250.7175094,277.5615905,316.7782386,268.9058259,220.9543119,241.8041447,252.0341032,299.3201392,208.2490946,282.8286033,272.9256701
484.6194187,574.6485038,495.5637793,512.2860129,373.5686371,509.6242841,301.6130208,209.2171803,34.21976485,45.47899579,58.809633,51.97814985,45.74164857,65.79476696,105.2941474,185.0557087
218.5353324,316.1538804,509.2173837,448.1537969,293.4333494,237.2787149,222.7687942,180.0765588,23.18317711,25.36834158,26.12201012,33.37964875,37.7439548,30.94951209,107.1911052,141.7610591
409.3601328,490.7664352,392.6257574,376.6237567,289.6814046,414.2578389,248.9626208,168.0026439,28.70147098,47.18774419,40.02566067,50.33580012,31.810182,43.06960074,52.62108799,136.3905396
708.9277787,658.1108307,486.0288241,506.0324566,434.8816683,689.158179,328.9588908,222.5632969,34.91748016,49.78372733,75.73276321,63.47459803,36.06701901,72.85039,119.4823519,193.4626373
724.1475785,742.7219244,691.9330778,745.290861,887.8039379,830.7904738,651.8341845,723.306711,545.7402349,551.0384974,597.9974145,553.8269648,419.5951339,396.1970408,439.9902528,548.3506974
151.358285,156.6299359,124.9981844,152.719829,152.9542829,148.6666638,124.7440571,146.0391607,119.1824618,98.74594101,147.6385115,122.9986791,120.9973671,114.1452635,122.8345101,116.3956824
93.10318917,111.8280304,115.6042789,148.2225906,108.2123412,105.9704939,98.8129772,114.0180824,106.0210138,80.80408284,105.7168985,97.69761557,111.7355217,67.95906851,81.12742554,90.84440303
196.5978279,258.9585484,383.8806802,366.964008,299.6553246,162.2104489,254.4803019,309.8411385,273.7264044,220.9543119,209.4676242,265.7499429,379.8646552,182.5804783,365.904958,288.6241118
106.6698038,121.5925482,117.0429852,130.4997459,145.5129258,95.64642003,110.1717199,131.7328918,130.5044785,125.9544732,115.8637546,124.6410289,119.4236273,78.69400417,117.3775084,116.2924031
143.1710823,147.064243,128.2705359,131.6972354,110.901235,101.5258926,117.1648249,150.8159183,111.3490217,136.0426608,115.7233136,130.2338955,111.9677128,106.2672059,127.0182114,136.3079162
51.06505246,63.53564112,100.2862888,101.014893,61.06290159,29.64234093,61.50294327,68.09879995,52.36036308,33.91208357,50.69917018,48.24957207,95.68853613,30.73308194,61.7680623,67.68920162
178.0978988,177.2856467,200.0647989,145.8276116,178.5613062,122.0340529,244.2129686,165.6502709,95.11128339,152.5715155,93.35809799,116.4292802,54.56491074,55.70912176,169.374939,216.6384945
7.557417836,6.185667425,12.80730664,6.972050044,9.129732343,22.22300648,12.47036346,11.5938387,13.98602066,7.295041233,5.055872926,4.927049218,14.88603002,33.84967616,15.79931926,14.58302604
359.4496858,199.2005827,129.5399826,163.3907911,244.0640091,359.767727,161.3264848,193.8787477,160.8550948,174.9495474,230.2528795,187.2278703,197.3108451,265.4732275,168.7512817,184.9730853
492.3080417,527.261873,436.2665137,496.0001556,564.949088,547.1759155,442.9101212,406.4324571,331.3830611,279.9389922,397.7637804,340.8985405,381.1546058,463.723249,356.3681979,374.5730797
1907.40829,1501.990509,1239.572381,1133.650015,1137.652195,1917.897955,898.1087042,770.4501876,1643.024428,1751.762852,2939.00702,1621.842561,1771.669764,2980.156655,1220.315513,1165.795194
14.9049074,9.720334525,13.34329525,8.621924481,19.7602426,19.77322624,23.99079647,22.94763932,5.581722533,7.787949424,8.250903734,5.237764033,5.856375762,7.748199531,9.744645924,15.94631176
22.59353041,24.41129466,28.46381586,25.54644291,27.82692392,23.55288719,34.7634119,37.58996148,17.28431125,20.30781749,18.92441325,16.68982438,26.4955855,28.17920611,22.26976415,22.88667543
169.4645986,220.8946021,124.5186157,189.2831754,190.1298027,184.9934051,152.3526738,195.5110066,293.4844336,281.1219718,353.4897821,316.3964579,307.1114409,227.3815203,167.78981,140.3564617
1700.235326,1868.933137,1240.870038,1699.610169,1680.089614,1777.770525,1282.042293,2075.32113,2843.44363,2659.07539,3638.824098,2737.441913,2949.730056,2217.240361,1389.794395,1120.021843
64.02812333,49.22023937,85.61712701,48.35196538,61.65695952,79.86283589,65.46435532,40.03834978,98.34614531,88.3291479,83.84322603,52.51080382,77.50023255,127.0445007,71.38277961,61.69900679
48.07357457,66.54010816,109.1159958,89.17305228,60.78150573,39.65144306,73.50844714,74.67584302,83.37698034,84.9773722,59.47672734,81.14095468,107.6076798,63.97675367,81.72509715,70.04396786
