Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
902.1,1022.2,932.1
1529.3,1503.3,1576.2
1994.3,2229.8,2054.6
3470.4,3273.5,3543
3129.7,3025.4,3183.2
1163,1156.4,1176.4
910.8,933.5,912.8
4101.1,4219.5,4084.1
1103.8,1301.5,1099.9
4007.4,3229.6,3955.9
1988.9,1704.5,1956.5
1976.7,2052.5,1937.3
1243.1,1227.5,1214.8
707,711.5,691.1
1692.9,1570.6,1647
891.7,925.7,860.9
2245.7,2514.4,2163.5
646.1,677.5,618.4
797.7,787.4,759.7
739,765.5,701.8
1262.6,1241.9,1197.6
2354.1,2416.2,2185.9
6387.4,6407.4,5877.1
1283.3,1334.9,1173.6
2336.7,2454.9,2123.3
4473.7,4695.9,4067.6
1345.9,1270.3,1218.1
1091.9,1121.7,983.6
913.1,846.5,1222.4
3492.5,3735.8,3872.3
3443.7,4451.5,3780.8
2644.4,2500.7,2892.2
542.3,528.2,589.5
673.1,776.9,730
537.2,532.4,582.2
3001.6,3344.1,3238.1
1376.2,1333.3,1454.8
2361.3,2199.9,2488.6
957.4,978.8,1007
1191.4,1225.3,1248.3
1307.3,1439.5,1370.2
1477.1,1493.9,1547.4
876.4,826.2,913.6
506,519.1,527.7
877.8,840.8,913
1638.4,1661.8,1702.3
1435.6,1377.6,1491.7
966.1,919.7,1004.3
3657.3,3355.8,3798.4
1800.1,1849.6,1860.8
1476.1,1613.1,1524.3
1006.5,956.6,1037.3
814.6,828.6,840.2
2744.6,3089.2,2827.6
1807.9,1811.2,1854.8
5221.9,4738.5,5321.3
3096.6,2925.8,3148.9
3705.6,3477.5,3767.1
1920.4,1843.1,1949.5
1844.3,1945.3,1856.8
1381.1,1365.2,1388.7
2356.2,2326.5,2354.8
3204,3479,3190.7
1135,1152.8,1125.2
2309.6,2303,2276.9
694,735.8,683.9
1663.7,1497.5,1637
3051.7,2628.4,2989.2
3288.9,3114.3,3222.4
1009.3,996.3,980.6
1358.5,1299.5,1311.2
2717.7,2858.8,2619.9
19921,19778.2,19129.1
943.6,952.5,905
1168.5,1170.5,1110
2792.5,3069.7,2637.9
2138,2063.5,2010.2
1977.3,1932.6,1849.3
1013.9,1056.1,947.2
