Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-2.97238,-1.56908,-0.83357,-0.20854,-0.2118,-1.99907,2.66661,-0.16645
4.59102,7.9023,1.18746,2.88177,1.56094,0.77364,-0.26971,-0.34109
5.26249,-1.57616,0.77485,0.62298,0.17896,-1.39802,-0.2121,-0.03789
-8.07029,-1.14155,-3.16173,-3.67082,0.02669,0.57914,2.67946,-0.48484
-1.66857,0.05545,-2.65211,-2.67888,-0.69366,13.14273,-1.24543,-2.03044
-6.06743,3.15963,-1.06264,-3.48862,-0.36904,12.64853,-2.97455,-1.08954
0.22492,-0.78918,-0.11065,0.69784,0.02261,0.20174,2.35406,0.62137
-0.21038,-4.01679,-4.57226,-0.12628,-1.59444,-0.36242,-0.21113,1.25573
-0.7992,1.28399,0.76651,-0.00446,0.88824,3.08453,-0.00492,-0.21109
0.55697,-3.32672,-3.5593,-0.8945,-2.93733,0.28151,-1.42604,0.05176
0.23456,3.69812,-0.1729,-0.73338,-1.28121,-2.30337,-0.28378,-2.80694
1.78624,5.70538,1.60139,0.18775,0.36395,-0.70719,-1.72284,-3.2584
0.03637,1.48899,-0.53938,0.03432,-0.13092,-0.30835,-0.38616,-0.79511
-1.58963,-0.79704,-1.69613,-1.02347,-0.08561,-0.04397,2.14357,-2.25149
1.68381,-3.26992,-6.54796,-3.11564,-2.6778,-0.06587,-0.51856,0.44624
0.51557,-0.0731,-0.43317,-0.86943,0.22596,6.00797,0.12431,-0.53882
-0.84024,-2.0793,-2.75984,-2.44875,-0.11956,-0.66851,0.45046,-0.64345
-2.09524,-2.40626,-0.10389,-0.14368,1.12722,-0.33712,0.94449,-0.04936
0.7218,-1.12725,0.12151,-0.32945,1.26157,-1.52428,0.58361,-0.97923
-0.35069,-4.16034,-1.71528,-2.05628,0.40249,-1.64031,1.43289,-1.02076
5.67952,-2.50494,1.2454,4.86129,3.35172,-0.04654,4.757,3.0963
0.28858,0.76524,5.13224,1.14872,0.71787,0.14256,0.08999,1.36776
-1.53045,-5.81448,-7.86078,-1.99923,-5.0572,1.08142,0.09165,1.82579
0.28761,-6.49858,-2.47921,2.22229,-0.63031,1.17746,2.11752,1.135
0.35672,3.62322,-2.60646,-1.45672,-0.43113,-4.69187,-1.78823,-2.02104
5.12021,-0.26441,0.60617,11.39156,0.13161,0.70371,0.40507,5.76731
2.81637,-0.31158,0.2233,5.24385,1.08394,2.14575,0.10215,5.52083
2.30078,1.43057,2.81043,-0.82548,-0.13541,1.95619,-4.33829,-1.43687
-1.79649,-1.19179,-0.17212,0.21383,-0.02827,-0.79326,2.67552,0.26373
1.77031,0.57296,-0.88139,0.24174,0.09724,0.35551,1.73618,4.91991
-1.85093,-3.66848,-2.58217,3.89163,0.12583,-0.39504,4.076,1.20429
-1.63929,-1.10348,-1.30923,-0.11773,1.09786,0.11113,0.02077,-0.46691
0.24429,0.95012,1.12815,0.39294,0.70736,1.3351,-4.68357,-0.34576
0.35516,-5.17245,-4.45412,2.04039,0.03235,-0.41477,1.86789,9.44121
0.75585,0.15471,1.52597,-0.15568,0.32383,-0.99269,2.32932,-0.71676
0.21038,-1.00206,0.61217,-0.8098,0.17147,-1.11748,1.63619,-1.70258
-0.56541,-0.54691,-0.99159,1.87018,-0.17937,-0.71176,3.38937,0.13034
17.00265,0.12555,-1.00602,-1.74638,-0.78899,0.83766,-3.20289,2.12929
1.12153,0.09209,2.55238,11.00944,0.59549,-1.79183,-0.30825,0.03266
-0.13693,-0.48353,-0.41152,0.17723,0.24875,0.96256,-0.24274,3.61649
0.38333,-0.47829,-0.3212,-0.20636,-0.00579,4.63488,-1.07985,2.31302
-3.42116,-0.69965,-2.36107,-0.95341,-0.51495,8.95341,1.72554,0.09672
