Log2-transformed iBAQ NOR_1,Log2-transformed iBAQ NOR_2,Log2-transformed iBAQ NOR_3,Log2-transformed iBAQ NOR_4,Log2-transformed iBAQ NOR_5,Log2-transformed iBAQ NOR_6,Log2-transformed iBAQ CKD_1_1,Log2-transformed iBAQ CKD_1_2,Log2-transformed iBAQ CKD_1_3,Log2-transformed iBAQ CKD_1_4,Log2-transformed iBAQ CKD_1_5,Log2-transformed iBAQ CKD_1_6,Log2-transformed iBAQ CKD_1_7,Log2-transformed iBAQ CKD_1_8,Log2-transformed iBAQ CKD_1_9,Log2-transformed iBAQ CKD_3_1,Log2-transformed iBAQ CKD_3_2,Log2-transformed iBAQ CKD_3_3,Log2-transformed iBAQ CKD_3_4,Log2-transformed iBAQ CKD_3_5,Log2-transformed iBAQ CKD_3_6,Log2-transformed iBAQ CKD_3_7,Log2-transformed iBAQ CKD_3_8,Log2-transformed iBAQ CKD_3_9,Log2-transformed iBAQ CKD_3_10,Log2-transformed iBAQ CKD_3_11,Log2-transformed iBAQ CKD_5_1,Log2-transformed iBAQ CKD_5_2,Log2-transformed iBAQ CKD_5_3,Log2-transformed iBAQ CKD_5_4,Log2-transformed iBAQ CKD_5_5,Log2-transformed iBAQ CKD_5_6,Log2-transformed iBAQ CKD_5_7,Log2-transformed iBAQ CKD_5_8,Log2-transformed iBAQ CKD_5_9,Log2-transformed iBAQ CKD_5_10
24.69582939,23.69582939,24.21133614,25.19456482,23.67141724,24.88627625,24.90971756,27.26963615,24.70186996,23.8146019,25.35023117,26.53564072,25.22890663,25.08314323,24.49740982,26.44324303,24.50784874,24.31527328,24.31506538,24.23659134,24.90481186,25.51589966,19.36157608,27.10109329,27.01403618,26.73000717,27.15489388,24.76385117,26.90219307,25.66229057,23.73044777,26.31250572,25.14802361,19.93120766,26.65812683,26.12618828
NaN,20.07064438,NaN,18.23121262,NaN,NaN,19.46263885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.47155571,NaN,18.9261055,NaN,NaN,NaN,21.88297081,19.35638237,NaN,21.28421402,NaN,NaN,NaN,21.14799309,19.00091362,NaN,NaN,19.7820797,22.43745995,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.81611252,20.67245293,NaN,NaN,NaN,NaN,NaN,NaN,20.58104515,20.12174034,NaN,NaN,NaN,NaN,21.81690788,18.42246819,NaN,23.87107658,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.41892624,NaN,NaN,20.9039669,NaN,NaN,NaN,20.68953133,22.82549286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.36011314,19.76634407,23.621315,21.16705132,19.49277306,NaN
20.73165131,20.4225502,18.59109116,21.09248924,19.95119858,21.51912498,20.77177048,23.79946518,21.30546761,20.29759789,20.18495369,22.22761536,21.99441528,22.83273506,NaN,21.88192558,22.60555458,22.14525795,23.68677711,22.62312508,20.66266441,21.0451355,19.16059113,22.81288147,22.68506622,21.89037323,24.34380722,22.76111412,23.86891365,20.38152695,20.88457298,22.729702,27.49868774,19.09171486,23.18183327,22.95482445
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.39732361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,17.5202198,NaN,17.68332291,18.57070732,16.96115494,NaN,NaN,NaN,16.63097763,18.93712616,16.05311966,19.63209724,19.13277626,NaN,16.58704567,NaN,NaN,NaN,NaN,17.58387566,16.47676277,NaN,NaN,NaN,NaN,16.7604599,NaN,17.25441933,18.18243408,NaN,NaN,NaN,18.78327942,NaN,NaN
17.5529995,18.83624077,18.14175797,16.97118378,19.83587074,NaN,NaN,NaN,NaN,16.15323448,17.10369682,NaN,19.27191353,18.10164833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.10051918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.62492371,NaN,NaN
NaN,NaN,NaN,NaN,16.12726974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.95964241,22.17925262,21.94660187,22.90510559,21.91695976,23.42329407,24.33319855,26.38766861,26.12628555,24.08828926,24.2694931,25.05021858,23.68324661,24.6129055,24.73236465,25.81215668,26.1286087,26.85400391,25.67238808,24.33231163,23.6180687,22.81805992,NaN,22.49989319,24.50099945,24.08180237,26.153368,24.59656334,25.48179245,25.18767357,21.32980919,23.76526833,22.33538246,24.55549431,NaN,23.16083336
26.07402229,23.9444046,25.20609093,25.73166656,25.23629951,23.30924797,25.36365891,27.31699944,26.79538345,23.6238842,26.07685852,26.95803642,25.58826447,26.88634682,27.38977051,27.60611343,27.49670792,26.96433067,28.28881264,26.76179886,24.07968903,24.01622772,26.57701111,26.86549568,27.23471069,26.80008316,28.47107697,27.34053421,27.25448799,26.41136551,24.87422371,27.11951447,27.59505463,24.70297813,27.91347885,26.51550865
21.94077301,22.10942268,23.40678406,22.67489052,23.77715874,24.23454475,24.64344978,23.86731148,25.02301407,24.38804626,24.31865501,24.86924171,24.20672417,26.0182457,25.11016464,24.86872482,24.82512474,24.42604828,24.26298714,26.4078846,25.79178619,26.15628433,22.73169136,24.27042007,24.36192131,23.96842384,25.69977951,24.75128746,24.85614395,25.38732338,25.22493935,24.58714867,25.54816246,24.77926445,25.39139366,24.86386681
22.39824867,20.2401619,23.25378609,21.98537445,21.8102932,22.65872574,NaN,23.24497414,22.7034111,23.42981911,22.31215858,19.86279869,22.87064552,24.71785164,22.10600662,20.96338654,22.96590805,22.55391312,21.53843689,23.50373077,23.94395828,24.20456314,22.61771011,23.35460854,22.3378067,22.42031479,24.93202019,23.42162514,24.11878204,22.99329376,24.5926342,23.9536705,23.68848419,24.44518471,23.35002899,22.27804375
19.69261551,NaN,17.71048355,NaN,17.57547951,18.75691414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.09300423,NaN,18.01356316,NaN,17.90577507,19.28149986,20.06210327,NaN,20.14270592,21.12729454,19.38921547,21.61099243,20.1701107,20.1169281,NaN,NaN,18.91423988,NaN,21.49335861,NaN,NaN
20.21501541,NaN,NaN,NaN,19.61376381,NaN,21.66696167,23.37172318,24.16399956,21.70336914,24.49484825,NaN,NaN,21.01256752,NaN,NaN,21.83310127,NaN,NaN,NaN,NaN,NaN,21.01420212,NaN,NaN,NaN,NaN,NaN,NaN,21.44924736,20.82663918,NaN,20.93668175,19.81111717,NaN,NaN
