6.5 hours LD,9.5 hours LD,11.5 hours LD,12.5 hours LD,14.5 hours LD,17.5 hours LD,21.5 hours LD,23.5 hours LD,24.5 hours LD,26.5 hours LD,30.5 hours LD,33.5 hours LD,35.5 hours LD,36.5 hours LD,38.5 hours LD,41.5 hours LD,45.5 hours LD,47.5 hours LD,48.5 hours LD,50.5 hours LD
0.47217175,0.78198784,0.976112782,0.884911828,1.177605974,1.099258924,1.197843278,1.125900469,1.117892391,1.032523631,1.282330583,1.203372271,0.802786388,0.756484441,0.93282462,0.983784555,1.312199899,1.560989565,1.107643492,1.052688794
2.054944041,1.557040826,1.461503972,1.352383925,0.993116048,0.869961433,0.688810883,0.583848273,0.699358729,1.22179966,1.277614994,1.300169578,1.031810635,1.186861385,0.634307724,-,-,-,-,-
0.459832857,0.583848273,0.66389592,0.779650569,1.701374816,1.153718881,1.099512067,1.07225974,1.16573544,1.105095982,0.640766798,0.676705958,0.674683361,0.851530092,0.915798652,1.107388477,1.297776782,1.237086307,1.2846949,1.111987742
2.147830474,1.681512112,1.618825363,1.352383925,0.646397994,0.587083669,0.426088684,0.444938514,0.467089387,1.399265093,1.801357865,1.220955962,1.180592446,0.976562402,0.94080583,0.661911612,0.587354094,0.740457267,0.724269172,1.173815932
0.401883337,1.096983259,1.209483645,1.33505759,0.353264503,1.126678482,1.07969229,1.120727426,1.136841712,0.935836544,0.909703781,1.106623784,1.016950935,0.91075172,1.167884783,1.161716078,1.094712306,0.976112782,1.035142167,0.973867785
0.836372992,1.006931669,1.045682885,1.055115493,1.291814039,0.947763545,1.057304304,1.139987266,1.066350557,0.792683832,1.196740531,1.368989131,0.862978548,1.284103412,0.904898774,1.172195366,0.955872572,0.90302547,0.971851703,0.851726187
0.94754534,1.139987266,1.06071815,0.906775965,0.781447849,1.095721037,1.083178422,0.945366046,1.040638765,1.277614994,0.92939429,0.793231587,0.779471068,0.910542036,0.867361218,0.887360311,1.075969597,1.208926785,1.316436757,1.266776505
1.050993427,0.93454453,0.97229936,0.99655208,1.126159747,0.939506956,1.027542988,1.057060878,0.987870462,0.697428997,0.846447448,1.009020524,1.016248693,1.055601503,1.110964035,1.211713649,1.077953433,1.040159644,1.058034916,0.890635496
0.926829823,0.908657049,0.990147739,0.92939429,1.095721037,1.068562675,1.10713352,1.185222807,1.11249995,1.142878335,1.003228821,1.104332873,0.942974611,1.031098132,0.875588401,1.04761088,1.292706701,1.204481129,1.120469399,1.039680743
0.928966387,1.178148406,1.31038828,1.173005369,0.784332119,1.011346556,1.001151956,0.956533093,1.040399177,1.095721037,1.073989412,0.97229936,1.046164551,1.094460268,1.000691014,1.123828393,0.940589226,1.10407862,1.310086586,1.218708949
1.081932085,1.038962805,1.112243817,0.986279486,1.073742146,1.058766033,1.069301067,1.077457131,1.002997845,0.98333161,1.044720219,1.073742146,0.935621084,0.930679183,1.080189621,1.252852662,1.098499845,1.068808749,1.140249788,0.964495043
1.037289544,1.039920166,0.989464005,1.021880237,1.190967746,1.012744749,1.154781985,1.191242008,0.994947122,0.72945751,0.864768775,1.079940927,0.900533763,1.058278566,1.149211597,1.239081863,1.022350939,0.949292391,1.073742146,0.889201118
1.084176526,1.024235914,0.996093257,0.953235044,1.159311116,0.994489037,1.108408889,1.205313442,1.004847138,0.82546754,0.904065716,1.039441375,0.889405888,1.041118108,1.04761088,1.248245474,1.07225974,1.001613109,1.071025966,0.922996385
1.041357862,0.970286525,1.001613109,1.153187696,1.251122977,0.999769768,1.068808749,1.081184971,1.076217377,0.910542036,0.773392578,0.979941161,0.866163742,0.962498364,1.108664139,1.095973366,1.038245363,0.939506956,1.066841742,0.977687359
0.810027942,0.88838251,0.924698174,0.861192026,1.27790921,0.979489985,0.976562402,0.973195294,0.861787122,0.717959589,-,-,-,-,-,-,-,-,-,-
1.098499845,1.163054323,1.103316213,1.133182868,1.14788928,0.94362622,0.942974611,0.909913273,0.94667302,1.150270548,0.882063802,1.235093966,0.994031163,1.137889264,1.226309238,1.243941624,0.980392545,0.913902783,1,0.965383785
0.884911828,1.067824793,1.133704838,1.180320636,0.983105215,1.023528641,0.917275935,0.817146641,0.944278279,1.048093433,1.01648272,0.919813967,0.903649474,0.862779862,0.880846027,1.044720219,1.076465214,1.108408889,1.068070697,1.123569651
1.011346556,1.14182619,1.19922314,1.188228596,1.142878335,0.909913273,0.866163742,0.884300764,0.968500836,0.9132717,0.956312869,1.290327639,0.989464005,1.175980174,1.100018528,1.176521858,0.905941178,0.765772912,0.867161524,0.833489245
1.13057662,1.000921458,1.004847138,1.017185124,1.017185124,1.10713352,1.314316621,1.248245474,1.21338885,0.913692374,0.871966901,1.054144143,1.177877159,0.868160456,1.206146331,1.301667316,1.288249552,1.107643492,1.191242008,1.414164725
0.861787122,0.964717152,1.142878335,0.969393269,1.020234487,1.042557459,1.009950294,0.995176243,1.058278566,1.161983604,1.031335578,0.796709508,0.840040065,0.655692174,0.705180022,0.984917831,1.148418024,1.269696727,1.27203775,1.274676561
