NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
2251.208622,216.7973615,60.78281234,513.5865073,1159.248963,901.612208,NA,NA,135.5219375,303.4427223,490.8580069,1623.52035,467.9166638,514.7010839,1631.531802,2292.7096,75665.54329,94945.55499
90236.55137,20708.80281,20301.28391,24244.88557,255892.5919,94281.71212,61506.49535,56916.81979,26694.15728,51691.44968,21859.7877,3607.99892,5321.497443,69404.98731,20979.61412,2748.220109,140223.9726,405258.5277
48927.82417,3686.83555,6185.838442,12661.4807,23697.35171,17375.4755,64442.85727,14734.6628,31900.60393,17067.00262,3988.973178,9716.354402,6637.660795,57057.77091,13510.93164,1070.205245,282981.4301,299085.527
60746.77899,6521.954001,7719.863014,7397.032752,88575.69035,68394.80258,22413.47778,15757.17872,42450.5408,40377.68641,5651.185181,1581.479295,7003.154143,105861.6781,40545.79075,7973.918107,284503.7445,1033634.564
878.3346987,21431.70714,2389.165628,23396.71918,3523.476112,10325.33334,4199.497238,1194.55751,1602.433289,11087.52921,4214.799558,2315.765925,9741.974027,2186.607809,906.8611614,4842.806079,176.8325564,144.1742778
1.773532402,152.8148262,NA,NA,17936.64674,10623.11992,12040.49518,3002.574208,573.2428387,3325.652614,NA,NA,NA,17003.78938,NA,NA,6759.31454,8603.113321
202584.9686,137114.9082,108156.5571,393442.1297,670920.505,477285.3918,1325489.517,2494397.264,199026.6118,166787.8071,1267026.216,46133.09908,92262.63592,233286.6762,68875.00658,166506.0038,102170.0006,190036.0901
36605.79641,9574.134088,12685.32378,3455.190469,27134.3093,12394.6251,12305.42059,17128.24304,1710.633617,2597.502902,1962.2732,193.4139297,9070.465515,45584.70878,1225.339723,5444.475025,6254.13534,16111.87875
91326.45726,3582.31773,3442.64686,4834.80828,151366.0073,7076.25079,33712.83503,20580.61303,17759.93519,3316.165093,7972.004233,9285.547814,5638.258845,136542.5058,12241.93807,14229.21994,450461.2558,254417.7092
30123.30461,998.7553016,1002.59842,1226.720148,16652.56166,29406.8021,869.6522933,1546.655596,1817.461381,1018.142832,2331.468133,2025.972848,1520.280977,41079.63091,2383.633527,590.64558,280001.938,103501.5189
1650728.499,1494631.54,1025384.565,1416708.487,2211276.667,2920549.842,4882335.343,1818200.872,2471322.961,2189699.775,8045927.16,4531929.57,2886878.337,3027603.422,2275635.955,2522247.949,2860094.164,1866817.336
3728.937633,3874.506165,1215.496737,528.480488,1451.122254,570.3351364,2911.66635,773.8748528,9428.637163,7413.603198,7244.042689,3463.222494,12058.53911,27915.16377,1519.237694,1275.857388,7703.73811,54935.92093
