NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
43824.10857,28350.87816,135744.7306,171594.6803,134299.1811,536876.9528,192034.3913,221069.371,539236.4047,407806.6457,7039.066341,4687.727347,4140.336168,7805.398796,9645.743597,12192.97506,10810.52257,70040.87239
331.4452763,574.0984501,2167.15964,5094.553845,1133.820738,34184.42016,11871.77732,6910.973016,5007.061821,51696.38091,3524.165886,5073.192481,983.707451,1184.556535,2655.890849,1925.103265,1638.27053,423.0145314
8742.296602,3305.341255,282984.6235,13337.60086,37232.05192,362558.8228,226820.409,72432.86381,594581.6082,244295.0997,2128.986878,892.5343965,53621.01463,8312.257296,3883.73679,131264.6186,2283.595049,509464.0871
9870.089773,29801.74143,670792.964,14750.91128,21894.22431,397471.83,320535.0292,117545.6143,133058.6043,199073.6779,14098.92695,487.6480672,1036.539627,59015.23076,6308.36977,4607.769421,1284.084683,71867.9619
1692.295514,660.2689209,116725.2702,1060.600741,1300.82553,56112.87858,38913.07487,9373.682539,8432.569098,7268.017634,2338.905177,3928.441756,396.5247498,5432.381007,4698.895474,3249.002607,468.0835419,13439.24332
55691.78521,2545.787486,6590.825765,402286.9491,470623.8961,866756.1455,16261.42465,156562.9727,183236.2466,492439.4058,1426.174796,661.8782222,45747.52813,506.894165,1575.106937,439.3201129,954.8217751,24856.73774
3692.622779,4242.174489,10212.39302,70309.0525,45974.02618,138131.3677,4493.075634,25827.21441,23572.11918,49514.84573,774.4044888,3508.21373,4556.625926,595.5364315,5054.319074,4829.605641,NA,6469.391082
5667.408697,2865.940437,6380.682532,32437.9071,13065.11798,14687.30124,10588.45977,17890.0552,147971.8211,115377.2358,46.71180428,1209.552497,2306.343193,413.4175108,4143.130118,2316.765681,2715.975745,1604.894034
16923.9789,936.7292584,140847.7979,30396.97054,74996.21945,198431.581,172336.9959,81611.33078,218022.6812,178656.0119,484.0188232,172.6369796,23683.75703,25.88224622,52.92624849,890.0654241,80.79661732,358327.8031
8892.312236,19942.08849,288146.2224,29896.50088,47145.08789,290267.1461,313276.2214,85920.35001,472846.3167,293311.9785,73805.37531,18428.47067,77168.82758,28074.80659,7919.54333,70177.12542,35909.31548,664865.4376
1605.593315,1212.853326,74283.35974,4482.432536,12688.55186,51735.34729,70827.77642,10717.36693,95501.42892,72137.86662,14735.78633,2196.828299,14195.44176,1846.928253,240.5928313,14984.91878,8212.350532,161950.048
28874.19846,6028.623844,241852.6955,22493.40959,47576.37013,269599.8629,120934.3627,93601.32049,273711.7531,272812.3987,3293.2681,55803.4139,1097.86046,8990.367537,1362.317615,9079.270152,1607.635994,10609.79998
27850.97451,1880.013103,222448.5493,18786.79769,45974.32328,248438.3658,102186.9258,77084.17726,237853.1,227248.6842,430.6945596,48004.26648,461.134824,5507.94435,377.8472137,5434.873051,NA,3088.376375
57847.63179,20693.63892,8286.729393,222525.6017,296388.7882,181913.1333,15879.9353,150625.8821,461487.1553,615755.5713,10564.53932,9103.594125,6900.841022,2137.573214,12085.97298,11010.24526,18539.69067,22042.62113
25472.29686,305.9709996,NA,94711.27866,230220.6894,315332.9879,5054.059899,72358.60391,107890.7501,168209.7164,391.4920546,535.8016976,NA,NA,NA,1509.743151,13.76715297,NA
133872.1522,99323.85941,159168.6052,106718.6668,174464.0135,61490.85183,152469.0419,55531.11494,113230.3369,157436.391,4233.591141,1219.016656,90407.48596,37953.56216,4571.670256,27468.28032,9325.277706,55081.3103
68257.68044,85781.50473,131201.4357,57470.93759,104775.866,84454.75572,142843.5583,48057.45995,45319.30848,55811.56488,7075.699034,2592.671089,81308.84421,19604.58164,4415.437738,6199.176726,4100.869564,44638.96696
48965.01221,39977.9477,53236.46084,13708.1578,70099.92568,10166.96847,44575.39477,12623.20889,24148.06017,36847.15778,3121.167237,155.6504492,34502.84604,5642.888236,1902.405686,2633.877996,2826.230714,15240.41835
79444.66081,62154.37344,110151.3568,39323.66196,101474.6205,54456.20238,104078.8667,43240.65601,70595.23569,81415.30171,2304.50064,1859.428316,86615.14099,38237.62135,1189.897208,6414.872255,3695.79635,30447.36072
46294.12598,61736.51686,96646.13399,22867.28725,79370.95923,30062.26922,88071.32701,23736.0183,38036.85431,66312.53888,1731.591151,1225.968216,78529.8955,22110.13393,1424.207052,6494.650799,3573.237363,14981.15512
36057.64076,43944.30385,53891.91157,13423.96353,39557.96239,17959.13987,56844.06552,5483.981506,10056.74124,21181.81453,584.9988237,1226.743547,43492.94235,8712.213699,523.199644,2711.913346,791.0411702,10833.43652
16758.02651,24591.6373,19826.68616,7485.481855,29714.04849,NA,16302.19305,1824.371676,NA,9879.214062,NA,884.2532753,23952.46666,NA,1330.859898,NA,306.60408,406.0211419
NA,448.3806722,1490.751404,189.0157788,3813.373164,417.3627927,44.0438989,550.7422999,617854.5436,733.8357845,491.4735704,705.5297121,NA,273.5233704,193.1520067,960.0912134,593.9100818,1422.412417
3273.182627,1589.544064,2293.761863,NA,NA,551.6621714,178.6700189,1917.573902,236.1219525,195.2067618,NA,323.8838808,NA,101.642171,6.374906123,69337.57119,591.3331743,NA
10807.44359,627.8628589,48469.56886,13681.68417,26592.264,196001.5252,25589.02857,25886.37763,225201.9877,71480.28591,809.5020006,161.8605231,NA,2262.792378,1145.937483,478.2357653,157.8910189,4564.53917
18415.22857,23279.36875,551714.5466,7156.67716,10479.18157,309987.7311,267527.27,18107.78488,122401.8774,186611.6072,19592.53233,8227.068661,25720.16166,76006.70291,27360.36126,33293.49832,35596.3722,115358.5352
18415.22857,23279.36875,551714.5466,7156.67716,10479.18157,309987.7311,267527.27,18107.78488,122401.8774,186611.6072,19592.53233,8227.068661,25720.16166,76006.70291,27360.36126,33293.49832,35596.3722,115358.5352
8600.196912,1998.03704,26682.84369,151368.044,58454.3006,125591.8965,65831.53841,132732.7013,233265.0272,212830.1573,135.4535091,414.7357507,49.75041279,239.5188235,196.497347,79.86693044,60.01101187,712.9222752
12683.9885,4797.000245,23754.85982,69437.10413,39765.58663,75790.34668,45111.41837,70697.48644,129528.0734,102519.3929,8218.29586,22507.09258,1670.660914,955.058748,853.1742947,2197.809879,3227.315186,2880.155342
13283.36503,3842.81611,98677.33526,13807.61251,30548.64508,137415.0262,80825.79322,17285.47118,192773.6898,104634.7426,21244.0167,1944.781334,20141.19207,6542.959666,3760.810043,10933.18506,54942.95132,258930.4327
12493.23677,15728.18269,37648.69558,42106.05334,139089.9076,64082.44857,15501.60189,45435.36107,192174.1517,662828.4983,31165.95346,58509.06935,47211.07671,25258.07759,126507.5329,126456.2228,189121.1383,51937.2724
76384.64318,717.5030169,1503.535132,37593.13275,224540.7497,102548.8216,973.6959229,128876.0953,476081.6069,559900.3874,2877.943455,2083.565964,1724.759571,4064.579679,3476.899657,4525.134259,3139.897222,2548.981679
2311.262631,2317.721668,74904.57499,8344.4597,12021.72786,121453.0602,53917.30455,10463.57645,183001.1197,86731.78996,49234.72858,7968.681048,68983.65871,6050.903345,5844.778096,37825.22859,26170.341,854857.5723
1367.311963,2339.446729,47604.79473,4143.293438,10780.97102,117199.0777,46240.90603,10268.95454,190720.4484,74849.61982,46524.11938,3307.082455,65072.12566,8411.578423,9407.699549,34960.17977,14815.13588,724958.3843
921.9782475,1932.916122,821.852368,42583.12446,123530.3116,24791.0642,1665.336765,39495.75371,157789.4182,361447.5026,NA,431.1338695,3587.150471,947.3268495,155.4335692,76159.62767,25344.58839,1338.223496
15571.12381,648.1588137,815.0568086,22042.7726,33412.72783,57956.19932,1424.36201,25914.4418,134386.737,85640.34592,94.65827245,39.13193203,251.6032028,NA,131.451789,431.4527568,214.1897198,5668.072123
10266.14404,547.8180836,120226.0995,10651.82402,21538.01479,128696.1684,73480.18346,27829.27811,120649.1381,141712.0105,NA,314.6861641,115.8119674,307.0159863,63.15311255,2698.768437,211.0963148,844.9525369
3330.708604,378.5450735,52815.24146,6938.61894,5716.351419,55981.24892,23434.90259,23388.54655,88100.02575,71278.97423,345.3238577,1640.975675,846.0817165,1051.302296,1209.315901,3209.547132,821.218122,NA
2792.049103,2821.512282,16722.82581,2665.255417,5466.297527,113725.4253,45978.08461,6035.769848,191438.9235,66713.45776,3107.894436,1930.34099,20342.89165,2570.281661,8223.680092,35348.492,5125.289997,129225.2649
14099.89001,4782.380309,13025.40018,57964.61337,52865.00166,90783.57334,11211.1528,48838.49454,150788.3046,188341.7431,1076.816357,1017.971418,1398.272918,486.0305024,523.5277389,1025.895225,238.3197013,3900.773545
2005.525777,2870.090098,42509.79751,4555.904558,4683.471734,77632.23148,32602.6881,7494.012988,119046.236,57195.42429,14952.60743,952.5708215,49544.85241,4292.61146,3901.391097,11354.13453,11285.50872,394309.7501
2338.925523,3852.949167,114814.5837,6847.895222,5413.514155,53450.96952,55752.80543,14002.20328,9686.207009,26721.17039,4066.565572,349.9814935,2084.385404,10885.01734,790.2660042,4083.679723,240.85781,35227.71257
936.1752169,2558.476837,51400.60076,3118.236418,1238.758737,25966.33354,23880.47864,2645.49061,2339.687665,8786.010015,3306.272951,840.9934866,1028.894806,5563.182652,1193.110001,364.7841567,2177.120859,7829.668657
35879.85943,10468.9811,256746.4029,55913.18163,38799.82071,322121.9489,224841.924,165479.0769,319163.789,206688.9083,3946.297504,17570.60625,3898.073366,2496.892479,42335.58157,11172.76725,2026.721389,5769.454402
10953.33732,161.7357242,226.5462723,14330.39102,39801.66414,89254.63719,1387.094298,36278.14529,168187.2036,309859.241,222.8415036,308.3567595,NA,9.074238732,138.6238332,NA,213.897395,NA
43068.34589,6596.175511,8035.013293,267053.6599,125216.4306,7960.205088,10952.01087,21307.50417,145013.0896,128835.1423,672.0875353,475.6746643,1211.308851,1124.407814,1058.215967,854.4404725,195.6102287,6508.666659
7126.716203,1907.556188,2575.848366,270266.2179,39163.51767,6965.763574,6107.525111,48172.65035,19888.43512,31871.16894,3410.828422,4622.328887,5371.681734,1431.99672,6636.652405,2793.124558,4312.258991,4185.528811
5518.163287,251.4376112,148.3204699,1370.495804,15828.86033,98171.63046,782.1734566,14102.15852,31806.35893,131947.9404,793.6451935,253.5246803,10655.61059,22046.81735,1593.460102,5849.11262,205.4349787,648.5667613
11376.783,20940.43219,219497.725,11129.82443,11050.69768,174522.138,134915.7532,22767.28802,63891.15876,70288.38439,1733.695251,3056.523053,10204.73303,10574.08381,4777.521654,4118.623486,2626.667367,19810.89469
6998.634689,390.0223412,42381.32524,44413.26896,29315.31166,129057.6359,46078.42178,34552.64226,337492.4821,99585.06883,569.0000833,1452.362,NA,NA,506.7864641,746.2945051,1166.361365,837.1943473
2737.635104,11142.94597,129614.4366,19311.89297,13413.57361,91447.44143,61230.27735,29041.14847,31646.13052,43541.49384,11809.43946,149.5283037,341.9137594,20209.79746,290.8362585,1716.232503,4196.504805,72696.79624
20151.42128,2209.887924,37596.1353,5721.988583,5727.369054,72550.29611,28497.94003,17981.41352,116562.7323,59480.17421,8824.448228,30911.73423,1175.471283,1468.569876,191.6973036,1384.681454,14695.27321,1364.851687
38084.86929,4368.741016,2898.826157,61169.67263,56293.54606,82090.74746,7451.655062,27298.54366,176508.6676,88703.95459,4207.81967,4251.97518,9509.095791,2339.869459,4693.858097,15098.8962,3870.824098,3923.873075
38084.86929,4368.741016,2898.826157,61169.67263,56293.54606,82090.74746,7451.655062,27298.54366,176508.6676,88703.95459,4207.81967,4251.97518,9509.095791,2339.869459,4693.858097,15098.8962,3870.824098,3923.873075
8962.090163,7522.298168,5145.194762,101161.9136,49537.32614,36917.34916,3635.089105,39141.05589,57177.05126,7292.141151,4743.29227,6380.305994,17049.26071,944.7523566,646.0519123,4654.567776,2036.948886,NA
3830.175759,1937.031324,604.2785473,161158.8818,17111.28555,767.745207,754.7024529,15004.5506,892.6465655,1507.141473,1800.196215,1336.74643,967.7480999,167.6108192,1562.255658,947.0240946,291.5439631,1508.412293
2726.890309,4.680063206,NA,118502.2806,6195.269872,447.5838216,219.7239331,8856.452741,71.03907914,25.43768923,NA,NA,NA,101.6851365,377.6620939,27.28097027,11.53206266,NA
12971.18859,2493.739768,4772.742747,17403.56012,37573.05391,25520.66489,2619.298047,12728.42479,294707.0643,79059.36355,630.6368534,2699.485634,27230.57453,3143.097313,2745.710024,4660.147785,7826.116189,5072.330921
