old_1,old_2,old_3,old_4,young_1,young_2,young_3,young_4
32.69656,31.09861,30.49028,31.05077,29.95074,30.99058,30.55069,30.59263
27.81017,27.19178,27.05569,27.15238,26.62436,26.26796,26.39116,26.68672
31.67093,30.63201,30.58325,30.94615,29.96196,29.91883,30.26729,30.44648
25.56834,24.8839,25.64359,25.61009,25.46622,NaN,25.48714,25.36566
27.52828,27.47514,27.83129,27.26275,26.65103,27.11058,26.50677,26.61246
NaN,24.21571,24.4688,25.61498,NaN,NaN,NaN,NaN
25.91047,25.4379,25.45585,25.5809,25.39797,NaN,NaN,NaN
29.36524,28.91413,29.48846,29.726,28.79483,28.40892,28.95407,28.16404
25.61526,25.6312,25.57609,25.76875,NaN,25.95403,25.96382,NaN
30.05453,29.33027,29.84588,29.8906,28.64777,29.24114,28.89085,29.19086
25.26335,24.9349,24.5973,25.13962,NaN,NaN,NaN,NaN
25.46217,24.66742,25.15765,25.03607,NaN,24.61897,25.1164,24.503
25.05515,NaN,24.74098,25.06784,NaN,NaN,NaN,NaN
27.92858,29.80037,28.22527,29.3178,28.25413,27.58527,28.28202,28.01329
24.76562,25.36883,24.82362,24.5134,24.71177,NaN,NaN,NaN
26.97847,25.94853,25.16004,25.90559,26.06363,25.08768,24.79476,24.92202
NaN,24.81665,25.34945,NaN,25.49421,25.09563,25.07231,NaN
28.50873,27.94609,27.99943,27.8183,27.72436,26.94971,27.37294,27.1047
32.38301,29.67968,28.34325,30.44204,27.11028,31.00055,29.91841,29.70028
24.28086,24.34793,24.06044,24.28694,NaN,NaN,NaN,NaN
25.69946,26.02964,25.28662,25.95076,NaN,25.97745,25.59673,25.5697
27.90575,27.55772,28.65215,27.74471,27.1812,27.05331,27.35867,27.17988
25.75318,25.62862,25.41455,25.81973,NaN,26.74484,24.96385,NaN
24.38614,25.00928,24.80961,25.20911,24.36513,NaN,24.39257,24.08367
28.86894,29.57976,29.48443,29.10969,28.03207,28.30404,28.86245,28.8235
27.00945,27.04103,27.76383,26.80267,25.85624,26.59278,27.08618,26.06262
27.87883,30.58674,28.89828,28.78516,26.68016,28.72595,29.30685,28.43058
25.87551,25.22107,NaN,24.2363,NaN,NaN,25.21627,NaN
29.52058,27.98929,28.63582,29.4691,28.97079,26.88344,28.92,27.84386
26.89365,27.01191,27.01988,26.63893,25.84795,25.98767,26.39434,26.34255
24.40386,25.6804,25.26607,25.21123,23.89467,24.9003,24.45507,NaN
33.55362,33.47533,33.62277,33.10465,32.7551,32.91579,32.61305,32.48589
27.04489,26.74842,27.14569,26.88239,26.08261,25.97388,26.39924,26.38169
31.13809,31.52673,31.18813,30.93445,29.04565,30.67,31.60986,30.47875
29.87057,28.98891,29.35796,29.50397,29.19826,28.73289,28.06059,28.7731
26.91376,27.64251,27.34291,27.27364,26.83062,26.8749,25.84357,26.67788
24.13422,24.44247,25.05635,25.00672,NaN,24.52707,NaN,23.74848
25.57225,25.99662,26.01395,NaN,25.92075,NaN,NaN,NaN
25.91837,24.98246,25.42236,24.58606,25.25111,24.87493,NaN,24.70825
29.18089,32.28852,30.9791,30.77298,29.02562,29.93593,31.09434,30.24389
30.46607,29.92366,30.43281,30.61816,29.6169,29.88778,29.17536,29.83981
25.77281,26.39593,26.59932,26.62881,26.87256,24.81827,25.88746,24.90509
29.26808,29.83474,29.8889,29.54237,28.83253,28.48604,29.55182,28.75901
30.05943,29.48499,27.42542,28.8685,25.7572,29.75173,28.16648,29.26481
NaN,24.47686,24.993,24.79818,NaN,24.85743,25.16131,NaN
29.52332,29.80281,30.75079,29.68687,30.04739,29.20941,28.78141,28.82981
34.28113,33.35455,33.75015,33.8987,33.04053,32.74685,33.53925,33.06243
29.05186,28.29378,27.81476,27.87537,27.98945,27.64224,27.56848,26.95149
29.46649,28.94481,28.99397,29.32457,28.97405,28.42438,28.01988,28.4342
