"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
98,88.2,111.3,66.5,122.8,100.4,96.8,113.3,94.6,108.1
85.9,137.4,74.5,79.6,133,116.4,97.7,98.4,103.1,74
95.4,146.9,124.9,161.7,70.3,150.4,107.9,49.2,49.3,44.1
98.2,100.8,167.3,95.5,94.8,93.8,118,65.4,91.3,74.9
84.7,135.7,182.5,134.1,83.9,90.8,133.5,50.5,59.7,44.6
110.1,69.3,292.4,78.3,67.2,63.1,130.7,49,73.2,66.7
119.2,67,178.4,43.9,50,54.6,88.7,126.4,145.7,126.2
101.7,85.7,194.5,106.9,73.1,76.2,104,63.5,98.4,95.9
94.3,80.2,204.6,107.6,66.3,77.1,98.1,74.2,98.5,99.1
102.2,109.3,179.5,79.6,99.2,91,124.8,68.3,76.5,69.7
101.9,112.4,158.6,86.3,89.7,92.8,109.3,69.8,92.1,87.1
100.2,113.3,193.6,73.9,80.5,95.5,154.7,58.5,72,57.7
100.6,101.8,187.8,79.1,85.1,85.2,130.2,70.7,87.3,72.2
96.2,93.9,163.3,91.5,69.8,84,142.8,79.5,98.6,80.4
98.5,94.6,203.8,79.9,87.2,90.1,144.9,61.1,73.9,65.7
102,104.7,248.5,90.7,84.4,90.2,115.3,50.6,61.2,52.4
98.9,100.8,191.6,100.9,64.1,74.8,125.8,77.2,90.7,75.3
107.7,50.9,50.4,73,93.2,135.5,70.1,178.9,124.7,115.6
102.8,97.8,99.7,93.5,127.1,102.3,91.5,84.7,105.4,95.4
89.6,91.1,95.2,182.9,171.1,102.2,75.7,69.7,67.7,54.8
107.1,90.8,86.1,88.4,91,84.5,69.9,139.8,134.7,107.7
64.8,112.9,91.9,73.4,162.7,114.4,158,79.7,82.6,59.5
102.4,65.2,53.9,59.3,161.7,121.7,104.9,97.5,112.4,121
32.2,265.6,75.4,249.9,119.2,79.9,69.1,54.2,35.9,18.8
50.6,231.5,81.2,187.7,103.9,96.4,110.2,61.8,44.1,32.6
37,247.7,76.3,230.7,129.6,83.7,71.1,56.9,43.5,23.4
83.9,102.4,79.9,104.5,68.6,166.3,116,101,102.9,74.4
36.3,211.9,74.3,219.3,116.8,97,59,67.4,73.3,44.7
51.4,181.7,81.8,175.2,106.7,134.2,140.9,50.7,47.2,30.3
82.1,101.6,85.5,101.7,86.5,159.3,206.8,59.2,68.2,49
100,103,129.2,66.4,96.2,106.2,129.3,74.8,101.8,93.1
89.1,151.4,112.2,110.6,139.1,142.2,89.7,51.6,57.9,56.2
110.3,93,109.7,59.5,73.9,69,97.6,100.6,130,156.6
81.9,195.1,147.9,140.1,116.4,87.2,75.1,52.4,51.9,52
83.8,143.8,101.4,98.3,137.8,128.4,110.3,65.5,71.2,59.5
84.4,130.9,108,154.9,146.3,122.3,85.8,63.8,56.5,47.2
108.6,80.5,55.4,51.2,141.7,85.9,79.6,110.4,123.3,163.4
100.7,84.4,43.7,44.8,182.6,95.4,81.5,153.2,94.8,118.8
105.2,79.3,54.5,53.1,165.3,89.9,88.4,115,106.1,143.1
107.8,71.2,59.2,52.6,127.8,80.2,94.1,157.8,130.1,119.2
102.8,66.9,45.8,50.2,122.1,92.9,86.6,160.7,151,121.1
91.3,142.1,96.8,124,92.6,95.3,65.3,98.1,92.8,101.8
82.4,97.5,56.5,66.8,129.6,111.2,93,146.1,128,89
116.9,66.9,49.6,53.9,89,79.6,65,162.1,154.2,162.7
101.7,78.7,51.6,34.4,119.9,71.5,80.7,149.8,149.1,162.6
59.2,118,91.7,113.1,125.1,117.2,131.3,97.3,84.1,63
106.4,82.7,73.2,57.2,71.3,76.4,69.8,177.1,137.3,148.9
103.4,76.6,87.7,95.4,106.2,97,85.3,171.1,89.8,87.5
94.5,92.1,139.4,174.5,69,130.7,97.3,76.9,71.7,54.1
94,105.5,106.2,127.1,107.3,95.7,74.7,112,94.2,83.2
66.7,150.3,72.7,121.9,118.4,100.7,103.2,84.7,95.8,85.8
88.9,146.5,122.8,152.8,115.9,118.4,102.4,55.5,50.4,46.4
97.2,94.3,75.3,65.3,159.7,97,146.6,91.3,85.7,87.6
98,95.8,78.6,72.1,155.1,81.3,107,98.7,104.5,108.9
94.1,110.8,86.3,77.1,138.6,91,103.9,84.9,117.2,96.1
96.9,110.1,92.8,107.2,86.9,154.9,136.5,73.6,70.5,70.6
95,166.2,243.4,200.3,51.3,57.2,66.6,41.2,37.3,41.4
91.8,84.1,53.1,87.1,122.4,182.9,98.9,69,97.2,113.4
96.5,86.3,75.1,126,99.3,143.8,82.1,119.1,85.7,86.2
92.3,130.7,109.4,145.3,118.8,95.5,69.6,98.2,75.6,64.8
70.6,119.8,78.2,116.6,177.3,164.4,137.3,43.8,51.8,40.1
103.1,97.8,117.5,125.5,82.5,70.1,85.7,94.7,111.6,111.6
108,78.8,167,70.7,68.7,80.5,105.4,94.6,110.9,115.3
79.2,196.3,73,154.3,131.9,122.6,101.2,48,51,42.6
79.3,137.8,73.7,135.1,139.2,134,86.2,68,75.2,71.6
89.6,174,123.9,195.4,53.2,112.3,73.9,68.6,59.5,49.5
100.1,97.9,101.1,64.2,115.4,67,138.9,84.4,125.4,105.6
90.1,81.9,92.7,44.2,162.4,89.5,158.2,82.5,99.3,99.1
94.9,101.9,92.9,121.2,123,143.2,108.1,88.6,68.7,57.5
99,113,126.7,128,113.7,109.9,92.9,81.4,70.7,64.7
113.7,64.1,76.1,87.4,76.2,83.1,77.5,148.9,143,129.9
102.8,124.2,62.9,123.7,82.7,74.9,57,132.4,139.3,100.1
94.6,119.7,109.9,171.2,88.1,83.1,64.9,100.2,82.8,85.4
106.4,84.5,106.7,92.4,85.5,94.3,101.7,130.6,99.4,98.4
108.1,81,56,74.6,94.3,83.2,56.1,187.2,129.4,130
96.3,95,84.2,121.7,119.2,111.8,73.9,114.9,94.7,88.2
102.5,95.2,97.6,144.4,94.1,90.1,74.4,125.2,89.8,86.6
100.8,80,73.2,107.3,104.2,103.2,72.5,151.4,108.9,98.5
119.2,72.7,105.9,61.7,64.1,55.7,79.9,118.3,162.2,160.3
97,101.3,95.5,73.1,124,98.2,107.3,119.2,95,89.4
86.9,125.2,79.1,95.9,134.7,113.4,94.2,81.1,88,101.6
54.6,93.9,82,132.5,126.2,136.3,147.4,84,98.9,44.2
97.6,107.3,90.2,140,125.4,97.5,79.7,104.5,82.8,74.9
91,134.1,100.3,122.1,115.1,103,83.7,113.9,72.3,64.6
115.8,68.9,193,60.2,64.6,76.4,108.6,101.6,111.7,99.2
92.4,112,137.6,85.6,103.3,87.9,141.7,68.7,85.1,85.7
86.5,114.5,90,98.4,126.5,120.9,120,66.2,80.2,96.7
91.5,115.4,57.8,59.6,188.4,111.5,142.3,74.3,82.8,76.4
107.8,88.1,68.3,72.4,142.8,114.1,95,95.4,92,124.2
95.9,99.1,96.6,81.3,169,101.4,109.4,78.1,83.8,85.5
95.4,101.2,104.4,92.6,128.3,111.3,102.4,85.6,98.3,80.4
115,56.8,93.4,50.2,53.1,61.2,77.5,112.2,162.6,218
90,100.8,115.4,97.4,136,95.7,118.7,83.5,83.5,79.1
108.3,88,131.9,63.1,87.4,73,140.6,105.3,108.7,93.7
105.7,111.4,138.1,76.9,72.9,75.7,150,79,115.4,75
92.6,138,87,135.6,107.7,95.4,80.9,84.1,80.2,98.5
91.5,113.4,131.9,170.5,85.5,159.7,98.7,57.1,48,43.6
98.4,87.9,80,101.2,95.5,103.2,85.8,147.1,112.8,88.1
109.6,77.4,81.7,62.3,85.9,92.4,158.7,99.8,124.4,107.7
99.9,96.8,90.3,53.9,100.9,75.6,94.2,132.8,137.5,118.1
80.5,203.1,171.6,98.2,108.1,65.3,112.7,47,56.5,56.9
100.2,88.6,119.3,109.3,105.4,132.7,102,83.3,84.2,75
88.2,118.5,101.6,163,137.5,121.1,92.3,68.4,57,52.4
92.3,73.3,71.5,186.1,133.8,152.6,79.6,78.9,70.5,61.5
119.3,76.4,51.2,70.9,139.6,100,86.6,84.5,111.3,160.1
92.5,96,86.8,126.8,109.5,179.9,106.2,79.9,65,57.3
88.5,117.8,95.2,130.2,133.5,102.1,96.3,88.5,75.8,71.9
101.1,100.6,187.2,95,96.4,89.7,116,64.9,80.7,68.3
95.4,94.9,86.1,83.7,160.3,90,90,104.1,90.7,104.9
90.5,85.6,67.3,51.3,292.4,103.7,113,72.5,65.2,58.6
99.9,95.3,85.2,73.8,142.8,77.3,85,109.5,107.3,123.9
98.1,101.8,79.3,138.6,131.6,105,74.7,128.1,77.2,65.5
95.9,112.4,83.1,125.3,128.5,91.2,74.8,126.2,87,75.6
79,113.1,75.4,71.9,187.8,108.5,134.2,70,83.1,77
107.7,93.2,257.5,255.4,43.5,43,70.8,22.2,65,41.8
97.4,60.3,53.9,86.4,136.1,152,79.2,163.1,96,75.7
82.3,102.3,73.8,127,169.7,114.7,95.3,87.6,77.5,69.7
103.5,101.7,145,181.2,93.9,101.3,84.2,71.4,56.7,61.1
104.9,95,98.7,106.1,98.1,66.7,68.3,154.5,81.6,126.3
89.4,109.7,94.7,138.3,119.5,103.9,69.9,121,88,65.6
85.2,79.7,77.5,125.8,271.2,140.7,96,46.9,43.4,33.6
102.8,103.8,103.2,115.5,111.9,108.5,86.5,90.6,91.8,85.4
95.4,152.8,124.8,163.7,81.6,135.5,103.2,45.4,43.4,54.2
106.2,74.1,53.5,73.3,78.7,91.6,51.6,195.3,157.7,118
108.7,96,112.4,62.4,115.4,70.3,126.1,115,100.4,93.3
88.4,130.7,83.5,125.3,146.9,113.1,79.1,94.2,73.5,65.3
88.8,78.3,98.9,241.1,94.2,159.7,91.5,63.8,46.1,37.8
102.8,90.3,133.7,136.2,87,80.4,78.9,107.8,108.5,74.4
106.1,77.8,92.4,161.2,106.2,104.4,79,130.7,77.9,64.1
99.3,97.6,133.1,98,67.9,100.3,101.9,97.2,110.7,94.1
92.1,79.8,82.8,234.7,156.2,91.2,58.4,96.7,60.6,47.6
56.4,165.7,59.9,200.6,100.9,116,60.9,129,64.7,45.8
95,104.5,84.3,76.4,94.7,78.5,99,108,130.6,129.1
86.9,198.6,125.1,167.6,69.1,112.4,86,55.7,48.9,49.6
90.8,139.3,104.5,108,163.7,122.6,99.5,57.5,56.8,57.3
106,98.2,82,90.7,99.4,106,82,121,128.1,86.7
110.2,84.5,99.7,61.7,81.4,63.5,79.1,127.2,146.6,146.1
97.5,138.9,100.6,94.6,100.4,58.6,68.9,134.8,93.7,112
85.7,107.5,83.1,95.1,156.1,118.6,101.5,89.8,73.7,88.8
101.3,94.2,104.9,67.2,140.3,110.1,105.7,82.7,94.9,98.7
68,148.8,139.3,79.8,83.5,153.1,169.4,42.8,59.1,56.1
100.1,113.7,105.1,93.8,120.2,120.7,105.2,76.8,78.3,86
110.1,93.5,100.3,60.5,94.8,83.7,104,87.2,122.8,143.1
106.4,116.4,102.2,127.4,127.2,137.9,88.6,61.4,65.1,67.5
102.1,112.5,84.8,85.9,73.3,121.1,127.4,107.5,99,86.5
91.5,151.1,128.7,133.3,99.1,88.2,81.4,76.7,74,76
89.3,135,118.6,160.3,80.4,165.9,131.9,43.9,40,34.6
95.3,77.4,74.3,196.4,148.7,107.1,68.6,106.5,70.9,54.9
109.1,94.8,93.5,73.4,123.4,100.4,97.2,97.3,108.4,102.5
96.2,61.5,43.7,79.4,113.8,166,87.9,122.2,108.8,120.5
100.2,98.6,150.9,196.7,62.6,67.3,69.2,103.2,77.5,74
87.4,156.2,117.2,102.2,90.8,101.2,157.8,67.4,63.1,56.8
92.6,101.4,102.1,81.9,160.1,125.7,120.2,69.4,75,71.6
110.7,90.9,107.4,56.8,54.9,69,108.3,100.2,153.9,147.8
93.7,109,107.8,205.8,117.4,92.6,66.7,84.9,64.5,57.6
96.5,96,73.2,125.9,108.4,90.2,72.8,141.4,101.2,94.5
109.2,112.6,136.1,83,106.9,80.9,102.6,77.8,90.5,100.4
106.7,73.7,66.5,56.5,84.5,103.8,124,114.2,134.9,135.2
104.2,53.5,52.5,102.9,95.3,108.6,80,188.8,100.6,113.6
94.3,154.6,133.8,166.4,118.5,79,69.9,74.2,57.5,51.9
74.4,134.3,65.6,112.7,145.8,162.9,94.6,69.1,79.5,61.1
67,138.3,75.5,138.1,101.6,89.4,98,106.3,95.3,90.6
103.6,168.9,139.6,62.6,94.6,102.7,136.1,69.9,67.2,54.9
113.8,77.1,112.7,69.5,68.6,74,105.2,108.6,136.3,134.3
77.9,278.1,83.1,196.4,97.6,96.8,69,36.6,32.4,32.2
91.3,152.8,100.8,124.1,81.5,114.6,75.2,81.4,90,88.4
90.8,101.8,91.1,148.9,145.6,110,75.9,106.9,69.3,59.7
98,104.7,136.9,68.9,74.2,87.7,111.3,87.5,123.3,107.5
90.6,163.6,75.2,129.9,79.5,99.9,253.6,37.7,35,34.9
79.7,291,68.1,117.2,67.4,78.3,116.2,62.1,61.5,58.4
73.1,93.3,35.8,68.3,51.2,527.8,31.3,51.6,32.1,35.4
88.8,152.8,146.3,128.1,101.4,121.1,108.3,50.3,53.5,49.5
96.2,134.5,127.4,81.6,98.3,122.7,140.9,69.6,64.8,64
80.3,252.9,54,119.1,59.3,191.4,61.4,58,57.5,66.1
82.8,221.1,61.6,227.9,66.8,66,146.1,44.5,36.9,46.4
87.3,233,55.5,228.3,64.9,57.8,134.4,44.9,45.3,48.5
87.8,207.9,67.9,204.3,67.1,58.9,157.8,52.9,42.5,52.9
84.9,191.2,54.2,182.4,50.8,151.7,110.3,52.4,70.3,51.8
82.4,103.7,62.1,90.2,48.1,419,41.4,61.1,43.6,48.3
93.4,137,134.4,98.2,103.8,129.1,140.6,50.9,57.6,55
99.6,65.6,145.8,306.7,46,103.1,98.1,39.6,57.5,37.9
105.7,89.6,124.6,65,89.5,80.3,120.9,100.6,112.3,111.4
89.4,127.7,152.7,198,97.7,121.7,76.7,59.7,38.5,38.1
119.5,42,32.7,32.3,105.4,90.7,97.7,151.5,164.6,163.6
91.3,151.3,72.2,91.2,128.3,98.4,99.7,91.8,91.6,84.3
88,144.3,125.1,173.5,119.8,97.5,89.2,63.1,50.8,48.6
137.2,52.9,40.4,50.1,50.9,45.7,47.8,150.6,178.6,245.8
108,81.4,58.3,61.2,99.6,81.7,87.6,113.7,167.9,140.6
99.9,120.9,82.3,85.7,127.8,87.2,112.1,102.6,89.5,91.8
102.2,93.2,142.8,182,66.9,83,73.2,94.7,81.9,80.1
96,162.3,208.4,170.9,65.3,60.5,53.1,70.2,54.2,59.2
87.4,206.8,129.7,213.1,72,56.2,60.9,63.8,55.3,54.9
107,80.4,87.8,66,81.4,80.8,95.8,123.1,149.5,128.3
97.9,80.1,106.9,85.3,121.7,124.5,102.3,90.4,102.2,88.6
111.1,73.1,100.6,64.5,77.7,84.4,102.4,103,167.4,115.8
89.7,147.4,131.1,147.2,108.4,108.7,106.3,56.4,59.5,45.4
97.8,108.6,113.8,111.7,106,102.2,93.4,101.6,88.2,76.6
81.8,119.6,140.5,97.6,101.2,93.4,124.6,74.9,85.6,80.8
99.5,80.4,151.9,188.9,65,92.1,92.7,91.6,68.4,69.7
122,56.9,111.9,43.3,51.4,56.9,106.7,110.5,157.8,182.6
92.7,91.1,100.5,171,123.5,106.5,82.6,95.1,68.4,68.4
108,71.8,101.7,59.2,87.5,77.9,102,125.1,118.8,148
99.7,108.3,124.3,76.1,132.8,83.3,106.2,85,91.3,93
101.7,105.3,125.7,64.4,111,80.8,127.2,88.3,100.9,94.6
102.4,66.1,46.9,38.8,191,80.8,130.4,119.9,115.8,107.8
122.6,99.5,59.9,75.1,115.3,77.2,98.3,90.1,103.6,158.4
114,52.4,43.9,44.6,133.9,73.7,98.2,125.8,152.6,160.7
89.2,121.7,105.9,205.6,95.8,113.5,80.5,78.6,65.8,43.2
91.9,124,152.5,198,69.1,91.7,84.6,73.3,55.6,59.4
96.2,117.5,146.5,179.7,79,85.2,76.2,84.9,63.3,71.5
101.4,91.1,127.7,140.7,100.1,98.9,90.4,91,76.6,82.1
102.7,110.1,149.7,153.9,86.5,88.3,83.7,81.5,76,67.8
110.7,63.7,78.4,67.4,80.5,77.9,91.4,116.7,169,144.4
95.9,97.8,133.6,158.9,85.4,111.9,82.8,88.6,73.4,71.6
103.8,110.2,110.2,110.1,116.3,97.9,105.6,73.1,90.4,82.5
116.2,53.7,58.4,47.8,77.1,59.2,82.7,136.3,198.2,170.3
117.4,54.5,59.4,51.5,72,73.4,65.1,147.4,171.9,187.5
92.7,110.1,64.1,100.3,84.3,118.1,68.7,103.8,123.5,134.5
97.2,118.6,137.7,87.2,103.6,92.7,165.5,69.8,74.3,53.3
89.4,91.1,169.2,116.6,83.8,102.2,94.9,101.6,82.6,68.7
95.2,93,60.4,84.7,147.3,108.3,75.4,157.8,92.4,85.5
106,63.4,78.6,56.8,53.7,81,98.3,153.6,162.5,146.2
98.8,146.6,88.2,70.3,108.4,91.7,106.7,101.5,97.7,90.1
100.6,98.2,135.1,157,91.8,117.4,98.1,79.9,67,55
89.5,157,123.3,159.1,118.5,87.9,72.9,80.4,58.4,53
87.3,131.7,95.7,122.7,107.9,106,96.3,87.5,93.4,71.5
114.4,56,46.2,53.8,93.9,68.8,86.6,139.7,165.8,174.9
89.7,118.9,91.9,113.4,153.8,104.5,75.1,112.1,73.7,67
91.1,122.8,99.6,163.9,146.7,105.6,78.1,82.5,60.6,49.1
111.8,44.3,50.1,71.1,81.8,95.1,65.4,198.4,146.2,135.8
75.9,192.7,68.3,182.9,105.7,99.7,71,66.9,69,67.9
86.1,161.3,111.6,136.4,84.3,82.4,74.7,93.4,89.2,80.6
99.8,84.9,128.9,155.2,74.6,101.5,92.8,101.8,85.3,75.2
92.2,150.6,106.5,153.3,120.9,100.4,92.9,68.1,59.5,55.4
100.5,166.6,154.1,73.4,58.6,79.4,121.5,86.1,94.6,65.3
92.3,138.7,64.2,119.6,137.6,126.1,81.8,58.1,78.5,103.1
82.7,107.4,88.7,92.5,146.2,123,92.7,92.8,87.2,86.7
103.8,69.7,153.4,203.5,55.6,105,86.6,90.9,70.6,61
105.4,89.3,104.3,68.7,83.1,113.3,98.1,93.6,128.3,115.9
87.2,190.9,138.2,238.1,57.3,106.1,73.3,36.2,38.3,34.5
94.8,121,140.9,154.1,73.5,112.2,108,65.6,64,65.8
101.3,101.1,112,158.4,95.5,107.6,80.3,89.5,82.8,71.4
117.7,55.1,39.4,40.1,45.7,47.1,43.4,186.8,223.6,201.1
103.7,87.1,117.1,76.1,112.1,74.1,103.8,99.2,107.8,119.1
101.1,85.9,99.5,121.6,109.1,118.7,97.2,114.6,77.5,74.8
91.6,93.7,137.2,228.8,75.5,116,97,60.1,53.2,47
102.2,92.2,134.9,114.7,68.9,73.8,80.8,110.9,111.6,109.9
84.2,126.4,97,115.6,136.8,116.7,83.4,109.1,71.6,59
94.1,141.3,92.5,137.4,116.2,101.1,71.9,106.1,73.1,66.3
85,113.9,139.5,110.9,125.7,103.1,122.3,68.9,71.6,59.1
108.1,82,147.7,67.2,65.5,69.4,104.3,105.5,123.2,127
103.3,98.1,82.3,71.8,79.7,116.7,129.7,87,116.4,115
67.6,154.2,72.8,124.4,165.1,108.5,109.2,70.8,66.2,61.1
98.9,73.1,145.7,196.2,59,129.7,116.1,79.5,53.4,48.4
83.9,215.4,184.9,99.6,78.5,71.8,115.8,44,54.8,51.4
101.2,78.5,160.5,132,58,102.6,109.8,90.9,88.6,78
104.5,79.6,132.2,100.5,72.7,126.2,93.8,111.1,93.1,86.2
100,74.2,159.2,105.5,57.2,114.3,99.4,107.8,104.5,77.9
91.3,122.3,102.3,105.4,186.8,106,92.1,84.2,54.8,54.9
89.9,78.3,98.2,98.6,78.2,156.9,119.8,105.1,94.4,80.6
96,147.8,180,124.8,108.4,71,78.6,71.6,65.5,56.2
100.6,66.5,110.1,96.8,71.8,170.6,129.1,96.8,78,79.6
97.2,100.1,154.9,118.9,88,129.5,117.9,72.8,56.5,64.3
98.8,81.6,103.9,92.1,115,103.1,135.7,86.7,87.6,95.5
83.8,132.6,77.5,108.3,177.5,133.3,118.4,74.4,46.6,47.8
95.4,134.3,87.8,97.1,127.9,117.4,91.6,94.9,72.8,80.9
87,164.6,119.5,178.5,58.5,142.9,91,60.8,51,46.1
117,40.9,35.5,42.2,89,125.3,59.5,227.2,183.7,79.7
108.9,58.1,68.5,89.9,68.3,156.8,95.1,144.3,145.8,64.4
98.1,120.8,150.9,182.7,84.9,102.7,66.5,71.3,59.5,62.8
92.5,109.1,100.3,174.8,101.9,84.9,73,101.1,85.8,76.6
100.3,119.5,106.2,113,111.8,93.8,83.2,84.3,93,94.8
105.8,123.1,154.2,112.5,77.4,88.9,124.2,83.5,74.3,55.9
106.5,68.2,50.7,53.2,153.8,79.3,72.9,133.1,143.8,138.5
108.4,51.2,65.9,53.8,134.6,111.1,96.1,122,143.7,113.3
105,99.5,73,106.4,116.1,82.1,72,153.7,108.4,83.8
100.2,99.6,89,128.6,113,94.8,73.3,125.9,88.9,86.7
127.7,51.3,58,49.2,52.4,49.8,58.1,147.1,207.4,199
102.2,137.6,108.5,97.1,77.8,87.8,137.9,74.8,68.7,107.6
105.9,112,124.2,88.4,60.7,100.8,151.9,85.5,78.6,92
116.4,88,90.9,76.6,68,74.6,97.8,116.8,132.1,138.8
98.3,107.6,122,75.4,69.1,87.1,137.2,116.4,105,81.9
90.3,135.5,38.2,153.2,106.4,114,42,186.6,77.9,56
43.2,213.6,96.1,170.3,114.4,173.1,85.5,28.3,55.5,20.1
100.7,114.8,54.7,91,107.5,112.6,70.6,169.2,106.6,72.3
79.2,253.5,105.5,229.4,78.9,64.2,54.3,45,46.8,43.2
95.6,99.9,93,122.8,130.6,106.7,87,106.9,81.5,76
87.9,90.9,93.3,112.2,79.3,223.8,134.9,64.3,64.2,49.3
112,64.5,57.7,55.1,55.1,65.1,81.9,104.3,184.9,219.6
96.1,116.9,97.8,102.6,87.1,120.9,98.9,110.5,84,85.1
83.4,185.6,132.4,221.7,54.6,120.2,90.7,45.3,35.2,30.8
86.2,133.7,78.3,115.4,108.9,114,93.3,84.7,102.7,82.8
103.9,75.9,75.6,64.3,106.7,103.9,132.8,113.7,107.6,115.7
101.2,98.6,144.8,97.4,65.8,110.9,101,96.4,88.4,95.5
96,81.1,143,118.1,64.2,128.6,109.9,102.9,75.4,80.9
101.3,54,155,110.1,59.8,144.7,110.5,97.5,90,77.3
94.2,72.4,100.3,110.2,92.8,91.7,88.7,127.2,111.4,111
105.1,82,118.5,128.7,78,104,85.5,117.1,93.2,87.8
123.7,44.4,42.7,34.9,52.8,56.4,90.9,119.9,176.9,257.4
97.7,109.8,120.8,180.3,85.7,100.9,82.7,83.5,67.9,70.7
87.3,124.3,101.1,85.1,140.1,90.1,112.5,78.2,92.1,89.1
110.3,77.3,64.9,64.3,69.2,62.5,62.5,150.6,154.5,184
106,95.2,67.4,54.1,182.7,94.5,117.7,104.8,90.2,87.5
104.4,77.4,109.5,74.3,80.1,80.7,86.6,135.2,132.1,119.8
90.7,116.7,84.7,78.5,117,99.2,112.5,100.3,100.9,99.5
85.5,88.1,78.3,71.8,158.4,113.6,110.8,99.8,86.7,107
97.3,93.3,118.7,87.9,123.1,115.2,114.7,84.8,89.2,75.8
94.4,116,111.4,101,149,103.9,110.9,74.9,75.7,62.7
95,44.9,41.4,48.3,156.8,218.7,104,137.1,84,69.7
105.3,93.8,110.4,56.1,111.8,88.2,119.2,102.4,111.1,101.7
98.2,104.1,104,94.5,90,68.4,76.2,113.8,124,126.7
83.7,95,49.2,97.6,229.1,170.5,94.4,74.4,58.6,47.7
80.3,155.4,103.3,135.4,130.5,60.9,69,95.5,81,88.6
93.5,109.6,99.4,146.7,101.7,111.2,73.2,109,82.5,73.1
93.7,117.9,90.5,165.5,117.6,136.3,86.3,82.7,57.1,52.4
93.7,109.1,99.6,159.9,120.2,111.5,80.3,97.2,69.1,59.4
95,98.8,91.6,98.3,143.7,122.8,97.4,69.9,84.5,97.9
93.8,144.4,134.2,148.7,92.8,80.1,65.6,101.3,79.2,60
89.6,101.7,149.9,89.7,97.7,87,127.9,76.4,96.8,83.2
86.5,69.4,137.8,79.9,85.6,86.9,85.3,111.4,153.1,104.1
98.5,102,177.1,87.1,95.6,93.5,134.4,65.7,75.4,70.6
92.9,119,147.8,107.6,130.7,88.7,118,61.8,74.3,59.3
88.2,75.9,94.9,249.6,51.5,199.9,86.1,59.4,48.1,46.4
83.2,48.1,62.8,190,70.4,286,121.2,60.9,40.3,37.2
100.5,121.1,229.7,69.9,66.9,87.9,116.9,68.1,74,64.9
92.3,112.2,131,73.9,99.6,102.6,131,96.1,87.3,74.1
89.6,100.3,87.4,79.9,162.7,114.6,128.7,72,85.9,78.9
96.6,114.2,64.2,88.5,160.4,125,114.6,55.2,65.4,115.9
94.8,121.6,95.4,91.7,132.5,124.8,119,73.8,70.8,75.7
113.8,70.6,114.5,102.1,40.6,141.7,84.5,117.4,103.9,110.9
124,52.7,41.4,42.2,42.9,47.8,48.2,136.7,220,244.3
94.2,117.9,110.2,179.8,107.8,98.5,63,91.7,73.9,63
95.8,184.5,171.3,128.9,94.8,74.7,85.3,57.5,55.8,51.4
91.6,113.4,89.9,79.9,179.6,80.7,92.9,91.3,93,87.7
75.6,140.3,110.6,101.6,255.8,75,83.2,47.9,57.6,52.4
94.8,139.6,111.3,118.4,103.7,93.8,73.3,115.8,79.5,69.8
109.3,107.6,89.6,69,139.7,63.6,68.3,125.4,98.5,128.9
98.8,55.1,79.8,94.4,84.9,135.2,102,152.9,107.8,89
122.9,50.7,133.5,47.2,49.8,51.2,87.3,100.4,171.5,185.5
107.1,75.6,248,109.5,58.1,62.6,154.4,57.6,60.2,66.9
109,100.2,104.3,63,107.7,82.6,85.8,105.8,126.7,114.9
82.3,176.1,81.3,167.2,87.2,117.3,76.4,83.5,70.7,58
89.3,146.7,130.5,211.1,67.4,145.6,96.1,43.8,35.5,34.1
96,103.5,174,243.3,67.8,81.6,79.4,57.8,49.9,46.6
90.3,120.8,84.9,83,134.1,130.1,113.8,87.1,82.8,73.1
106.8,112.1,170.9,84.8,107.6,82.3,115.2,61.5,84.4,74.3
88.2,84.9,131.4,117.6,77.4,112.3,98.4,105.2,99.4,85.2
106.9,48.2,71.1,55,88.3,82.1,69,199.6,127,152.8
99.6,94.4,123.2,102.4,98,87.8,77,119.2,97.6,100.9
114.5,53.9,103.6,43.8,69.2,68.3,126.8,133,148.9,137.9
101.8,111.9,181.7,119.8,95.2,93.1,97.9,60.4,66.2,71.9
94.8,113.6,114.1,98.8,122.2,110,101.5,85.7,82.7,76.7
73.7,172.3,75.3,139.6,162.6,139.5,92,47,50.9,47
92.9,107.4,153.4,143.6,159.8,79.2,92.5,49,61,61.3
89,155.6,88,91,199.3,86.3,82.1,65.4,66.2,77
111.7,41.6,54.6,36.4,65.4,118.6,70.5,200.6,145.4,155.1
104.6,72.3,150.9,59.8,76.1,79,130.3,97.7,128.4,100.8
105.2,95.4,133.1,78.3,72.1,81.1,122.2,87.5,110.6,114.5
105.7,67.7,143.4,124.2,57.4,131.9,114.9,96.8,80.4,77.6
91,111.5,52.4,122.3,123,151.6,84,100.6,91.3,72.3
105,83.2,108.5,131.6,82.1,91,64.8,123.7,92.1,118.1
101.3,103.8,146.8,162.2,81.6,95,83,87.8,71.2,67.3
93.2,104.6,91.3,146,179.3,110,80.9,82.1,56.4,56.2
96.1,73.2,85,56.4,130.9,143.6,92.4,130.8,102.8,88.8
94.8,77.7,74.5,69.5,165.6,103.6,84.3,109.4,111,109.5
