"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
97.9,150.9,146.3,191.3,50.5,83.7,67.8,71.5,72.8,67.4
99.6,109.3,102.5,61.9,118.5,81.7,94.1,115.6,96.3,120.7
86,183.2,78.2,137,154.3,100.5,74.4,68.2,62.3,55.9
104.9,77.1,71.8,74,141.9,106.5,82.9,105.6,113.4,121.9
107.4,49.6,46.6,43.4,137,69.5,68.2,174.5,137.1,166.7
107.5,89.8,110.1,83.2,82.8,81.8,109.6,84.7,116.4,134.2
115.9,146.5,154.5,42.2,39.6,77.8,207.5,53.2,95.4,67.6
105.7,87.2,99.4,55.3,94.5,75,170.1,102.5,104.8,105.6
105.5,84.3,101.3,66.2,87.6,70.5,155.3,113.2,113.9,102.2
96,77.6,109,40.7,93.4,68.7,222.9,94.9,110.5,86.3
99.7,89.4,88.4,55.2,76,64.8,193.7,114.9,110.2,107.7
85,81.4,122.8,41.6,97.8,72.7,203.6,105.5,130,59.5
93.1,106.1,95.6,75.2,95.4,64.1,139.2,116.9,107.8,106.7
109,82.4,92.5,63,90.9,67.7,136.7,123.9,115.3,118.7
108.1,80.1,85.3,57,72.7,86.6,157.8,111.7,121.6,119.1
104,108.4,139.1,123,75.9,80.1,104.5,95.6,87,82.4
91,220.6,63.1,130,77.4,113.3,63,105.6,78.1,57.8
87,171,125.5,184.3,64,129.6,92.1,51.7,47.6,47.1
98.8,82.4,72.8,83.3,101.9,78.3,162.1,86.9,128.6,104.9
109,96.5,85.5,53.2,133.6,67.2,95.5,126.6,105.4,127.4
103.7,82,88.5,82.8,102.8,78.8,78.5,139.1,128.3,115.6
82.6,128.5,87.4,108.6,155.5,121.9,97.1,74.3,74.9,69.2
103.2,101.6,76.4,56.7,105.7,94.2,185.4,91.3,95.6,89.9
85.2,219.6,100.9,135,118.4,97.2,89,55.3,55.8,43.6
100.2,71.7,114.3,178.8,74.1,115.1,95.2,102.1,74.4,74.1
110,58.1,107.8,99.5,56.3,123.7,101,130.7,116.1,96.8
105.9,59.7,146.2,109.8,45.6,130.8,110.6,104.7,100.3,86.5
105.2,74,143.9,132.4,58.5,115.5,97.5,102.2,92.7,78.2
101.5,99.9,139.7,131,90.6,102.4,93.8,86.8,84,70.4
103.2,113.5,140.6,112.8,94.8,93.6,99.5,80.4,94.7,66.8
106.6,82.8,123.8,99.8,90.5,106.6,104,100.5,110.3,75.2
94,136.4,184.4,164.1,83.4,85.1,76.7,59.8,62.9,53.3
84.1,64.7,92.6,60.4,128.9,91.7,136.1,105.6,129.4,106.5
101.8,104.5,196.5,134.1,71.4,64.3,82.7,75.2,89.7,79.8
94.8,97.6,112.5,140.6,110.5,121.9,83.9,88.9,74.7,74.6
96.4,109.9,135.2,148.7,99.9,93.5,81.7,89.4,79,66.3
90.8,168.1,144.2,170,65.3,107.8,86.1,63.7,53.7,50.2
79.2,108.2,73,89,173.1,177.9,139.8,55.8,55.1,48.8
90.2,95.6,62.9,110.3,101.8,108.3,68.9,148.4,126.2,87.4
95.2,105.4,98.1,79.5,145.3,100.7,105.5,85.4,94.2,90.7
74.8,127.5,80,95.5,142.2,114.7,110.9,83.4,113.6,57.5
87.5,210.1,85.2,161.6,88.9,80.9,65.3,66.3,79.2,75
104.6,98.6,65.8,78.6,126.4,102.1,86.4,100.6,113,123.8
82.6,100.8,60.6,70.7,184.1,178,142.5,54.4,64.4,61.9
127.7,74,45.1,58.3,123.6,115.4,84.1,82.2,102.7,186.9
114.2,77.3,99.8,54.3,64.4,67.8,92.8,101,156.3,172.1
95.3,128.9,76.2,82.7,149.6,115.3,79.7,98.2,80.4,93.7
104,142.6,177.6,93.7,70.5,58.8,105,71.2,89.3,87.4
110.9,59.2,63,67,78,75.1,96.1,102.6,188,160.1
94.7,105.6,57.2,86.6,99.7,144.4,88.2,112.3,106.5,104.8
101.7,114.4,80.2,114,100.9,101.5,84.8,74.3,111.1,117.1
127.2,40.8,43.3,32.9,46,57.6,76.2,96.7,194.8,284.6
91.5,67.7,56.7,60.6,172.5,208.4,108.7,91,73,70.1
84,135,81.1,189.7,159.1,125.3,87.1,52,47.5,39.2
93.7,124.3,129.8,147.3,86.9,86.7,77.7,98.8,81,73.9
94.2,122,170.4,201.9,74,89.3,66,62.8,57.8,61.5
97.4,78.1,148.3,170.2,80.7,94.2,87.8,91.9,79.1,72.2
96.5,119.2,160.7,187,62.5,116.7,96.8,62.4,50.7,47.7
87.3,165.7,84.5,122.9,118.4,103.6,67.8,74.1,82.7,92.7
83.7,158,79.6,135.3,121.6,107.2,75,61.3,82.4,95.8
118.1,70.2,45.8,55.6,111.4,118.3,80.3,99.2,143.6,157.5
94.8,165.7,114.6,209.7,61.7,91.3,69.3,60.5,69,63.5
110.4,66.5,63,51.9,114,85.6,90.4,140.7,129.7,147.8
91.3,97.4,61.4,59.5,186.9,122.8,131,79.3,81.9,88.5
104.1,90.8,94.3,70.9,121.1,93.4,104.6,116,107.4,97.3
97.5,79.3,73.3,65.1,98.6,73.8,144.7,120.2,129.5,117.9
108.7,117.5,134.2,60.4,54.6,76.8,135.9,83.4,122.8,105.5
95.1,108.7,65.9,90.7,139.9,130.8,97.6,77.7,83.9,109.6
102.2,82.4,90.6,116.7,71.1,115.6,88.5,143.8,92.9,96.3
107.3,79.9,77.6,81.3,71.6,80.6,74,102,207.8,117.9
94.3,81.3,67.1,102.6,106.9,165.3,93.7,113.2,89.8,85.6
93,130.2,165.5,260.5,57.3,75,57.7,58.2,48.2,54.5
86.1,182,179.2,187.6,68,75.6,64.4,53.4,54.4,49.3
85.7,138.7,94,160.2,139.1,100.9,87.5,73.9,62.9,57.2
102.2,89.3,133.6,91.3,61.8,108.1,104.7,111.6,99.4,98.1
105.5,84.4,159.4,108.4,60.9,112.7,112.8,89.2,86.3,80.4
100.4,87,153.3,65.5,59.9,72.7,134.2,84.9,117.2,124.9
97.2,46.3,193.6,28.8,30.5,49.1,157.2,84.7,145.9,166.8
97.1,126.7,89.8,112.9,133.4,102.7,92.3,81.4,87.6,76.1
95.9,100.5,84.5,132.1,119,110.3,74.3,123.4,80.2,79.8
89.8,119,100.1,129.6,138.8,152,102.9,63.5,53.1,51.2
94,127.2,87.3,147.3,121.3,94.1,62.9,116,75.1,74.8
93.3,119,94.6,143.5,111.2,117.5,86,94.7,73,67.1
109.3,25.7,30.8,23.6,114.7,142.4,103.5,209.2,139.4,101.3
88.9,126.3,69.3,130.8,166.4,101.3,65.4,110.4,72.7,68.6
90.2,117.6,80.6,97,165.4,140.6,106.3,77.5,61.3,63.7
94.1,98.6,69.1,99.4,142.9,123,81.9,128,88.4,74.6
90.6,128.3,69.9,125.3,154.6,135.2,68.2,94,69.3,64.6
95,93.5,63.5,111.5,157,105.6,72.1,128,87.1,86.6
93.8,111.9,93.7,136.3,108.5,129.6,96.1,98.2,71.3,60.6
100.9,126.2,110.4,154.1,86.5,81.8,69.7,122.4,82.7,65.4
94.4,93.1,129.2,191.2,77.8,112.1,97.4,89.2,51.5,64.1
96.7,108.8,95.8,142.3,113.9,97.4,78.2,116.2,77.4,73.3
96.3,92.9,87.4,96.3,114.1,92.7,77.1,145.9,97.8,99.6
90.8,159.9,95.6,104.9,152.2,141.8,61.8,61,92,39.9
103.7,94.4,131.5,82.6,119,88.4,122.2,87.8,91.9,78.5
101.2,103.6,148.9,102.2,135.5,82.9,119.8,70.4,65.2,70.3
106.5,102.4,139.1,70.5,87.9,83.2,131.3,92,100.8,86.2
103,102.9,139.8,72.2,88.6,79,134.2,90.1,95.5,94.8
105.3,98.7,170.8,72.5,76.9,69.7,140.9,86.5,97,81.7
109.9,119.8,173,88.8,87,72.4,95.6,85.1,87.7,80.8
100.2,113.9,134.2,89.1,88.9,99.1,133.6,79.4,89,72.7
107.8,75.3,67.9,65.7,135.9,87.6,74.2,137,137.7,111
112.6,63.9,101.5,73.7,81,72.4,68.5,159.1,146.4,120.8
103.4,84.9,61.7,54.4,180.7,68,68.1,151.8,105.8,121.1
112.5,58.5,55.2,95.7,54,103.7,58.1,253.7,143.3,65.1
94.2,102.8,78.5,100.7,118.6,93.9,78.9,128.7,100.1,103.6
88,119.1,87.5,117.7,95.6,82.6,73.8,139.3,98,98.4
102.3,73.4,59.3,61.3,138.7,176.9,83.5,142.2,92.6,69.9
95.9,121.4,119.5,152.4,93.2,93.9,78.2,89.9,79,76.5
100.8,90.7,77.2,64.6,121,116.8,98.6,132,93.2,105.1
88,108.3,93.3,102.2,108.5,87.1,88.1,120.4,110.2,93.9
116.2,70.3,122.7,55,61.4,64.2,106.5,117.6,142.5,143.7
89.4,100.8,87.6,78,159.7,92.2,149.8,81.6,88.9,72
117.3,86.8,143.6,78.6,50.1,47.6,51,114.2,148.2,162.5
101.4,100.4,138.6,106.7,89.3,107.3,94,96.8,81.6,83.9
83.9,103.1,72.5,71.5,168.9,158.6,127.2,74.7,74,65.7
103.5,91.5,119.9,66.8,98.3,74.5,113.7,92.1,119.9,119.7
94.3,126.8,60.1,91.1,176.5,120.9,109,70,65.5,85.8
84.2,87.3,70.2,66,235.1,148.8,94.2,70.2,66.3,77.6
110.2,82,132.9,64.5,67.2,66.7,105.4,102.7,134.9,133.4
135.3,52.5,49.4,42.3,40.1,44.2,55.3,58.1,349.9,173
101.6,120.9,121.3,103.2,72.4,106.3,91.5,99.4,91.6,91.8
100.8,119.8,106.6,90.9,152.9,115.1,84.8,76.9,75.3,77
108,75.2,88.3,85.8,84.7,81.5,83.3,149.2,127.4,116.6
107.8,61.5,183.8,106.5,50,120,117,89.1,84.6,79.6
96.2,105.8,121.2,109.4,78.4,98.7,93.2,96.5,105,95.6
