run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3
24481.09327,26900.41851,26680.35727,22368.61914,21927.75606,22358.11631,12712.70045,12951.53401,12352.96478,16845.7161,16928.74048,13847.80692,7809.501653,7434.947525,8410.519031,8326.610011,7182.273143,7366.602839
54111.49976,60063.5321,56599.74184,53198.24132,52332.62688,53380.93688,26817.24269,24447.83573,25622.77545,15867.1389,17181.54468,13866.88577,13831.68755,13885.70003,13504.02497,7497.506068,7755.665968,7854.294697
44574.50166,49204.55163,49212.49572,29693.02527,30241.89416,33314.01252,23999.36807,22636.98781,22796.06487,40899.61509,42085.23393,37436.7854,28390.68826,26987.78579,27213.45081,15221.38277,16821.15278,15445.84151
948.3598612,1122.601178,1167.410775,969.2717309,900.2043288,902.2014934,515.274702,496.5810505,461.6223524,4651.05154,4131.109078,4132.688067,2237.79019,2132.84736,2022.870389,1846.681388,1695.188083,1747.899781
58889.07501,63695.38054,60374.14286,33297.29217,31538.76975,27064.18994,26808.1272,26572.33735,27496.0264,73901.9982,70738.14064,54726.21708,23470.31571,22391.41627,26566.02517,29240.9048,26168.01974,26705.62356
6798.568596,7574.112871,7437.50303,4228.561298,3993.73419,3838.971325,3194.237487,2890.541421,2940.220415,6955.095463,7189.353316,6209.408124,3885.446001,3296.345769,2593.913376,3229.098467,2984.518288,2801.437162
36994.06633,40370.88657,37456.61023,26725.18514,26152.27802,26614.90361,17570.09077,16228.40899,15987.95106,78867.77635,77986.49975,77264.20363,43275.76059,43047.10926,45589.926,33650.39964,32371.10759,32300.95548
2881.464618,3716.034559,3732.268581,3877.51795,3725.154504,3982.185486,1166.934984,1215.030114,1283.364544,446.4576281,412.1040892,516.0761165,199.7781508,148.1999497,47.78716501,278.6586673,187.4738637,181.1211517
33310.94722,33973.11238,33282.793,21709.18829,18226.90696,18807.23561,15492.11452,10959.99242,11919.30801,22763.66362,22516.4805,21069.27178,14273.00927,13207.28363,13377.20819,9890.962915,9942.605947,9876.154922
16548.2335,15935.65549,15808.54379,11612.68079,11286.34914,12959.28919,5426.96567,6101.236748,6422.720329,31940.05129,30972.44616,30966.22832,13644.61033,13874.56009,15054.71202,14335.66396,13087.00865,14931.351
10510.77963,10469.45224,9730.652851,9272.447408,9203.505493,10762.83272,4388.498064,3947.281759,4168.066577,16830.78486,16570.45974,14800.65448,4766.842783,4571.775316,5055.867103,5757.282135,6246.817251,6320.320718
12627.29179,13762.12426,13440.905,11508.08611,11269.72565,11393.45381,5229.261628,4785.07439,4588.681718,10971.0098,10379.48079,10313.03559,8503.431374,7569.54179,7358.717477,4443.260747,4520.010973,4132.483222
16153.67778,17319.88001,17101.23529,15512.99305,14984.05708,16302.19349,5575.550581,5317.58146,5658.725593,14478.87592,13984.27452,14148.62848,12416.70462,11524.19612,11068.87156,6998.314062,6311.917621,6033.898232
32835.88976,35517.17923,37305.46056,21761.82166,18502.42823,20187.4474,12184.15561,12244.59095,12156.49888,31178.67865,29674.63584,29228.42394,12375.49918,14304.18214,15813.16006,13958.28668,11721.92467,12940.72512
11120.28815,11967.34486,11267.24866,8597.589848,8408.458224,9593.036398,5130.98863,4475.694997,4075.256568,36689.3633,36008.7887,34756.31807,18642.10164,17746.44185,16505.44554,13785.91049,13841.27828,12774.66873
16162.08307,18015.14049,18256.67045,15295.13495,15713.23859,16755.13722,6164.941553,5198.913736,5828.418941,13388.50999,14389.62125,12338.71912,6620.136548,6639.435632,5689.540589,7238.640789,5786.950182,4837.678544
11884.27307,11732.33456,12829.58322,8166.384296,5809.452697,7152.839037,3947.055565,3881.986429,4034.241461,6466.748703,6572.550521,5952.321992,1888.722368,2022.666169,2511.057298,2613.849093,2710.347499,3131.506189
2697.983819,2396.072644,2438.817104,1680.683185,1732.286293,1826.68226,915.8932827,1081.059883,959.9559275,5068.452744,4347.742597,4152.753638,1888.432975,1716.937907,1870.863723,1935.989682,1539.910276,1567.453991
