C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
1.937321544,1.260554314,2.353812218,1.630219817,1.68735981,2.418524265,2.128666401,2.622698784
0.250050187,0.186734855,0.704447746,0.373741478,0.391640991,0.431853771,0.27671212,0.410294503
0.544538796,0.59501636,0.750560641,0.562715471,0.709501088,0.34359929,0.422350585,0.397373229
4.7715168,6.456991673,4.031348705,5.585778236,3.59655261,3.089199781,4.29925251,4.947960377
0.9905442,0.744340956,0.130189896,1.075090051,0.761456013,0.396004438,0.341823488,0.474971652
1.42416048,2.016121387,1.922070503,2.054593563,1.408912539,1.685862422,1.783100486,2.29598546
1.036935568,0.934889019,0.205685034,0.244893119,0.521580696,0.673445463,0.625588,0.743946433
1.295677423,1.015053868,0.396827221,1.12627387,0.822414517,0.68439579,0.870676577,0.877831995
0.373041302,0.487504125,0.210803732,0.237862974,0.162282795,0.062412579,0.271817952,0.207912043
0.097382106,1.582870126,3.502055645,0.050896008,4.942193985,0.084543243,0.038071867,0.618273854
1.705750704,1.946814299,2.528265715,1.445789576,1.203930736,2.1300354,1.866007209,2.226812363
4.619452,3.7701056,6.42309761,5.37008667,7.403306484,7.707274914,6.468595028,4.60563612
0.120054036,0.044350803,0.438264757,0.12083365,0.098216787,0.058962334,0.074169897,0.069466874
0.103280589,0.084521644,0.209626183,0.347065359,0.511911392,0.607873797,0.374861658,0.067208193
1.181474447,1.279583335,1.650906324,0.912458837,1.337513924,1.317787766,1.055409551,1.285931706
0.86086452,0.83941257,0.555223286,0.759711921,0.921104252,0.702516019,0.757332623,1.568712711
3.317676544,3.780411243,5.68865633,3.896636248,3.77522397,3.563094616,4.108328342,3.129637241
0.435661912,0.574809492,0.1684255,0.282721639,0.464580983,0.085887909,0.335839808,0.186908796
0.717329264,0.104743332,0.144685656,1.445751309,0.730731487,0.847086489,0.938814342,1.131265998
15.59475136,12.76123714,6.350681305,13.17140388,13.08751202,15.09321022,13.91705799,13.56697845
0.097144864,0.123423763,0.287330717,0.063211754,0.114598513,0.207531631,0.129921839,0.233690858
0.193496734,0.265342832,0.355484933,0.208547249,0.117779568,0.055469312,0.05622739,0.07529448
0.127325341,0.077558994,0.101481766,0.077644773,0.095263824,0.110959068,0.047202684,0.068542734
2.366229296,2.522286415,2.693234921,1.390353203,1.247232318,1.42716074,1.849439621,1.532214642
0.232574314,0.279248387,0.078268863,0.059492186,0.230703473,0.243204936,0.110967763,0.24358891
0.609957576,1.03905189,0.452429414,0.582752287,0.821994126,1.376743674,0.74526149,0.844307542
