Bcells_H9_cyt,Bcells_H10_cyt,Bcells_H11_cyt,Bcells_H3_cyt,Bcells_H1_cyt,Bcells_H2_cyt,CLL1_cyt,CLL10_cyt,CLL11_cyt,CLL14_cyt,CLL15_cyt,CLL16_cyt,CLL2_cyt,CLL4_cyt,CLL8_cyt
20.8167,19.0367,18.8549,21.5243,19.984,19.9488,17.3067,18.1987,18.2443,19.7268,17.1169,18.7129,19.0786,17.8395,17.8665
20.9825,18.3152,17.047,20.2945,18.9008,17.7678,21.4882,16.2885,19.1807,17.7651,17.3341,20.0062,19.0879,19.7324,19.5
25.5983,26.6346,25.6805,26.5648,26.5072,26.7105,26.6744,26.4151,26.4902,26.2895,26.2434,26.4072,25.8756,26.5096,25.7455
24.4855,25.286,24.9847,23.3604,23.339,23.9104,24.3829,23.3716,22.0234,22.9982,23.2347,24.4167,23.6288,24.3934,23.2031
18.2522,28.0395,25.1971,20.5601,21.7391,22.1906,19.1318,18.5783,18.6703,20.0075,17.681,17.6281,18.3127,19.2234,17.8252
18.1213,18.5985,18.9158,17.5909,17.6471,16.6,17.4425,17.3434,18.3224,17.4899,18.0313,19.9862,18.9362,17.8493,15.5892
25.356,25.431,25.2369,24.7695,24.8723,25.3112,25.2157,25.9591,25.0969,25.4872,25.8149,25.1273,25.6636,25.2256,25.5037
23.7854,23.2878,21.6758,20.9665,23.7676,23.3033,23.1962,23.5291,21.4523,23.5551,20.7503,23.2668,23.1046,21.9108,23.7234
26.1981,26.286,25.655,26.2941,25.4865,26.1764,26.8194,25.3758,26.1206,25.5686,25.995,26.65,26.3044,26.3946,26.1942
24.9209,20.3181,23.0531,23.9732,25.1682,24.4179,21.988,23.3935,21.5628,23.0398,21.3507,20.3958,20.6854,20.0697,17.2777
22.6519,24.7579,24.1001,24.9323,23.5906,24.918,24.8164,23.8085,23.3781,23.9833,23.4949,23.7991,24.2899,22.6765,24.185
18.2733,23.313,25.0465,17.2488,17.5206,19.9307,22.2015,21.7058,17.7673,20.7271,20.5517,24.5687,17.8235,22.5569,22.9392
19.3219,17.8714,18.1562,18.4014,17.1726,18.0994,17.8223,17.4728,18.2625,17.6171,18.0396,18.1382,17.884,17.0413,17.213
