norm_FC_126_Control_1,norm_FC_127L_Control_1,norm_FC_127H_Control_1,norm_FC_128L_Control_1,norm_FC_128H_Control_1,norm_FC_129L_Control_1,norm_FC_129H_Control_1,norm_FC_130L_Control_1,norm_FC_130H_Control_1,norm_FC_131_Control_1,norm_FC_126_Control_2,norm_FC_127L_Control_2,norm_FC_127H_Control_2,norm_FC_128L_Control_2,norm_FC_128H_Control_2,norm_FC_129L_Control_2,norm_FC_129H_Control_2,norm_FC_130L_Control_2,norm_FC_130H_Control_2,norm_FC_131_Control_2,norm_FC_126_Napabucasin_1,norm_FC_127L_Napabucasin_1,norm_FC_127H_Napabucasin_1,norm_FC_128L_Napabucasin_1,norm_FC_128H_Napabucasin_1,norm_FC_129L_Napabucasin_1,norm_FC_129H_Napabucasin_1,norm_FC_130L_Napabucasin_1,norm_FC_130H_Napabucasin_1,norm_FC_131_Napabucasin_1,norm_FC_126_Napabucasin_2,norm_FC_127L_Napabucasin_2,norm_FC_127H_Napabucasin_2,norm_FC_128L_Napabucasin_2,norm_FC_128H_Napabucasin_2,norm_FC_129L_Napabucasin_2,norm_FC_129H_Napabucasin_2,norm_FC_130L_Napabucasin_2,norm_FC_130H_Napabucasin_2,norm_FC_131_Napabucasin_2
0.268720414,0.302451405,0.479449695,0.61733055,0.923307648,0.969729217,1.190180144,1.587264628,1.135361116,0.998665182,0.224687813,0.279681712,0.380101245,0.628586773,1.03146805,1.111274453,1.265517772,1.275634894,0.977326252,0.998665182,0.196654449,0.274269672,0.420622654,0.706454375,1.247952971,1.272087679,1.514503359,1.232262812,0.973373431,0.998665182,0.25363399,0.307104151,0.403290034,0.687962923,1.24876224,1.260332363,1.532023225,1.096331425,1.163355762,0.998665182
,,,,,,,,,,0.379480924,0.555657659,0.547892818,0.52026168,0.762935436,0.429403401,0.815538064,0.865141139,0.959534664,0.998665182,0.373471787,0.580436166,0.565858135,0.595872299,0.676804248,0.946569782,0.924529499,0.999384179,1.058076077,0.998665182,0.374913726,0.427649641,0.487804865,0.617139703,0.6562811,0.770641377,0.75846617,0.889944429,0.919371086,0.998665182
1.092844722,1.025745142,0.818866561,0.779630053,0.873233488,0.920472543,1.033475771,0.850566493,0.956979489,0.998665182,0.958228364,0.922266083,0.8135539,0.833644973,0.81218836,1.24932496,0.967618048,1.042445677,0.971064946,0.998665182,0.829208273,0.910232507,0.70069918,0.671705643,0.803954993,0.872203823,0.947086769,0.963276465,0.941929399,0.998665182,0.948819831,0.719120001,0.775694135,0.673972961,0.869633889,0.865937362,1.006265692,0.967354224,1.051631532,0.998665182
0.280649289,0.29598721,0.348314426,0.431492236,0.685734802,0.847811031,1.013539663,0.92113114,0.975216549,0.998665182,0.33576723,0.372419734,0.405589907,0.480817284,0.640768672,0.775317601,0.861138579,0.950759088,0.981497214,0.998665182,0.235700406,0.285213141,0.339490972,0.45609912,0.631615522,0.85041779,0.943663029,0.944813217,1.01288921,0.998665182,0.269976703,0.261388496,0.323600392,0.369642412,0.601449729,0.835806741,1.044643413,1.087476077,1.059317744,0.998665182
0.211813352,0.191212958,0.364852366,0.395986994,0.435880739,0.672051858,0.904471036,0.952057028,0.967980528,0.998665182,0.496809756,0.58889344,0.678857876,0.70116492,0.732850111,0.763610998,0.888069575,0.979025575,1.003363725,0.998665182,0.439331786,0.602901364,0.686643338,0.727076097,0.864599623,0.964006164,1.020579044,1.070802236,1.071113049,0.998665182,0.325382839,0.406746171,0.443661682,0.50507314,0.595493566,0.657538477,0.790970549,0.856997451,0.923114063,0.998665182
,,,,,,,,,,0.242570669,0.358610291,0.665428857,0.789247484,0.729872843,0.827309822,0.943299188,1.071769409,1.075017905,0.998665182,0.196186161,0.268691219,0.499489906,0.580399784,0.69757214,0.767834564,0.971041108,0.995097024,0.997466057,0.998665182,0.298080107,0.444541803,0.551596363,0.720387844,0.777177905,0.921830188,1.012816166,0.91295882,0.949455695,0.998665182
0.079413166,0.106506791,0.172539917,0.412792688,0.866462292,1.143276144,1.337783945,1.848856238,1.261780424,0.998665182,0.223057193,0.240189354,0.284657892,0.448971703,0.733942465,1.180983029,1.101515677,1.135030097,1.137980602,0.998665182,0.090989223,0.133481215,0.197821545,0.373589891,0.64999208,0.747215416,0.943326537,0.928353307,1.055002141,0.998665182,0.074935914,0.107067827,0.168512962,0.353802851,0.579437387,0.823199306,0.916263543,0.944388198,0.9342232,0.998665182
0.156442617,0.199352277,0.249638763,0.421144359,0.642343707,0.898594588,0.979923126,0.911467704,0.992532461,0.998665182,0.241275458,0.243175625,0.338528658,0.492852399,0.682672754,0.870776263,0.964614671,1.000778318,1.023166059,0.998665182,0.107324828,0.144675911,0.216329302,0.429409756,0.640370267,0.937498036,0.926814283,0.952070831,0.945423052,0.998665182,0.126640769,0.164410277,0.255868644,0.426415257,0.656349741,0.829277295,0.930868764,0.977940883,0.9689495,0.998665182
0.1820866,0.202345358,0.185401139,0.24606852,0.454563747,0.758560972,1.065862749,1.172608046,1.146756568,0.998665182,0.164453601,0.21802024,0.216128957,0.284446093,0.413767556,0.823428275,0.954336192,1.095869452,1.042044094,0.998665182,0.216523693,0.243837047,0.277409594,0.322627051,0.441329338,0.706978898,0.924668127,0.990755792,0.981268782,0.998665182,0.377119043,0.416110183,0.305954212,0.364033034,0.439564818,0.726251399,0.922673087,1.003400256,0.983630946,0.998665182
0.146996855,0.181632414,0.239211929,0.271157966,0.545929819,0.826692695,1.125025167,0.944816888,0.972760683,0.998665182,0.168312203,0.181063285,0.210616316,0.286123412,0.395860776,1.512135709,1.012401643,1.091443865,0.944049287,0.998665182,0.232997534,0.289067773,0.313626417,0.363826118,0.509637087,0.905588978,1.012298293,1.135062075,1.035390221,0.998665182,0.261558816,0.274226238,0.379936142,0.395650542,0.623053412,0.875583268,1.135532387,1.092030939,1.066528553,0.998665182
