WT1,WT2,WT3,WT4,WT5,WT6,WT7,Ob1,Ob2,Ob3,Ob4,Ob5,Ob6,Ob7
21.64604759,21.8375206,21.98537064,21.76018143,22.22393036,23.29516602,21.49720573,22.63379478,21.18396187,20.77754211,23.16872215,21.44267273,21.86661911,21.43288994
15.89526367,16.17303085,15.44391251,15.45398712,17.42473602,16.24525452,15.84047508,14.84848118,17.17682648,15.55634975,16.2412529,15.8613863,15.86730671,16.59774399
15.33509254,16.4118557,15.79824162,16.19745827,14.97728825,15.50298691,15.16246796,16.67722511,16.40251732,14.70997047,15.3217659,15.62095165,15.45889187,15.08025742
15.50273991,16.22210503,13.50351048,15.45155048,14.77864075,13.72038746,14.41029549,16.11120605,14.9631319,14.45500088,16.42430496,14.6590786,15.91630745,14.86894512
14.92959976,14.91574669,15.12121964,18.78202057,14.2549696,14.26159954,13.55857086,14.47642899,14.96426296,13.26146793,13.50462627,14.73388863,14.30248451,14.53320408
15.43539143,15.7539196,15.42295361,14.25521755,15.77045822,14.9380579,15.4261322,15.41190243,14.21223736,15.5805645,15.10961819,14.79939175,14.7896719,15.0561142
15.3847084,14.13196373,13.87808514,13.06590843,13.24518871,13.51410103,14.33248615,13.20879173,12.04091358,13.10970306,14.00736523,13.08826923,14.29529572,12.39913845
9.329033852,13.11390305,10.24091339,13.9517765,13.4189024,14.15624142,14.13207245,11.66978741,13.03177166,9.427226067,12.70418453,10.23949909,12.31964493,9.028326035
16.80257607,17.72838783,18.05834961,17.66043472,16.77315903,18.41472435,17.38932419,17.15120125,17.27373505,17.00525284,17.89633179,16.57234192,17.87966919,17.07604599
13.33464527,15.09124279,13.04427624,14.30098915,13.6899004,14.60887432,13.51071072,12.28752232,13.43100452,13.26430893,14.2584486,13.63868809,12.74385834,13.78378868
10.62950802,16.61183929,17.58601379,17.38820457,18.58377647,17.74448776,17.12902641,16.11478615,16.62610435,16.32138252,17.21498871,17.10129166,18.08481026,17.37928772
15.36363697,14.85656548,15.17845249,15.07905006,15.25557899,14.45041752,15.26437378,14.38317204,16.15225792,13.80915546,14.9456377,15.04574585,14.96536064,14.54405212
10.59373188,12.89243603,12.10214615,9.512921333,11.37092686,6.474939823,13.17297554,9.011890411,11.5248251,11.14327717,11.80780506,8.702624321,11.34726048,9.609960556
17.44024658,18.00309753,17.8100338,16.94636345,17.46548653,18.94552994,17.39458847,17.74947357,17.8920269,17.25197601,18.58419228,17.38519859,17.23427582,18.30833817
15.83559418,15.81616783,15.4677906,15.33764076,15.35535145,16.54578781,16.09233093,15.33572578,13.97102261,14.55274105,15.37392807,15.6452589,15.35722828,14.40647125
14.8178215,14.15126419,13.55251598,13.45080566,13.56081486,15.03372955,14.45543766,13.1611042,13.55235291,13.15263081,15.89447594,12.92915344,12.98893452,12.71911907
12.65119171,13.90680122,12.26935482,6.783658504,14.56328297,16.41950226,12.57014656,12.15311718,13.06564617,10.51336193,13.98326206,13.33894157,12.39893532,11.70716572
13.89426136,13.62691593,9.020216942,8.866784096,13.51027107,7.622764587,13.64607906,13.54531193,12.60135269,12.11699486,13.00686836,13.25610733,9.520872116,12.46145916
8.075675964,14.31112194,12.4142971,12.79707432,14.48986244,14.42829704,14.03548431,14.41276455,13.00207138,11.31881142,12.91346645,13.3395443,14.38790703,14.10927773
13.86286926,14.51236343,14.06222248,13.84545422,14.5134201,13.85737801,12.73415375,13.87884235,8.993186951,11.35103989,13.64745808,14.23378944,14.18277359,10.72674179
18.84926987,19.52087784,19.34602165,18.78368568,19.23840904,19.75590515,18.56101418,18.93446541,17.56920624,17.99292374,18.62509918,18.10788345,18.16396713,17.69561386
12.95545197,14.00024319,14.53083801,14.12978745,12.54924583,9.991620064,15.85504055,13.95854568,11.9586935,7.997982502,9.276329041,9.518533707,10.82176113,9.130270958
12.42837524,14.20273876,18.15751839,9.782079697,14.08282185,14.4298296,8.843686104,12.29597378,8.006583214,9.367441177,13.47598362,9.124789238,8.90175724,10.21612358
11.92890453,16.18416595,16.96820641,15.35515785,16.10971451,16.0892086,14.25378895,11.26690388,15.72023869,14.26280594,16.24357033,11.33936787,17.44314766,15.38565636
13.00232315,12.92088032,11.3921299,13.08885765,10.04036045,13.02313042,9.678459167,11.30887413,9.156766891,13.01763535,12.00627804,9.654392242,9.497040749,9.079785347
16.06404495,15.4031229,16.57639313,13.04819679,17.29667091,13.45298386,17.24876785,12.63167381,15.18427753,12.22098923,13.34967709,12.04897499,13.9506197,16.30395126
12.44599819,13.00658321,11.58584785,9.284705162,8.816367149,8.906237602,8.806747437,10.82758331,12.36989784,11.14789486,9.362926483,13.43306637,12.23675823,12.46069527
14.4073019,15.65706921,14.69020748,14.96617794,11.74700451,15.07739353,8.823097229,14.38061714,8.682886124,13.70496464,14.89582539,8.388272285,15.1441412,7.569644928
13.89089012,17.2728405,16.18435478,15.81545448,14.09261322,13.70910358,13.22021294,13.70242596,13.44342041,12.64076996,13.98510075,12.83849144,13.21854591,10.24435234
12.0535717,16.93941879,18.66317749,9.648049355,14.267272,17.43997955,16.19949913,16.09950447,9.325466156,8.303121567,16.46219826,9.08969593,18.23864746,17.59804344
13.75790787,14.29802132,14.36479092,13.92162228,15.74734879,14.29514503,14.37802219,13.42701817,14.04527473,12.48270035,13.73422909,14.22073364,13.76031876,13.70973587
17.41053772,17.25177765,17.22174644,16.70784378,17.05014038,17.45488548,17.38277435,16.24474525,16.9324913,16.32425117,17.03651047,16.44684601,16.34450531,17.67799759
14.89282799,13.12017822,13.68196487,12.90193939,13.98474026,14.43078518,14.60504246,13.00033569,13.21042633,13.51830864,13.65448189,13.31725121,13.9922657,13.68812084
14.54362011,14.2553196,13.72570515,13.47965431,13.93711948,14.91840744,13.56841373,14.30600643,12.3620863,12.91324425,14.58564949,14.83781147,11.1508379,14.69934559
13.43862629,12.75012779,13.40425873,14.31206608,13.71333313,13.23213959,8.386861801,13.83902264,9.095924377,8.661733627,13.7127552,13.25997543,13.07130623,13.18833828
