Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
18075000000,10910000000,7164600000,10833000000,5829000000,5003900000,7241700000,5081000000,2160700000
5916300000,3666500000,2249800000,4944400000,3047500000,1896900000,971900000,618970000,352930000
241980000,178870000,63108000,162500000,115840000,46668000,79478000,63037000,16441000
121200000,96080000,25118000,92490000,76388000,16102000,28708000,19692000,9016300
4130200000,2500300000,1629900000,2051600000,1525100000,526530000,2078500000,975160000,1103400000
287630000,170080000,117560000,176370000,99760000,76614000,111260000,70319000,40942000
16876000000,9214700000,7661600000,10724000000,5508100000,5216000000,6152100000,3706600000,2445600000
14773000000,8804800000,5967900000,9575800000,4723700000,4852100000,5197000000,4081100000,1115800000
NA,NA,NA,NA,NA,NA,NA,NA,NA
452870000,256450000,196410000,133430000,96022000,37412000,319430000,160430000,159000000
2474700000,1409100000,1065600000,975350000,843580000,131770000,1499400000,565530000,933830000
111270000,57132000,54137000,NA,NA,NA,111270000,57132000,54137000
42883000,22655000,20228000,42883000,22655000,20228000,NA,NA,NA
19790000,15124000,4665600,19790000,15124000,4665600,NA,NA,NA
30821000,19707000,11114000,30821000,19707000,11114000,NA,NA,NA
1814300000,1275200000,539120000,1566600000,1133800000,432810000,247680000,141370000,106310000
716750000,425160000,291590000,614570000,355990000,258580000,102180000,69166000,33017000
59169000,35738000,23430000,59169000,35738000,23430000,NA,NA,NA
1568800000,871100000,697690000,726930000,391000000,335930000,841860000,480100000,361760000
267900000,156900000,111000000,234490000,135850000,98637000,33412000,21047000,12365000
9551900000,5762700000,3789200000,5400700000,3275200000,2125500000,4151200000,2487500000,1663700000
581970000,358350000,223610000,261090000,150120000,110970000,320880000,208230000,112650000
234670000,162440000,72228000,142570000,100850000,41713000,92103000,61588000,30515000
1234300000,741020000,493270000,799180000,449200000,349980000,435110000,291820000,143290000
155360000,92981000,62378000,84209000,45185000,39025000,71150000,47797000,23353000
1410500000,874900000,535560000,1107600000,739930000,367660000,302880000,134980000,167900000
20365000,13715000,6649500,NA,NA,NA,20365000,13715000,6649500
1457400000,1123200000,334290000,185150000,120410000,64740000,1272300000,1002700000,269550000
39265000000,22594000000,16670000000,21354000000,10434000000,10920000000,17911000000,12160000000,5750600000
107750000,70345000,37407000,96759000,64480000,32279000,10993000,5865000,5128100
