Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-1.032427,-0.8383656,-3.382956,0.1853008,-0.6535492,-2.039026,-3.532551,-0.5911655,-0.580122,-1.751829,-1.084606
-2.32691,-1.005747,-3.430578,0.1853008,-1.624466,-3.528758,-3.576696,-2.0476,-2.628529,-3.445912,-3.551687
0.7093029,0.849308,0.008747101,0.1853008,0.8479939,0.3607807,0.1387615,0.9555168,1.009808,-0.3541832,0.7366791
2.588747,2.583117,1.986143,0.1853008,2.928133,2.141909,1.920275,2.746075,2.91643,1.6742,2.627836
4.241581,4.462366,3.594109,0.1853008,4.836775,4.008263,3.606449,4.438692,4.270344,3.185156,3.69442
0.08909988,0.5422325,-1.818471,0.1853008,1.107206,-0.1533089,-0.4664288,1.478983,0.9834194,-0.6565132,-0.1404648
0.1901169,1.060568,-1.263235,0.1853008,1.268368,-0.6887283,-0.6968403,1.540277,1.351149,-0.9507599,0.507864
1.112925,1.331768,-0.7151089,0.1853008,0.9205112,0.1799221,-0.2295532,1.289089,1.124939,-0.2941761,0.6205788
1.562849,1.520357,0.2644691,0.1853008,1.059385,0.4873524,-0.1980686,1.657806,1.464779,0.05563164,0.7222557
1.917837,2.354031,0.1681499,0.1853008,2.207134,0.9515781,0.380024,2.170029,2.005363,1.177158,1.743961
3.197344,3.178663,2.164188,0.1853008,2.793333,2.88699,2.1597,3.071943,3.17868,2.162376,2.590361
-1.910833,-0.9956684,-3.269767,0.1853008,-1.315336,-2.49821,-3.168017,-1.328682,-1.729368,-2.856403,-2.393059
-1.975952,-1.842651,-3.462587,0.1853008,-1.37599,-2.823222,-2.699204,-2.888024,-2.050152,-3.041475,-3.885347
3.31735,3.172621,2.007887,0.1853008,2.954775,2.659037,2.348608,2.887922,2.88055,2.168446,2.740911
2.682476,2.865513,2.038277,0.1853008,3.305267,2.335377,2.123566,3.193886,3.037056,1.805271,2.429842
0.9364567,1.257481,0.555603,0.1853008,0.9042816,0.632143,0.3945961,1.082909,1.114742,0.1921921,0.8314495
-0.9972076,-0.9120331,-3.36961,0.1853008,-1.006596,-3.949743,-2.11307,-0.9079533,-0.5407391,-2.418827,-3.059408
1.666824,2.174086,0.2895107,0.1853008,2.340363,0.9019718,0.8384743,2.110056,1.956602,0.1042175,0.8536835
0.4362354,0.9408607,-3.202743,0.1853008,0.6876888,-1.950645,-3.183535,-0.5527992,-2.287603,-3.567524,-3.322975
1.666376,1.786013,1.313505,0.1853008,1.678268,1.409586,1.115221,1.784752,1.813404,1.070923,1.679756
2.106726,2.089502,0.9859657,0.1853008,1.780993,1.234375,0.907011,1.78196,2.144791,0.9798927,1.760271
3.077538,3.525347,2.183321,0.1853008,3.107697,2.245495,1.83,2.641996,2.872505,1.6003,2.554647
-1.45039,-2.159046,-2.338155,0.1853008,-1.587498,-2.352522,-2.233651,-1.49926,-1.238096,-2.462751,-2.142456
0.6808376,0.9858685,-0.9549713,0.1853008,1.123486,-1.028997,-1.733967,-0.1816406,0.1924591,-2.37566,-1.051912
1.246281,1.447998,-1.562099,0.1853008,1.62845,0.7217274,-0.2753754,1.782074,1.869444,-0.4065361,0.2307587
2.625322,2.7507,1.855249,0.1853008,2.923985,2.357571,2.077831,3.033562,3.276848,1.824041,2.288555
-0.2006779,0.1054535,-0.6781788,0.1853008,0.357832,-0.4915218,-0.7072392,-0.2458858,0.1502972,-0.9738617,-0.1010971
4.145432,3.779182,2.805386,0.1853008,4.333702,3.510387,2.670116,4.634579,4.387663,3.6028,3.803743
-1.304743,-0.3908424,-2.363343,0.1853008,-0.5411167,-1.927784,-1.481377,-0.7863102,-0.8173523,-1.810553,-0.9195366
2.858341,3.498089,2.607319,0.1853008,3.87467,3.11709,2.573307,3.816725,3.835869,2.846464,3.153952
1.417847,-2.307737,-3.636725,0.1853008,1.81802,-2.683245,-3.667886,0.905407,-3.166432,-3.085964,-3.336211
-0.3795128,-0.8209515,-3.00305,0.1853008,0.3607368,-0.6325378,-3.002996,0.304224,-0.2279606,-2.827121,-2.34301
1.553682,1.649866,0.5991726,0.1853008,2.100737,1.291784,1.159595,1.68825,1.748665,1.032207,1.036808
-1.732159,0.4240971,-2.728249,0.1853008,0.586195,-1.750771,-2.133898,-1.077253,-0.6606102,-2.124241,-2.67094
2.1059,2.857382,1.083248,0.1853008,1.869972,1.100294,1.025242,1.911051,1.944523,0.9308014,1.88649
0.5039978,0.7416992,-0.01805496,0.1853008,0.6260395,-0.1531467,-0.3993206,1.318794,1.043831,-0.1903496,0.6224842
2.808031,3.438692,1.983246,0.1853008,3.07506,1.90243,1.589693,2.452105,3.006193,1.860933,2.263493
-2.789305,-2.05226,-3.445351,0.1853008,-1.319111,-2.871189,-3.284564,-2.737135,-1.076237,-2.789419,-3.179373
-1.928785,-1.370844,-3.49103,0.1853008,-1.459381,-2.744015,-3.514673,-2.714404,-2.838793,-3.607027,-3.003185
1.779068,2.010025,1.042713,0.1853008,2.376348,1.648165,1.419228,2.548513,2.419273,0.9983463,1.900852
-0.2661552,-0.2437172,-3.018249,0.1853008,-0.7905331,-3.159407,-2.48096,-0.1173229,-0.2275143,-1.707472,-0.8090229
-1.17524,-0.7598095,-2.962606,0.1853008,-0.07883263,-2.261145,-3.512789,-0.35355,-1.427214,-5.238577,-2.870001
1.178949,1.564522,0.2686119,0.1853008,1.649662,0.7520447,0.1237373,1.78002,1.66444,0.007246017,1.366518
4.378925,4.570831,3.658535,0.1853008,4.487871,4.09844,3.737101,4.58633,4.575834,3.405437,4.212585
3.220268,3.545494,1.758238,0.1853008,3.541092,2.423178,2.009336,4.412132,4.30619,2.652632,3.052313
4.251314,3.97937,3.528902,0.1853008,3.850012,3.760035,3.50366,3.86517,3.878429,3.776209,3.728018
0.8377514,1.312622,-0.5412846,0.1853008,1.213306,0.394516,-0.3263092,1.043396,1.038506,-0.5709343,0.653101
2.116369,2.082396,0.9680195,0.1853008,2.304111,1.595779,1.453323,2.40556,2.238743,1.226295,1.781277
-0.1902924,0.4198341,-0.5894718,0.1853008,0.2345505,-0.300621,-0.4011307,-0.05501747,0.1060028,-0.7308788,-0.09871292
0.1372662,-0.3696842,-1.38516,0.1853008,-1.144629,-1.98418,-1.99567,-0.5993423,-1.189146,-2.099758,-1.00013
0.196228,0.9408607,-1.541592,0.1853008,0.1429367,-0.6843243,-1.600937,0.3880196,0.01554489,-1.199232,-0.2117233
-0.5744629,0.1613884,-1.455406,0.1853008,-0.3029976,-1.976372,-2.280334,-0.6719418,-0.5242329,-2.494215,-1.036428
0.5113945,0.7856655,-1.231522,0.1853008,0.6517334,-0.4341469,-1.148766,0.8299675,0.5714722,-1.276642,0.1138477
