Norm Abundance: 126 set 1,Norm Abundance: 127 set 1,Norm Abundance: 128 set 1,Norm Abundance: 129 set 1,Norm Abundance: 130 set 1,Norm Abundance: 131 set 1,Norm Abundance: 126 set 2,Norm Abundance: 127 set 2,Norm Abundance: 128 set 2,Norm Abundance: 129 set 2,Norm Abundance: 130 set 2,Norm Abundance: 131 set 2,Norm Abundance: 126 set 3,Norm Abundance: 127 set 3,Norm Abundance: 128 set 3,Norm Abundance: 129 set 3,Norm Abundance: 130 set 3,Norm Abundance: 131 set 3
747.0001831,1302.018066,978.1767578,800.8549805,1356.666504,983.0721436,581.4002075,1048.080688,724.9835205,635.9959717,1062.668091,738.6638794,323.3000793,655.9660034,339.4438477,344.401123,637.0116577,371.1594543
12.00000095,16.07304955,15.90697289,13.82804489,18.0052681,15.0896759,21.13940811,27.24695396,39.54972839,42.11045837,43.89357376,36.4254837,40.19306183,32.13033676,36.63447189,61.81846619,24.27114868,12.88937473
46.79999924,42.76036835,37.52414322,50.97626877,39.75320435,37.41831589,51.29999542,65.58049774,56.12906265,67.32704926,62.20837021,62.11538315,65.20000458,75.55261993,54.83480453,89.46243286,67.51457214,68.33916473
67.8999939,66.31394958,53.94095993,72.65583801,80.21446228,57.29999542,39.00000381,52.40405273,42.55604172,42.28324509,56.37947464,36.35276794,34.94454956,30.78796196,37.56789017,24.9189949,36.22550964,25.34594345
25.76522255,28.02742577,21.06156349,43.64016342,29.10063934,23.97214699,27.39999962,49.99004745,30.71790886,26.90752029,51.95755768,33.8070488,46.75650787,27.8337574,30.23311996,61.59656525,27.82807159,33.21345139
42.29999161,204.2995758,37.42217636,30.35138321,245.4987488,22.32863998,35.45789719,42.79550552,46.06723404,25.10108376,29.75045395,25.06024933,19.60516548,49.05822372,41.81321716,22.18417358,37.59601212,15.39181137
42.09999466,275.3646851,13.05187416,41.24976349,176.208847,23.7560463,36.89999771,155.4016571,23.98241806,31.91627884,103.0106201,23.31872368,38.5,168.7577515,30.28191185,39.1763649,124.1624146,29.87280273
11.60000038,38.91902161,4.894453049,8.320264816,33.58285522,6.117436409,23.6751461,31.33144951,31.61209488,18.5277462,41.61349869,31.98731041,12.19999981,42.16420364,2.762201309,7.367494583,41.45455933,3.580644608
17.21265984,57.90473557,31.7670784,19.73596764,39.64765167,17.44107819,24.13606644,38.12413406,14.95671177,22.01492691,37.38518524,18.26305199,3.200000048,41.05462265,3.171416521,2.572776079,26.46249771,3.88755703
50.60000229,72.78360748,55.36850739,52.14812851,69.99800873,43.94358063,32.69999695,64.7758255,35.20822906,36.57558823,60.29891586,31.26133919,57.19999313,89.77546692,53.40256882,49.58441925,73.85350037,51.25436783
