WTheart_1,WTheart_2,WTheart_3,WTheart_Flu_1,WTheart_Flu_2,WTheart_Flu_3,WTheart_Flu_4,WTheart_Flu_5,WTheart_Flu_6,WTheart_Flu_7,WTheart_Flu_8,WTheart_Spn_1,WTheart_Spn_2,WTheart_Spn_3,WTheart_Spn_4,WTheart_Spn+Flu_1,WTheart_Spn+Flu_2,WTheart_Spn+Flu_3,WTheart_Spn+Flu_4,WTheart_Spn+Flu_5,WTheart_Spn+Flu_6
22.8635,22.73,21.4525,27.6395,27.4528,27.84,27.6678,28.1951,27.9179,28.118,27.7069,27.2783,26.8943,26.5224,26.6375,27.6868,27.0328,26.7272,25.7895,26.4099,27.3943
23.0841,22.0619,21.256,24.4632,24.5988,24.4541,24.491,24.7523,24.5525,24.589,24.9422,25.547,24.8753,24.7879,26.4152,25.4038,25.3224,27.4275,27.5373,23.2777,25.3557
21.6127,21.8592,21.5678,24.6411,24.7416,24.1522,24.2838,24.8903,24.8968,24.6449,24.6153,25.3335,25.0728,24.2548,23.4648,25.169,24.5107,24.3826,24.6877,24.4217,24.1856
21.3823,20.5445,20.2183,19.5202,20.7041,19.7061,21.4971,19.9337,19.3075,18.6304,21.4079,20.0787,19.7552,20.2185,20.4858,26.8666,26.1304,23.8871,22.3644,22.8074,23.0132
32.9288,32.866,32.7189,31.3398,31.4261,31.2451,31.4698,31.1551,31.2445,31.2425,31.1951,31.4745,31.6629,31.5925,31.0847,31.0081,30.7561,31.0846,31.1376,31.5602,31.2968
22.6209,25.4788,25.4321,28.902,28.9019,28.855,28.7549,28.7078,28.6822,28.7113,28.6438,28.7174,28.4041,29.0246,29.0759,28.8629,28.6859,28.3286,29.0206,28.9148,28.8322
29.7096,29.643,29.6176,31.289,31.4094,31.4415,31.3584,31.113,31.1192,31.0978,31.1995,30.8339,30.3485,31.4349,31.544,30.7589,30.6794,31.3701,31.0293,31.2844,31.2733
21.9702,25.8458,26.7783,29.1358,29.3016,28.7464,28.9098,28.5493,28.652,28.7109,29.0499,28.993,28.6109,28.9647,29.7693,28.3003,27.8069,29.6654,29.6282,29.8661,29.172
22.5843,22.3291,22.285,26.5943,26.5992,26.1549,26.6016,26.3646,26.5681,26.4612,26.5588,26.3612,26.5828,26.4156,26.7361,26.3698,26.4265,27.0852,27.0093,26.8985,26.8658
31.9206,31.8863,31.9502,31.2554,31.1542,30.7889,31.0205,31.0631,31.0434,31.1511,31.0614,31.4204,31.7901,31.2246,31.1385,31.0372,31.2725,31.2144,30.7975,30.8539,30.8439
20.8483,22.4517,23.3724,27.7512,27.6136,27.8651,27.4613,27.5982,27.6911,27.6002,27.7496,27.4534,27.8756,27.2707,26.8721,27.2702,27.5741,27.0411,27.6294,28.0484,27.9069
21.2871,23.5104,20.8782,19.545,18.6295,19.5276,19.8435,19.9705,20.5739,20.3909,19.5215,20.5226,21.1237,21.3357,20.6629,24.157,25.7314,21.7157,22.2689,22.7964,21.4797
21.0431,22.1948,22.7646,24.5673,25.0935,25.8313,24.4103,24.5339,24.5159,23.9519,24.7898,23.285,23.6389,23.1994,23.2081,19.8824,22.08,22.1946,23.1897,22.1132,20.8065
25.8234,26.9781,25.4947,27.6095,27.3499,27.4511,27.4638,27.136,27.1123,27.0005,27.2971,27.6614,27.1336,28.1925,28.3779,29.1143,28.9891,28.2674,27.9398,27.5204,27.4746
