LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
0.23546693,-0.53990826,-0.17562756,0.26879619,0.19169882,0.14406392,0.03942708,-0.44016829,-0.37753001,0.09086216,0.14652314,0.09109194
0.18335758,-0.33168725,-0.21704773,0.13775223,0.12349648,0.10580382,0.07571018,-0.26513525,-0.26185469,0.00845575,0.27605496,0.07760723
-0.58298522,0.19752444,0.57671341,-0.0520787,-0.4231066,-0.40712556,-0.37404347,0.35752477,0.54196377,0.07988426,-0.37045635,-0.17844722
-0.36350093,0.16544235,0.5704846,-0.2243122,-0.40910329,-0.4827856,-0.25695069,0.26121824,0.45137096,0.04722828,-0.16153445,-0.28247288
-0.51634273,-0.17068625,0.46642947,-0.06894835,-0.22148359,-0.15979376,-0.40582528,0.0080453,0.64180647,0.08063186,-0.31758509,0.21852429
-0.01704642,-0.36643446,-0.04385529,0.01504354,0.04274782,0.09109739,0.00853888,-0.29261218,-0.01444186,0.11695034,0.1013292,0.23916943
0.00362073,-0.37206798,-0.4097946,-0.24746913,0.37561584,0.31620868,0.04005457,-0.31221129,-0.2242712,-0.15160667,0.10235818,0.39276104
-0.51261557,0.28651928,0.50681198,-0.13142408,-0.26811508,-0.35705812,-0.26514368,0.37337303,0.56341242,-0.0497093,-0.6785911,-0.27947025
-0.68542362,0.26919224,0.49234512,-0.14190936,-0.50913233,-0.38227605,-0.43187385,0.42622337,0.78915288,0.05999566,-0.73517389,-0.20381554
-0.08721833,-0.15263308,0.00707116,0.04519539,-0.31147689,-0.18639511,-0.0594639,0.14058122,0.19157431,0.28635213,-0.15677507,0.05234996
-0.43286464,0.73514771,0.63058376,-0.25859454,-1.00048053,-1.07075774,-0.52159358,0.75253572,0.66232686,0.03441959,-1.01375244,-0.88254589
-0.05236278,0.55825959,0.15412459,-0.05811084,-0.49143447,-0.58787451,0.0104629,0.50549936,0.14182863,-0.05357052,-0.59505912,-0.50927725
-0.18875518,0.3990441,0.47014422,-0.27513971,-0.63008583,-0.50961561,-0.29449025,0.46117963,0.53747319,-0.02615537,-0.63897098,-0.55270844
-1.71060891,1.20498625,0.92484169,-0.59945197,-2.06797993,-2.41167486,-1.31935004,1.07616563,1.09169329,-0.13622055,-2.11414549,-2.29545382
-0.02626232,-0.10255465,-0.27234613,0.01651447,0.20790508,0.04271726,-0.06555064,-0.12644938,-0.12092617,0.08268417,0.07817151,0.02746541
-0.10463862,-0.16724368,-0.43329754,0.036975,0.26917043,0.16492685,0.03371185,-0.18166775,-0.29671855,0.00472744,0.30324717,0.24802148
-0.09145659,-0.10919372,0.22633502,-0.01452871,-0.12158885,-0.05360293,-0.29932846,-0.15712683,0.34217954,0.12300361,-0.14232836,-0.04758216
0.05745628,-0.57740428,-0.19193858,0.04755176,0.292537,0.31043084,0.11825406,-0.61003815,-0.31168088,-0.05446531,0.22772359,0.31783754
0.01957814,0.06498026,0.28005093,-0.02349993,-0.09167353,-0.25540242,-0.09558149,0.07057929,0.27034617,-0.10166173,-0.29542873,-0.18409233
0.03326111,-0.41005521,0.04382181,-0.03924585,-0.00763725,0.03873293,-0.01582851,-0.32597934,0.08369431,0.11090523,0.0195436,0.17692581
0.10007278,-0.30702401,-0.09062876,-0.00593132,0.10652424,0.06180832,0.01276419,-0.2977668,-0.33051737,0.03764491,0.07916604,0.25842408
