msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
389409.8047,6048.521201,389409.8047,6048.521201,114053.92,6937.573616,114053.92,6937.573616
1558712.034,8615.67564,3223780.614,19136.08811,5385908.8,82982.56164,7250254.27,137185.8088
NA,NA,NA,NA,1494801.5,290816.3265,1494801.5,290816.3265
89078.45,1816.136396,89078.45,1816.136396,81444209,4860424.028,127029195.7,9496996.466
11520905.91,270557.2985,13182682.46,321275.3916,46606388,3461538.462,47664000.07,3641586.538
625391.824,35341.63071,715713.036,36842.46658,27543154.5,1568866.328,32490709.87,2586565.144
7621687.7,386985.5808,8136527.12,403669.9522,41283289,9796153.846,61932388.12,12088846.15
4521896.15,226293.3371,4521896.15,226293.3371,31701282.2,4164548.495,31985125.14,4428093.645
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
165186561.1,3858711.651,564968469.9,16280487.89,1018845056,85182663.85,5082404475,520983080
31804399.5,1556591.023,38355434.59,1880284.936,208877548,25128440.37,340148407.7,49854816.51
2450577.9,93005.67076,2450577.9,93005.67076,51604368,4420147.42,54512664,4756756.757
614997.564,35289.08067,614997.564,35289.08067,902660.7,386666.6667,902660.7,386666.6667
338094.37,14968.12319,338094.37,14968.12319,225885.31,100966.1836,225885.31,100966.1836
NA,NA,NA,NA,2478457.2,151470.5882,2478457.2,151470.5882
9183875.6,346812.4184,10270907.6,380052.9966,46536622.5,5282312.925,66464782.94,8074829.932
1080028.34,28626.96036,1080028.34,28626.96036,6074825.5,450639.3862,6074825.5,450639.3862
2493622,324577.2963,2493622,324577.2963,18847324,3037037.037,18847324,3037037.037
17138538.64,957330.2847,19553392.58,1239373.578,36719799.67,6888194.444,41676190.67,8610416.667
